BCL6   	CCL11  	0.0090429
CCL11  	IL5RA  	0.017077
CCL11  	IL9    	0.021248
CCL11  	KIT    	0.01222
CCL11  	KITLG  	0.012712
CCL11  	MAF    	0.014345
CCL11  	MMP9   	0.018189
CCL11  	MS4A2  	0
CCL11  	PDCD1  	0.0098955
CCL11  	PPARG  	0.012184
CCL11  	RETNLB 	0.015731
CCL11  	RORC   	0.01441
CCL11  	SATB1  	0.010034
CCL11  	STAT5A 	0.015266
CCL11  	STAT6  	0.020377
CCL11  	TBX21  	0.017401
CCL11  	TGFB1  	0.016842
CCL11  	TNFRSF4	0.0071054
CCL11  	TNFSF4 	0.0025243
CCL11  	TSLP   	0.013706
CCL17  	CCL2   	0.026045
CCL17  	CCL22  	0.043477
CCL17  	CCL24  	0.023687
CCL17  	CCL26  	0.024434
CCL17  	CCL5   	0.027813
CCL17  	CCL8   	0.023687
CCL17  	CCR3   	0.027943
CCL17  	CCR4   	0.041718
CCL17  	CCR8   	0.041718
CCL17  	CD40LG 	0.016372
CCL17  	CMA1   	0.0086977
CCL17  	CRLF2  	0.0056831
CCL17  	CSF2   	0.016882
CCL17  	CSF3R  	0.0082209
CCL17  	FCER1A 	0
CCL17  	FOXP3  	0.015616
CCL17  	GATA3  	0.016146
CCL17  	ICOS   	0.012972
CCL17  	IFNG   	0.019052
CCL17  	IFNGR2 	0.014642
CCL17  	IL10   	0.017194
CCL17  	IL12A  	0.017338
CCL17  	IL12B  	0.018627
CCL17  	IL13   	0.019022
CCL17  	IL13RA1	0.018843
CCL17  	IL13RA2	0.018843
CCL17  	IL17A  	0.015174
CCL17  	IL17RB 	0.0071139
CCL17  	IL18   	0.017485
CCL17  	IL1RL1 	0.003827
CCL17  	IL21   	0.014312
CCL17  	IL25   	0.0068731
CCL17  	IL2RA  	0.015512
CCL17  	IL3    	0.01649
CCL17  	IL33   	0.0068731
CCL17  	IL3RA  	0.013801
CCL17  	IL4    	0.019214
CCL17  	IL4R   	0.017795
CCL17  	IL5    	0.016062
CCL17  	IL5RA  	0.013801
CCL17  	IL9    	0.018712
CCL17  	KIT    	0.010519
CCL17  	KITLG  	0.011297
CCL17  	MAF    	0.013401
CCL17  	MMP9   	0.018576
CCL17  	MS4A2  	0
CCL17  	PDCD1  	0.009093
CCL17  	PPARG  	0.011069
CCL17  	RETNLB 	0.015559
CCL17  	RORC   	0.012694
CCL17  	SATB1  	0.0082363
CCL17  	STAT5A 	0.013782
CCL17  	STAT6  	0.020335
CCL17  	TBX21  	0.016151
CCL17  	TGFB1  	0.015643
CCL17  	TNFRSF4	0.0058494
CCL17  	TNFSF4 	0.0019597
CCL17  	TSLP   	0.012252
CCL2   	CCL22  	0.027662
CCL2   	CCL24  	0.017078
CCL2   	CCL26  	0.019827
CCL2   	CCL5   	0.024659
CCL2   	CCL8   	0.017078
CCL2   	CCR3   	0.021785
CCL2   	CCR4   	0.028799
CCL2   	CCR8   	0.028799
CCL2   	CD40LG 	0.01886
CCL2   	CMA1   	0.011447
CCL2   	CRLF2  	0.0058715
CCL2   	CSF2   	0.018228
CCL2   	CSF3R  	0.013862
CCL2   	FCER1A 	0
CCL2   	FOXP3  	0.0174
CCL2   	GATA3  	0.017083
CCL2   	ICOS   	0.01639
CCL2   	IFNG   	0.019439
CCL2   	IFNGR2 	0.01918
CCL2   	IL10   	0.018745
CCL2   	IL12A  	0.019279
CCL2   	IL12B  	0.019847
CCL2   	IL13   	0.019365
CCL2   	IL13RA1	0.018689
CCL2   	IL13RA2	0.018689
CCL2   	IL17A  	0.017966
CCL2   	IL17RB 	0.0095345
CCL2   	IL18   	0.018772
CCL2   	IL1RL1 	0.0049854
CCL2   	IL21   	0.016275
CCL2   	IL25   	0.0084372
CCL2   	IL2RA  	0.016915
CCL2   	IL3    	0.018072
CCL2   	IL33   	0.0084372
CCL2   	IL3RA  	0.017026
CCL2   	IL4    	0.018574
CCL2   	IL4R   	0.018375
CCL2   	IL5    	0.016896
CCL2   	IL5RA  	0.017026
CCL2   	IL9    	0.018943
CCL2   	KIT    	0.013357
CCL2   	KITLG  	0.013329
CCL2   	MAF    	0.012567
CCL2   	MMP9   	0.024853
CCL2   	MS4A2  	0
CCL2   	PDCD1  	0.01348
CCL2   	PPARG  	0.023885
CCL2   	RETNLB 	0.011011
CCL2   	RORC   	0.015944
CCL2   	SATB1  	0.0095038
CCL2   	STAT5A 	0.015834
CCL2   	STAT6  	0.018911
CCL2   	TBX21  	0.017859
CCL2   	TGFB1  	0.021406
CCL2   	TNFRSF4	0.0074236
CCL2   	TNFSF4 	0.0028428
CCL2   	TSLP   	0.01253
CCL22  	CCL24  	0.025699
CCL22  	CCL26  	0.023001
CCL22  	CCL5   	0.030275
CCL22  	CCL8   	0.025699
CCL22  	CCR3   	0.029965
CCL22  	CCR4   	0.04696
CCL22  	CCR8   	0.04696
CCL22  	CD40LG 	0.017236
CCL22  	CMA1   	0.0078316
CCL22  	CRLF2  	0.0040089
CCL22  	CSF2   	0.016717
CCL22  	CSF3R  	0.0080144
CCL22  	FCER1A 	0
CCL22  	FOXP3  	0.014919
CCL22  	GATA3  	0.015133
CCL22  	ICOS   	0.012818
CCL22  	IFNG   	0.019454
CCL22  	IFNGR2 	0.016034
CCL22  	IL10   	0.016912
CCL22  	IL12A  	0.016911
CCL22  	IL12B  	0.018615
CCL22  	IL13   	0.018487
CCL22  	IL13RA1	0.016691
CCL22  	IL13RA2	0.016691
CCL22  	IL17A  	0.014823
CCL22  	IL17RB 	0.0066344
CCL22  	IL18   	0.01688
CCL22  	IL1RL1 	0.0034108
CCL22  	IL21   	0.013559
CCL22  	IL25   	0.0063524
CCL22  	IL2RA  	0.014927
CCL22  	IL3    	0.015946
CCL22  	IL33   	0.0063524
CCL22  	IL3RA  	0.013153
CCL22  	IL4    	0.018661
CCL22  	IL4R   	0.016656
CCL22  	IL5    	0.015588
CCL22  	IL5RA  	0.013153
CCL22  	IL9    	0.018216
CCL22  	KIT    	0.0097533
CCL22  	KITLG  	0.010248
CCL22  	MAF    	0.0098392
CCL22  	MMP9   	0.019624
CCL22  	MS4A2  	0
CCL22  	PDCD1  	0.0096668
CCL22  	PPARG  	0.011757
CCL22  	RETNLB 	0.010376
CCL22  	RORC   	0.011833
CCL22  	SATB1  	0.0064302
CCL22  	STAT5A 	0.013082
CCL22  	STAT6  	0.01949
CCL22  	TBX21  	0.015567
CCL22  	TGFB1  	0.015796
CCL22  	TNFRSF4	0.0054421
CCL22  	TNFSF4 	0.0017903
CCL22  	TSLP   	0.010556
CCL24  	CCL26  	0.026729
CCL24  	CCL5   	0.018623
CCL24  	CCL8   	0.20122
CCL24  	CCR3   	0.05883
CCL24  	CCR4   	0.019119
CCL24  	CCR8   	0.019119
CCL24  	CD40LG 	0.0082484
CCL24  	CMA1   	0.0031584
CCL24  	CRLF2  	0.0022978
CCL24  	CSF2   	0.0092572
CCL24  	CSF3R  	0.003507
CCL24  	FCER1A 	0
CCL24  	FOXP3  	0.0074316
CCL24  	GATA3  	0.0080828
CCL24  	ICOS   	0.0055194
CCL24  	IFNG   	0.012006
CCL24  	IFNGR2 	0.0067044
CCL24  	IL10   	0.0088889
CCL24  	IL12A  	0.0084053
CCL24  	IL12B  	0.0096076
CCL24  	IL13   	0.010173
CCL24  	IL13RA1	0.0084238
CCL24  	IL13RA2	0.0084238
CCL24  	IL17A  	0.0076942
CCL24  	IL17RB 	0.0034156
CCL24  	IL18   	0.0085541
CCL24  	IL1RL1 	0.0020791
CCL24  	IL21   	0.0067327
CCL24  	IL25   	0.0039773
CCL24  	IL2RA  	0.0080754
CCL24  	IL3    	0.0088896
CCL24  	IL33   	0.0039773
CCL24  	IL3RA  	0.0071546
CCL24  	IL4    	0.01234
CCL24  	IL4R   	0.0086634
CCL24  	IL5    	0.011148
CCL24  	IL5RA  	0.0071546
CCL24  	IL9    	0.010095
CCL24  	KIT    	0.0042627
CCL24  	KITLG  	0.0049046
CCL24  	MAF    	0.0054543
CCL24  	MMP9   	0.009527
CCL24  	MS4A2  	0
CCL24  	PDCD1  	0.0035768
CCL24  	PPARG  	0.00461
CCL24  	RETNLB 	0.0043756
CCL24  	RORC   	0.0050515
CCL24  	SATB1  	0.0028262
CCL24  	STAT5A 	0.0062945
CCL24  	STAT6  	0.011269
CCL24  	TBX21  	0.0078726
CCL24  	TGFB1  	0.0074794
CCL24  	TNFRSF4	0.0023811
CCL24  	TNFSF4 	0.00064988
CCL24  	TSLP   	0.0065597
CCL26  	CCL5   	0.018889
CCL26  	CCL8   	0.026729
CCL26  	CCR3   	0.028982
CCL26  	CCR4   	0.021288
CCL26  	CCR8   	0.021288
CCL26  	CD40LG 	0.013512
CCL26  	CMA1   	0.0095656
CCL26  	CRLF2  	0.0070599
CCL26  	CSF2   	0.016179
CCL26  	CSF3R  	0.007614
CCL26  	FCER1A 	0
CCL26  	FOXP3  	0.01693
CCL26  	GATA3  	0.018128
CCL26  	ICOS   	0.012784
CCL26  	IFNG   	0.018126
CCL26  	IFNGR2 	0.0142
CCL26  	IL10   	0.017339
CCL26  	IL12A  	0.018674
CCL26  	IL12B  	0.019014
CCL26  	IL13   	0.019385
CCL26  	IL13RA1	0.022454
CCL26  	IL13RA2	0.022454
CCL26  	IL17A  	0.01548
CCL26  	IL17RB 	0.0076667
CCL26  	IL18   	0.018771
CCL26  	IL1RL1 	0.0043013
CCL26  	IL21   	0.015394
CCL26  	IL25   	0.0075729
CCL26  	IL2RA  	0.016426
CCL26  	IL3    	0.017013
CCL26  	IL33   	0.0075729
CCL26  	IL3RA  	0.014186
CCL26  	IL4    	0.021791
CCL26  	IL4R   	0.019865
CCL26  	IL5    	0.017035
CCL26  	IL5RA  	0.014186
CCL26  	IL9    	0.018438
CCL26  	KIT    	0.011058
CCL26  	KITLG  	0.012863
CCL26  	MAF    	0.017075
CCL26  	MMP9   	0.013903
CCL26  	MS4A2  	0
CCL26  	PDCD1  	0.0078065
CCL26  	PPARG  	0.0085909
CCL26  	RETNLB 	0.021103
CCL26  	RORC   	0.013936
CCL26  	SATB1  	0.0098518
CCL26  	STAT5A 	0.014594
CCL26  	STAT6  	0.024443
CCL26  	TBX21  	0.017426
CCL26  	TGFB1  	0.014411
CCL26  	TNFRSF4	0.0063789
CCL26  	TNFSF4 	0.002164
CCL26  	TSLP   	0.014588
CCL5   	CCL8   	0.018623
CCL5   	CCR3   	0.02282
CCL5   	CCR4   	0.031873
CCL5   	CCR8   	0.031873
CCL5   	CD40LG 	0.024615
CCL5   	CMA1   	0.010436
CCL5   	CRLF2  	0.0043151
CCL5   	CSF2   	0.017989
CCL5   	CSF3R  	0.013946
CCL5   	FCER1A 	0
CCL5   	FOXP3  	0.016642
CCL5   	GATA3  	0.015997
CCL5   	ICOS   	0.02025
CCL5   	IFNG   	0.019373
CCL5   	IFNGR2 	0.016618
CCL5   	IL10   	0.018943
CCL5   	IL12A  	0.017506
CCL5   	IL12B  	0.018818
CCL5   	IL13   	0.018672
CCL5   	IL13RA1	0.016596
CCL5   	IL13RA2	0.016596
CCL5   	IL17A  	0.017702
CCL5   	IL17RB 	0.0087794
CCL5   	IL18   	0.017471
CCL5   	IL1RL1 	0.0043002
CCL5   	IL21   	0.016
CCL5   	IL25   	0.0076177
CCL5   	IL2RA  	0.016222
CCL5   	IL3    	0.017267
CCL5   	IL33   	0.0076177
CCL5   	IL3RA  	0.016125
CCL5   	IL4    	0.017763
CCL5   	IL4R   	0.017176
CCL5   	IL5    	0.016232
CCL5   	IL5RA  	0.016125
CCL5   	IL9    	0.018255
CCL5   	KIT    	0.012501
CCL5   	KITLG  	0.012163
CCL5   	MAF    	0.009537
CCL5   	MMP9   	0.027105
CCL5   	MS4A2  	0
CCL5   	PDCD1  	0.023136
CCL5   	PPARG  	0.025859
CCL5   	RETNLB 	0.009118
CCL5   	RORC   	0.014702
CCL5   	SATB1  	0.0073502
CCL5   	STAT5A 	0.01495
CCL5   	STAT6  	0.018076
CCL5   	TBX21  	0.017279
CCL5   	TGFB1  	0.021974
CCL5   	TNFRSF4	0.0066528
CCL5   	TNFSF4 	0.0024137
CCL5   	TSLP   	0.010841
CCL8   	CCR3   	0.05883
CCL8   	CCR4   	0.019119
CCL8   	CCR8   	0.019119
CCL8   	CD40LG 	0.0082484
CCL8   	CMA1   	0.0031584
CCL8   	CRLF2  	0.0022978
CCL8   	CSF2   	0.0092572
CCL8   	CSF3R  	0.003507
CCL8   	FCER1A 	0
CCL8   	FOXP3  	0.0074316
CCL8   	GATA3  	0.0080828
CCL8   	ICOS   	0.0055194
CCL8   	IFNG   	0.012006
CCL8   	IFNGR2 	0.0067044
CCL8   	IL10   	0.0088889
CCL8   	IL12A  	0.0084053
CCL8   	IL12B  	0.0096076
CCL8   	IL13   	0.010173
CCL8   	IL13RA1	0.0084238
CCL8   	IL13RA2	0.0084238
CCL8   	IL17A  	0.0076942
CCL8   	IL17RB 	0.0034156
CCL8   	IL18   	0.0085541
CCL8   	IL1RL1 	0.0020791
CCL8   	IL21   	0.0067327
CCL8   	IL25   	0.0039773
CCL8   	IL2RA  	0.0080754
CCL8   	IL3    	0.0088896
CCL8   	IL33   	0.0039773
CCL8   	IL3RA  	0.0071546
CCL8   	IL4    	0.01234
CCL8   	IL4R   	0.0086634
CCL8   	IL5    	0.011148
CCL8   	IL5RA  	0.0071546
CCL8   	IL9    	0.010095
CCL8   	KIT    	0.0042627
CCL8   	KITLG  	0.0049046
CCL8   	MAF    	0.0054543
CCL8   	MMP9   	0.009527
CCL8   	MS4A2  	0
CCL8   	PDCD1  	0.0035768
CCL8   	PPARG  	0.00461
CCL8   	RETNLB 	0.0043756
CCL8   	RORC   	0.0050515
CCL8   	SATB1  	0.0028262
CCL8   	STAT5A 	0.0062945
CCL8   	STAT6  	0.011269
CCL8   	TBX21  	0.0078726
CCL8   	TGFB1  	0.0074794
CCL8   	TNFRSF4	0.0023811
CCL8   	TNFSF4 	0.00064988
CCL8   	TSLP   	0.0065597
CCR3   	CCR4   	0.028132
CCR3   	CCR8   	0.028132
CCR3   	CD40LG 	0.01562
CCR3   	CMA1   	0.0091451
CCR3   	CRLF2  	0.0065597
CCR3   	CSF2   	0.01609
CCR3   	CSF3R  	0.0092572
CCR3   	FCER1A 	0
CCR3   	FOXP3  	0.015083
CCR3   	GATA3  	0.015371
CCR3   	ICOS   	0.013242
CCR3   	IFNG   	0.017698
CCR3   	IFNGR2 	0.014909
CCR3   	IL10   	0.016272
CCR3   	IL12A  	0.01661
CCR3   	IL12B  	0.017311
CCR3   	IL13   	0.017521
CCR3   	IL13RA1	0.017175
CCR3   	IL13RA2	0.017175
CCR3   	IL17A  	0.014951
CCR3   	IL17RB 	0.0088177
CCR3   	IL18   	0.016729
CCR3   	IL1RL1 	0.0058755
CCR3   	IL21   	0.014088
CCR3   	IL25   	0.0086878
CCR3   	IL2RA  	0.01506
CCR3   	IL3    	0.016287
CCR3   	IL33   	0.0086878
CCR3   	IL3RA  	0.014985
CCR3   	IL4    	0.017963
CCR3   	IL4R   	0.016588
CCR3   	IL5    	0.016061
CCR3   	IL5RA  	0.014985
CCR3   	IL9    	0.017489
CCR3   	KIT    	0.010826
CCR3   	KITLG  	0.011342
CCR3   	MAF    	0.01234
CCR3   	MMP9   	0.017377
CCR3   	MS4A2  	0
CCR3   	PDCD1  	0.010191
CCR3   	PPARG  	0.012396
CCR3   	RETNLB 	0.011269
CCR3   	RORC   	0.012895
CCR3   	SATB1  	0.0080828
CCR3   	STAT5A 	0.013494
CCR3   	STAT6  	0.018332
CCR3   	TBX21  	0.015534
CCR3   	TGFB1  	0.015502
CCR3   	TNFRSF4	0.0063441
CCR3   	TNFSF4 	0.0023811
CCR3   	TSLP   	0.012667
CCR4   	CCR8   	0.047086
CCR4   	CD40LG 	0.01867
CCR4   	CMA1   	0.0076726
CCR4   	CRLF2  	0.0039751
CCR4   	CSF2   	0.017411
CCR4   	CSF3R  	0.0092826
CCR4   	FCER1A 	0
CCR4   	FOXP3  	0.015095
CCR4   	GATA3  	0.015423
CCR4   	ICOS   	0.013682
CCR4   	IFNG   	0.019411
CCR4   	IFNGR2 	0.014437
CCR4   	IL10   	0.017495
CCR4   	IL12A  	0.016563
CCR4   	IL12B  	0.018672
CCR4   	IL13   	0.019128
CCR4   	IL13RA1	0.017166
CCR4   	IL13RA2	0.017166
CCR4   	IL17A  	0.015409
CCR4   	IL17RB 	0.0065009
CCR4   	IL18   	0.016786
CCR4   	IL1RL1 	0.0030982
CCR4   	IL21   	0.014012
CCR4   	IL25   	0.0061337
CCR4   	IL2RA  	0.015211
CCR4   	IL3    	0.016486
CCR4   	IL33   	0.0061337
CCR4   	IL3RA  	0.013729
CCR4   	IL4    	0.01881
CCR4   	IL4R   	0.016968
CCR4   	IL5    	0.015827
CCR4   	IL5RA  	0.013729
CCR4   	IL9    	0.019254
CCR4   	KIT    	0.0099009
CCR4   	KITLG  	0.010207
CCR4   	MAF    	0.01022
CCR4   	MMP9   	0.022652
CCR4   	MS4A2  	0
CCR4   	PDCD1  	0.010973
CCR4   	PPARG  	0.014917
CCR4   	RETNLB 	0.010552
CCR4   	RORC   	0.011677
CCR4   	SATB1  	0.0065328
CCR4   	STAT5A 	0.013159
CCR4   	STAT6  	0.019588
CCR4   	TBX21  	0.015725
CCR4   	TGFB1  	0.01735
CCR4   	TNFRSF4	0.005229
CCR4   	TNFSF4 	0.0015755
CCR4   	TSLP   	0.010636
CCR8   	CD40LG 	0.01867
CCR8   	CMA1   	0.0076726
CCR8   	CRLF2  	0.0039751
CCR8   	CSF2   	0.017411
CCR8   	CSF3R  	0.0092826
CCR8   	FCER1A 	0
CCR8   	FOXP3  	0.015095
CCR8   	GATA3  	0.015423
CCR8   	ICOS   	0.013682
CCR8   	IFNG   	0.019411
CCR8   	IFNGR2 	0.014437
CCR8   	IL10   	0.017495
CCR8   	IL12A  	0.016563
CCR8   	IL12B  	0.018672
CCR8   	IL13   	0.019128
CCR8   	IL13RA1	0.017166
CCR8   	IL13RA2	0.017166
CCR8   	IL17A  	0.015409
CCR8   	IL17RB 	0.0065009
CCR8   	IL18   	0.016786
CCR8   	IL1RL1 	0.0030982
CCR8   	IL21   	0.014012
CCR8   	IL25   	0.0061337
CCR8   	IL2RA  	0.015211
CCR8   	IL3    	0.016486
CCR8   	IL33   	0.0061337
CCR8   	IL3RA  	0.013729
CCR8   	IL4    	0.01881
CCR8   	IL4R   	0.016968
CCR8   	IL5    	0.015827
CCR8   	IL5RA  	0.013729
CCR8   	IL9    	0.019254
CCR8   	KIT    	0.0099009
CCR8   	KITLG  	0.010207
CCR8   	MAF    	0.01022
CCR8   	MMP9   	0.022652
CCR8   	MS4A2  	0
CCR8   	PDCD1  	0.010973
CCR8   	PPARG  	0.014917
CCR8   	RETNLB 	0.010552
CCR8   	RORC   	0.011677
CCR8   	SATB1  	0.0065328
CCR8   	STAT5A 	0.013159
CCR8   	STAT6  	0.019588
CCR8   	TBX21  	0.015725
CCR8   	TGFB1  	0.01735
CCR8   	TNFRSF4	0.005229
CCR8   	TNFSF4 	0.0015755
CCR8   	TSLP   	0.010636
CD40LG 	CMA1   	0.0089798
CD40LG 	CRLF2  	0.0033284
CD40LG 	CSF2   	0.016105
CD40LG 	CSF3R  	0.0088936
CD40LG 	FCER1A 	0
CD40LG 	FOXP3  	0.018494
CD40LG 	GATA3  	0.016602
CD40LG 	ICOS   	0.052856
CD40LG 	IFNG   	0.019794
CD40LG 	IFNGR2 	0.017207
CD40LG 	IL10   	0.022785
CD40LG 	IL12A  	0.018288
CD40LG 	IL12B  	0.018757
CD40LG 	IL13   	0.016873
CD40LG 	IL13RA1	0.014912
CD40LG 	IL13RA2	0.014912
CD40LG 	IL17A  	0.017902
CD40LG 	IL17RB 	0.0082418
CD40LG 	IL18   	0.017719
CD40LG 	IL1RL1 	0.0036785
CD40LG 	IL21   	0.021816
CD40LG 	IL25   	0.0067586
CD40LG 	IL2RA  	0.016841
CD40LG 	IL3    	0.015489
CD40LG 	IL33   	0.0067586
CD40LG 	IL3RA  	0.013237
CD40LG 	IL4    	0.015839
CD40LG 	IL4R   	0.016795
CD40LG 	IL5    	0.014869
CD40LG 	IL5RA  	0.013237
CD40LG 	IL9    	0.016226
CD40LG 	KIT    	0.010697
CD40LG 	KITLG  	0.010494
CD40LG 	MAF    	0.0074078
CD40LG 	MMP9   	0.019077
CD40LG 	MS4A2  	0
CD40LG 	PDCD1  	0.095779
CD40LG 	PPARG  	0.014524
CD40LG 	RETNLB 	0.0082506
CD40LG 	RORC   	0.017168
CD40LG 	SATB1  	0.0083457
CD40LG 	STAT5A 	0.014844
CD40LG 	STAT6  	0.01646
CD40LG 	TBX21  	0.020866
CD40LG 	TGFB1  	0.018421
CD40LG 	TNFRSF4	0.0070986
CD40LG 	TNFSF4 	0.0026051
CD40LG 	TSLP   	0.00913
CMA1   	CRLF2  	0.002558
CMA1   	CSF2   	0.023628
CMA1   	CSF3R  	0.012614
CMA1   	FCER1A 	0
CMA1   	FOXP3  	0.018642
CMA1   	GATA3  	0.012701
CMA1   	ICOS   	0.0095329
CMA1   	IFNG   	0.015558
CMA1   	IFNGR2 	0.0089625
CMA1   	IL10   	0.013599
CMA1   	IL12A  	0.01316
CMA1   	IL12B  	0.012576
CMA1   	IL13   	0.01363
CMA1   	IL13RA1	0.013293
CMA1   	IL13RA2	0.013293
CMA1   	IL17A  	0.012069
CMA1   	IL17RB 	0.0043793
CMA1   	IL18   	0.013432
CMA1   	IL1RL1 	0.0018056
CMA1   	IL21   	0.012349
CMA1   	IL25   	0.0040056
CMA1   	IL2RA  	0.014521
CMA1   	IL3    	0.01425
CMA1   	IL33   	0.0040056
CMA1   	IL3RA  	0.013317
CMA1   	IL4    	0.016597
CMA1   	IL4R   	0.019636
CMA1   	IL5    	0.012175
CMA1   	IL5RA  	0.013317
CMA1   	IL9    	0.01351
CMA1   	KIT    	0.11193
CMA1   	KITLG  	0.11034
CMA1   	MAF    	0.0076924
CMA1   	MMP9   	0.00769
CMA1   	MS4A2  	0
CMA1   	PDCD1  	0.0048694
CMA1   	PPARG  	0.0044233
CMA1   	RETNLB 	0.0049016
CMA1   	RORC   	0.012707
CMA1   	SATB1  	0.0047935
CMA1   	STAT5A 	0.06532
CMA1   	STAT6  	0.012773
CMA1   	TBX21  	0.016943
CMA1   	TGFB1  	0.0096556
CMA1   	TNFRSF4	0.0048066
CMA1   	TNFSF4 	0.0014086
CMA1   	TSLP   	0.007811
CRLF2  	CSF2   	0.0074912
CRLF2  	CSF3R  	0.0025956
CRLF2  	FCER1A 	0
CRLF2  	FOXP3  	0.005678
CRLF2  	GATA3  	0.0079466
CRLF2  	ICOS   	0.0035848
CRLF2  	IFNG   	0.0063984
CRLF2  	IFNGR2 	0.0033023
CRLF2  	IL10   	0.0066292
CRLF2  	IL12A  	0.0065978
CRLF2  	IL12B  	0.0062809
CRLF2  	IL13   	0.0078845
CRLF2  	IL13RA1	0.0072948
CRLF2  	IL13RA2	0.0072948
CRLF2  	IL17A  	0.0067697
CRLF2  	IL17RB 	0.0043539
CRLF2  	IL18   	0.0069444
CRLF2  	IL1RL1 	0.0034832
CRLF2  	IL21   	0.0061744
CRLF2  	IL25   	0.0066147
CRLF2  	IL2RA  	0.0077827
CRLF2  	IL3    	0.0091727
CRLF2  	IL33   	0.0066147
CRLF2  	IL3RA  	0.0088951
CRLF2  	IL4    	0.014814
CRLF2  	IL4R   	0.0069705
CRLF2  	IL5    	0.018859
CRLF2  	IL5RA  	0.0088951
CRLF2  	IL9    	0.0091103
CRLF2  	KIT    	0.0034109
CRLF2  	KITLG  	0.0048995
CRLF2  	MAF    	0.0068136
CRLF2  	MMP9   	0.003448
CRLF2  	MS4A2  	0
CRLF2  	PDCD1  	0.0015162
CRLF2  	PPARG  	0.0017833
CRLF2  	RETNLB 	0.002533
CRLF2  	RORC   	0.0039701
CRLF2  	SATB1  	0.0028186
CRLF2  	STAT5A 	0.0046166
CRLF2  	STAT6  	0.0073341
CRLF2  	TBX21  	0.0062051
CRLF2  	TGFB1  	0.0044171
CRLF2  	TNFRSF4	0.0022666
CRLF2  	TNFSF4 	0.00060624
CRLF2  	TSLP   	0.19493
CSF2   	CSF3R  	0.043464
CSF2   	FCER1A 	0
