ADAM33 	ALOX5  	0.00887
BCL6   	CCL8   	0.013866
BCL6   	CCR3   	0.013964
BCL6   	CCR4   	0.014115
BCL6   	CCR8   	0.014033
BCL6   	CD40LG 	0.014443
BCL6   	CLC    	0.010786
BCL6   	CLCA1  	0.0095016
BCL6   	CMA1   	0.012416
BCL6   	CPA3   	0.0092295
BCL6   	CRLF2  	0.014142
BCL6   	CSF2   	0.013886
BCL6   	CSF3R  	0.014158
BCL6   	CYSLTR1	0.011065
BCL6   	EPX    	0.012894
BCL6   	FCER1A 	0.0090965
BCL6   	FOXP3  	0.01435
BCL6   	GATA3  	0.014257
BCL6   	GPR44  	0.013525
BCL6   	ICOS   	0.014517
BCL6   	IFNG   	0.014164
BCL6   	IFNGR2 	0.014231
BCL6   	IL10   	0.014164
BCL6   	IL12A  	0.014429
BCL6   	IL12B  	0.014248
BCL6   	IL13   	0.013967
BCL6   	IL13RA1	0.014105
BCL6   	IL13RA2	0.01416
BCL6   	IL17A  	0.014201
BCL6   	IL17RB 	0.013486
BCL6   	IL18   	0.014124
BCL6   	IL1RL1 	0.014238
BCL6   	IL21   	0.01457
BCL6   	IL25   	0.01408
BCL6   	IL2RA  	0.014175
BCL6   	IL3    	0.01402
BCL6   	IL33   	0.014167
BCL6   	IL3RA  	0.013992
BCL6   	IL4    	0.013891
BCL6   	IL4R   	0.013745
BCL6   	IL5    	0.013974
BCL6   	IL5RA  	0.014147
BCL6   	IL9    	0.013836
BCL6   	KIT    	0.013025
BCL6   	KITLG  	0.01323
BCL6   	LTB4R  	0.010037
BCL6   	MAF    	0.014793
BCL6   	MMP9   	0.013446
BCL6   	MRC1   	0.0034064
BCL6   	MS4A2  	0.010664
BCL6   	PDCD1  	0.013775
BCL6   	PMCH   	0.0096989
BCL6   	POSTN  	0.0040495
BCL6   	PPARG  	0.014264
BCL6   	RETNLB 	0.0065464
BCL6   	RNASE2 	0.012477
BCL6   	RNASE3 	0.013421
BCL6   	RORC   	0.014898
BCL6   	SATB1  	0.013499
BCL6   	STAT5A 	0.014287
BCL6   	STAT6  	0.014073
BCL6   	TBX21  	0.014682
BCL6   	TGFB1  	0.014041
BCL6   	TNFRSF4	0.014647
BCL6   	TNFSF4 	0.014625
BCL6   	TSLP   	0.014209
CCL11  	CCL17  	0.013894
CCL11  	CCL2   	0.013834
CCL11  	CCL22  	0.013953
CCL11  	CCL24  	0.013993
CCL11  	CCL26  	0.013993
CCL11  	CCL5   	0.013854
CCL11  	CCL8   	0.014332
CCL11  	CCR3   	0.013993
CCL11  	CCR4   	0.013972
CCL11  	CCR8   	0.01406
CCL11  	CD40LG 	0.013715
CCL11  	CLC    	0.0164
CCL11  	CLCA1  	0.010011
CCL11  	CMA1   	0.012606
CCL11  	CPA3   	0.0098684
CCL11  	CRLF2  	0.014026
CCL11  	CSF2   	0.013855
CCL11  	CSF3R  	0.013673
CCL11  	CYSLTR1	0.014498
CCL11  	EPX    	0.015029
CCL11  	FCER1A 	0.010032
CCL11  	FOXP3  	0.013763
CCL11  	GATA3  	0.013653
CCL11  	GPR44  	0.013896
CCL11  	ICOS   	0.013611
CCL11  	IFNG   	0.013722
CCL11  	IFNGR2 	0.013463
CCL11  	IL10   	0.013666
CCL11  	IL12A  	0.013709
CCL11  	IL12B  	0.013718
CCL11  	IL13   	0.013653
CCL11  	IL13RA1	0.013681
CCL11  	IL13RA2	0.013712
CCL11  	IL17A  	0.013755
CCL11  	IL17RB 	0.013662
CCL11  	IL18   	0.013777
CCL11  	IL1RL1 	0.01376
CCL11  	IL21   	0.013767
CCL11  	IL25   	0.013824
CCL11  	IL2RA  	0.013768
CCL11  	IL3    	0.013791
CCL11  	IL33   	0.013829
CCL11  	IL3RA  	0.01369
CCL11  	IL4    	0.013608
CCL11  	IL4R   	0.013579
CCL11  	IL5    	0.013766
CCL11  	IL5RA  	0.013872
CCL11  	IL9    	0.013568
CCL11  	KIT    	0.013022
CCL11  	KITLG  	0.013724
CCL11  	LTB4R  	0.013877
CCL11  	MAF    	0.01368
CCL11  	MMP9   	0.013212
CCL11  	MRC1   	0.002592
CCL11  	MS4A2  	0.011331
CCL11  	PDCD1  	0.01286
CCL11  	PMCH   	0.009186
CCL11  	POSTN  	0.0050369
CCL11  	PPARG  	0.013903
CCL11  	RETNLB 	0.0054978
CCL11  	RNASE2 	0.015463
CCL11  	RNASE3 	0.014444
CCL11  	RORC   	0.013896
CCL11  	SATB1  	0.013097
CCL11  	STAT5A 	0.013768
CCL11  	STAT6  	0.013493
CCL11  	TBX21  	0.013734
CCL11  	TGFB1  	0.01375
CCL11  	TNFRSF4	0.01358
CCL11  	TNFSF4 	0.013488
CCL11  	TSLP   	0.013811
CCL17  	CCL2   	0.014052
CCL17  	CCL22  	0.014496
CCL17  	CCL24  	0.014331
CCL17  	CCL26  	0.014331
CCL17  	CCL5   	0.013989
CCL17  	CCL8   	0.015044
CCL17  	CCR3   	0.014151
CCL17  	CCR4   	0.014312
CCL17  	CCR8   	0.014386
CCL17  	CD40LG 	0.013985
CCL17  	CLC    	0.012424
CCL17  	CLCA1  	0.010053
CCL17  	CMA1   	0.012572
CCL17  	CPA3   	0.0096936
CCL17  	CRLF2  	0.016713
CCL17  	CSF2   	0.013836
CCL17  	CSF3R  	0.013831
CCL17  	CYSLTR1	0.011918
CCL17  	EPX    	0.0136
CCL17  	FCER1A 	0.01006
CCL17  	FOXP3  	0.014054
CCL17  	GATA3  	0.013902
CCL17  	GPR44  	0.013846
CCL17  	ICOS   	0.013977
CCL17  	IFNG   	0.013945
CCL17  	IFNGR2 	0.013831
CCL17  	IL10   	0.013896
CCL17  	IL12A  	0.013985
CCL17  	IL12B  	0.013951
CCL17  	IL13   	0.013862
CCL17  	IL13RA1	0.013955
CCL17  	IL13RA2	0.013947
CCL17  	IL17A  	0.013963
CCL17  	IL17RB 	0.013436
CCL17  	IL18   	0.013891
CCL17  	IL1RL1 	0.013987
CCL17  	IL21   	0.01402
CCL17  	IL25   	0.013984
CCL17  	IL2RA  	0.013941
CCL17  	IL3    	0.013907
CCL17  	IL33   	0.014062
CCL17  	IL3RA  	0.013795
CCL17  	IL4    	0.013799
CCL17  	IL4R   	0.013674
CCL17  	IL5    	0.013833
CCL17  	IL5RA  	0.014042
CCL17  	IL9    	0.01372
CCL17  	KIT    	0.013035
CCL17  	KITLG  	0.013311
CCL17  	LTB4R  	0.010942
CCL17  	MAF    	0.01402
CCL17  	MMP9   	0.013385
CCL17  	MRC1   	0.0027856
CCL17  	MS4A2  	0.011322
CCL17  	PDCD1  	0.013341
CCL17  	PMCH   	0.0092898
CCL17  	POSTN  	0.0048853
CCL17  	PPARG  	0.01406
CCL17  	RETNLB 	0.0057568
CCL17  	RNASE2 	0.013362
CCL17  	RNASE3 	0.013731
CCL17  	RORC   	0.014139
CCL17  	SATB1  	0.01335
CCL17  	STAT5A 	0.014095
CCL17  	STAT6  	0.01372
CCL17  	TBX21  	0.014005
CCL17  	TGFB1  	0.013897
CCL17  	TNFRSF4	0.014091
CCL17  	TNFSF4 	0.014189
CCL17  	TSLP   	0.014323
CCL2   	CCL22  	0.014125
CCL2   	CCL24  	0.01418
CCL2   	CCL26  	0.01418
CCL2   	CCL5   	0.013934
CCL2   	CCL8   	0.014594
CCL2   	CCR3   	0.014019
CCL2   	CCR4   	0.014155
CCL2   	CCR8   	0.01418
CCL2   	CD40LG 	0.013971
CCL2   	CLC    	0.012343
CCL2   	CLCA1  	0.0101
CCL2   	CMA1   	0.01289
CCL2   	CPA3   	0.010327
CCL2   	CRLF2  	0.014397
CCL2   	CSF2   	0.013821
CCL2   	CSF3R  	0.013893
CCL2   	CYSLTR1	0.012162
CCL2   	EPX    	0.013518
CCL2   	FCER1A 	0.010124
CCL2   	FOXP3  	0.014036
CCL2   	GATA3  	0.013933
CCL2   	GPR44  	0.013723
CCL2   	ICOS   	0.01401
CCL2   	IFNG   	0.013956
CCL2   	IFNGR2 	0.014228
CCL2   	IL10   	0.013939
CCL2   	IL12A  	0.014058
CCL2   	IL12B  	0.013996
CCL2   	IL13   	0.013834
CCL2   	IL13RA1	0.013953
CCL2   	IL13RA2	0.013949
CCL2   	IL17A  	0.01398
CCL2   	IL17RB 	0.01355
CCL2   	IL18   	0.013907
CCL2   	IL1RL1 	0.014111
CCL2   	IL21   	0.014015
CCL2   	IL25   	0.013933
CCL2   	IL2RA  	0.013925
CCL2   	IL3    	0.013884
CCL2   	IL33   	0.014032
CCL2   	IL3RA  	0.013811
CCL2   	IL4    	0.013775
CCL2   	IL4R   	0.01366
CCL2   	IL5    	0.013794
CCL2   	IL5RA  	0.013992
CCL2   	IL9    	0.013709
CCL2   	KIT    	0.013187
CCL2   	KITLG  	0.013395
CCL2   	LTB4R  	0.011304
CCL2   	MAF    	0.014068
CCL2   	MMP9   	0.013688
CCL2   	MRC1   	0.0024169
CCL2   	MS4A2  	0.011387
CCL2   	PDCD1  	0.0137
CCL2   	PMCH   	0.0092289
CCL2   	POSTN  	0.0049517
CCL2   	PPARG  	0.014258
CCL2   	RETNLB 	0.0054231
CCL2   	RNASE2 	0.01329
CCL2   	RNASE3 	0.013687
CCL2   	RORC   	0.014375
CCL2   	SATB1  	0.013415
CCL2   	STAT5A 	0.013964
CCL2   	STAT6  	0.013683
CCL2   	TBX21  	0.014033
CCL2   	TGFB1  	0.013938
CCL2   	TNFRSF4	0.014069
CCL2   	TNFSF4 	0.014035
CCL2   	TSLP   	0.014029
CCL22  	CCL24  	0.014451
CCL22  	CCL26  	0.014451
CCL22  	CCL5   	0.014057
CCL22  	CCL8   	0.015407
CCL22  	CCR3   	0.014252
CCL22  	CCR4   	0.014443
CCL22  	CCR8   	0.01454
CCL22  	CD40LG 	0.014021
CCL22  	CLC    	0.012309
CCL22  	CLCA1  	0.0097359
CCL22  	CMA1   	0.012491
CCL22  	CPA3   	0.009441
CCL22  	CRLF2  	0.01753
CCL22  	CSF2   	0.013869
CCL22  	CSF3R  	0.013742
CCL22  	CYSLTR1	0.011815
CCL22  	EPX    	0.01361
CCL22  	FCER1A 	0.010017
CCL22  	FOXP3  	0.01411
CCL22  	GATA3  	0.013929
CCL22  	GPR44  	0.013926
CCL22  	ICOS   	0.013995
CCL22  	IFNG   	0.013988
CCL22  	IFNGR2 	0.013827
CCL22  	IL10   	0.013929
CCL22  	IL12A  	0.01402
CCL22  	IL12B  	0.013987
CCL22  	IL13   	0.0139
CCL22  	IL13RA1	0.013914
CCL22  	IL13RA2	0.013956
CCL22  	IL17A  	0.01401
CCL22  	IL17RB 	0.013444
CCL22  	IL18   	0.013923
CCL22  	IL1RL1 	0.013983
CCL22  	IL21   	0.014063
CCL22  	IL25   	0.014036
CCL22  	IL2RA  	0.013973
CCL22  	IL3    	0.013944
CCL22  	IL33   	0.014107
CCL22  	IL3RA  	0.0138
CCL22  	IL4    	0.01384
CCL22  	IL4R   	0.013693
CCL22  	IL5    	0.013883
CCL22  	IL5RA  	0.014088
CCL22  	IL9    	0.013743
CCL22  	KIT    	0.012994
CCL22  	KITLG  	0.013301
CCL22  	LTB4R  	0.01076
CCL22  	MAF    	0.014033
CCL22  	MMP9   	0.013392
CCL22  	MRC1   	0.0022676
CCL22  	MS4A2  	0.011263
CCL22  	PDCD1  	0.013287
CCL22  	PMCH   	0.0093494
CCL22  	POSTN  	0.0044001
CCL22  	PPARG  	0.01413
CCL22  	RETNLB 	0.0052915
CCL22  	RNASE2 	0.013335
CCL22  	RNASE3 	0.013751
CCL22  	RORC   	0.014202
CCL22  	SATB1  	0.013361
CCL22  	STAT5A 	0.014179
CCL22  	STAT6  	0.013747
CCL22  	TBX21  	0.014042
CCL22  	TGFB1  	0.013934
CCL22  	TNFRSF4	0.014087
CCL22  	TNFSF4 	0.014187
CCL22  	TSLP   	0.014454
CCL24  	CCL26  	0.015048
CCL24  	CCL5   	0.014123
CCL24  	CCL8   	0.016444
CCL24  	CCR3   	0.014546
CCL24  	CCR4   	0.014825
CCL24  	CCR8   	0.015052
CCL24  	CD40LG 	0.013975
CCL24  	CLC    	0.011871
CCL24  	CLCA1  	0.010186
CCL24  	CMA1   	0.012234
CCL24  	CPA3   	0.00889
CCL24  	CRLF2  	0.014229
CCL24  	CSF2   	0.013821
CCL24  	CSF3R  	0.013304
CCL24  	CYSLTR1	0.01123
CCL24  	EPX    	0.01357
CCL24  	FCER1A 	0.010272
CCL24  	FOXP3  	0.014133
CCL24  	GATA3  	0.014013
CCL24  	GPR44  	0.014293
CCL24  	ICOS   	0.013902
CCL24  	IFNG   	0.013992
CCL24  	IFNGR2 	0.013644
CCL24  	IL10   	0.013916
CCL24  	IL12A  	0.014039
CCL24  	IL12B  	0.014026
CCL24  	IL13   	0.014019
CCL24  	IL13RA1	0.014206
CCL24  	IL13RA2	0.01409
CCL24  	IL17A  	0.014002
CCL24  	IL17RB 	0.013292
CCL24  	IL18   	0.013928
CCL24  	IL1RL1 	0.013966
CCL24  	IL21   	0.014023
CCL24  	IL25   	0.013973
CCL24  	IL2RA  	0.013971
CCL24  	IL3    	0.013898
CCL24  	IL33   	0.014053
CCL24  	IL3RA  	0.013677
CCL24  	IL4    	0.013892
CCL24  	IL4R   	0.013768
CCL24  	IL5    	0.013945
CCL24  	IL5RA  	0.014124
CCL24  	IL9    	0.013746
CCL24  	KIT    	0.012754
CCL24  	KITLG  	0.01312
CCL24  	LTB4R  	0.010026
CCL24  	MAF    	0.014082
CCL24  	MMP9   	0.013303
CCL24  	MRC1   	0.0032562
CCL24  	MS4A2  	0.011463
CCL24  	PDCD1  	0.012837
CCL24  	PMCH   	0.0097087
CCL24  	POSTN  	0.0049388
CCL24  	PPARG  	0.013989
CCL24  	RETNLB 	0.0063327
CCL24  	RNASE2 	0.013147
CCL24  	RNASE3 	0.013707
CCL24  	RORC   	0.014032
CCL24  	SATB1  	0.013613
CCL24  	STAT5A 	0.01399
CCL24  	STAT6  	0.013927
CCL24  	TBX21  	0.014051
CCL24  	TGFB1  	0.013938
CCL24  	TNFRSF4	0.01386
CCL24  	TNFSF4 	0.013717
CCL24  	TSLP   	0.014071
CCL26  	CCL5   	0.014123
CCL26  	CCL8   	0.016444
CCL26  	CCR3   	0.014546
CCL26  	CCR4   	0.014825
CCL26  	CCR8   	0.015052
CCL26  	CD40LG 	0.013975
CCL26  	CLC    	0.011871
CCL26  	CLCA1  	0.010186
CCL26  	CMA1   	0.012234
CCL26  	CPA3   	0.00889
CCL26  	CRLF2  	0.014229
CCL26  	CSF2   	0.013821
CCL26  	CSF3R  	0.013304
CCL26  	CYSLTR1	0.01123
CCL26  	EPX    	0.01357
CCL26  	FCER1A 	0.010272
CCL26  	FOXP3  	0.014133
CCL26  	GATA3  	0.014013
CCL26  	GPR44  	0.014293
CCL26  	ICOS   	0.013902
CCL26  	IFNG   	0.013992
CCL26  	IFNGR2 	0.013644
CCL26  	IL10   	0.013916
CCL26  	IL12A  	0.014039
CCL26  	IL12B  	0.014026
CCL26  	IL13   	0.014019
CCL26  	IL13RA1	0.014206
CCL26  	IL13RA2	0.01409
CCL26  	IL17A  	0.014002
CCL26  	IL17RB 	0.013292
CCL26  	IL18   	0.013928
CCL26  	IL1RL1 	0.013966
CCL26  	IL21   	0.014023
CCL26  	IL25   	0.013973
CCL26  	IL2RA  	0.013971
CCL26  	IL3    	0.013898
CCL26  	IL33   	0.014053
CCL26  	IL3RA  	0.013677
CCL26  	IL4    	0.013892
CCL26  	IL4R   	0.013768
CCL26  	IL5    	0.013945
CCL26  	IL5RA  	0.014124
CCL26  	IL9    	0.013746
CCL26  	KIT    	0.012754
CCL26  	KITLG  	0.01312
CCL26  	LTB4R  	0.010026
CCL26  	MAF    	0.014082
CCL26  	MMP9   	0.013303
CCL26  	MRC1   	0.0032562
CCL26  	MS4A2  	0.011463
CCL26  	PDCD1  	0.012837
CCL26  	PMCH   	0.0097087
CCL26  	POSTN  	0.0049388
CCL26  	PPARG  	0.013989
CCL26  	RETNLB 	0.0063327
CCL26  	RNASE2 	0.013147
CCL26  	RNASE3 	0.013707
CCL26  	RORC   	0.014032
CCL26  	SATB1  	0.013613
CCL26  	STAT5A 	0.01399
CCL26  	STAT6  	0.013927
CCL26  	TBX21  	0.014051
CCL26  	TGFB1  	0.013938
CCL26  	TNFRSF4	0.01386
CCL26  	TNFSF4 	0.013717
CCL26  	TSLP   	0.014071
CCL5   	CCL8   	0.014548
CCL5   	CCR3   	0.014003
CCL5   	CCR4   	0.014085
CCL5   	CCR8   	0.014151
CCL5   	CD40LG 	0.013879
CCL5   	CLC    	0.013293
CCL5   	CLCA1  	0.010255
CCL5   	CMA1   	0.012963
CCL5   	CPA3   	0.010676
CCL5   	CRLF2  	0.014283
CCL5   	CSF2   	0.013809
CCL5   	CSF3R  	0.013871
CCL5   	CYSLTR1	0.012735
CCL5   	EPX    	0.013838
CCL5   	FCER1A 	0.010058
