ALOX5  	BCL6   	0.0078287
CCL17  	MS4A2  	0.003601
CCL17  	PDCD1  	0.0079463
CCL17  	PPARG  	0.014002
CCL17  	RETNLB 	0.011377
CCL17  	RNASE2 	0
CCL17  	RNASE3 	0
CCL17  	RORC   	0.014615
CCL17  	SATB1  	0.007736
CCL17  	STAT5A 	0.014527
CCL17  	STAT6  	0.01685
CCL17  	TBX21  	0.015338
CCL17  	TGFB1  	0.015754
CCL17  	TNFRSF4	0.010316
CCL17  	TNFSF4 	0.0045007
CCL17  	TSLP   	0.019159
CCL2   	CCL22  	0.021229
CCL2   	CCL24  	0.024082
CCL2   	CCL26  	0.020316
CCL2   	CCL5   	0.02083
CCL2   	CCL8   	0.024082
CCL2   	CCR3   	0.020841
CCL2   	CCR4   	0.023127
CCL2   	CCR8   	0.022615
CCL2   	CD40LG 	0.017825
CCL2   	CMA1   	0.009748
CCL2   	CRLF2  	0.010305
CCL2   	CSF2   	0.015876
CCL2   	CSF3R  	0.011082
CCL2   	CYSLTR1	0
CCL2   	EPX    	0
CCL2   	FCER1A 	0.0082161
CCL2   	FOXP3  	0.016854
CCL2   	GATA3  	0.015888
CCL2   	GPR44  	0.024465
CCL2   	ICOS   	0.01516
CCL2   	IFNG   	0.017275
CCL2   	IFNGR2 	0.016604
CCL2   	IL10   	0.016903
CCL2   	IL12A  	0.017028
CCL2   	IL12B  	0.017213
CCL2   	IL13   	0.016734
CCL2   	IL13RA1	0.01642
CCL2   	IL13RA2	0.01642
CCL2   	IL17A  	0.016811
CCL2   	IL17RB 	0.012648
CCL2   	IL18   	0.016659
CCL2   	IL1RL1 	0.012448
CCL2   	IL21   	0.015918
CCL2   	IL25   	0.014017
CCL2   	IL2RA  	0.016008
CCL2   	IL3    	0.016977
CCL2   	IL33   	0.013464
CCL2   	IL3RA  	0.016167
CCL2   	IL4    	0.016402
CCL2   	IL4R   	0.016469
CCL2   	IL5    	0.016404
CCL2   	IL5RA  	0.016078
CCL2   	IL9    	0.016467
CCL2   	KIT    	0.013465
CCL2   	KITLG  	0.013465
CCL2   	LTB4R  	0
CCL2   	MAF    	0.011858
CCL2   	MMP9   	0.019184
CCL2   	MS4A2  	0.0037164
CCL2   	PDCD1  	0.0096068
CCL2   	PPARG  	0.017712
CCL2   	RETNLB 	0.010405
CCL2   	RNASE2 	0
CCL2   	RNASE3 	0
CCL2   	RORC   	0.017561
CCL2   	SATB1  	0.0091254
CCL2   	STAT5A 	0.015277
CCL2   	STAT6  	0.016998
CCL2   	TBX21  	0.016579
CCL2   	TGFB1  	0.017904
CCL2   	TNFRSF4	0.011233
CCL2   	TNFSF4 	0.0051337
CCL2   	TSLP   	0.017008
CCL22  	CCL24  	0.030603
CCL22  	CCL26  	0.022815
CCL22  	CCL5   	0.023546
CCL22  	CCL8   	0.030603
CCL22  	CCR3   	0.024037
CCL22  	CCR4   	0.028412
CCL22  	CCR8   	0.027404
CCL22  	CD40LG 	0.017657
CCL22  	CMA1   	0.0079062
CCL22  	CRLF2  	0.016547
CCL22  	CSF2   	0.015178
CCL22  	CSF3R  	0.0082458
CCL22  	CYSLTR1	0
CCL22  	EPX    	0
CCL22  	FCER1A 	0.0071046
CCL22  	FOXP3  	0.016218
CCL22  	GATA3  	0.015122
CCL22  	GPR44  	0.031187
CCL22  	ICOS   	0.014211
CCL22  	IFNG   	0.016937
CCL22  	IFNGR2 	0.013872
CCL22  	IL10   	0.016185
CCL22  	IL12A  	0.015865
CCL22  	IL12B  	0.016329
CCL22  	IL13   	0.016207
CCL22  	IL13RA1	0.015226
CCL22  	IL13RA2	0.015226
CCL22  	IL17A  	0.015631
CCL22  	IL17RB 	0.010597
CCL22  	IL18   	0.015434
CCL22  	IL1RL1 	0.010912
CCL22  	IL21   	0.015068
CCL22  	IL25   	0.012627
CCL22  	IL2RA  	0.015209
CCL22  	IL3    	0.016613
CCL22  	IL33   	0.011937
CCL22  	IL3RA  	0.01507
CCL22  	IL4    	0.016071
CCL22  	IL4R   	0.01564
CCL22  	IL5    	0.016011
CCL22  	IL5RA  	0.014932
CCL22  	IL9    	0.015939
CCL22  	KIT    	0.01219
CCL22  	KITLG  	0.01219
CCL22  	LTB4R  	0
CCL22  	MAF    	0.010725
CCL22  	MMP9   	0.01766
CCL22  	MS4A2  	0.0027712
CCL22  	PDCD1  	0.0084539
CCL22  	PPARG  	0.014233
CCL22  	RETNLB 	0.009508
CCL22  	RNASE2 	0
CCL22  	RNASE3 	0
CCL22  	RORC   	0.01506
CCL22  	SATB1  	0.0080105
CCL22  	STAT5A 	0.014671
CCL22  	STAT6  	0.016739
CCL22  	TBX21  	0.015535
CCL22  	TGFB1  	0.016048
CCL22  	TNFRSF4	0.010051
CCL22  	TNFSF4 	0.0040696
CCL22  	TSLP   	0.01915
CCL24  	CCL26  	0.026821
CCL24  	CCL5   	0.028222
CCL24  	CCL8   	0.041419
CCL24  	CCR3   	0.029353
CCL24  	CCR4   	0.037208
CCL24  	CCR8   	0.035361
CCL24  	CD40LG 	0.017108
CCL24  	CMA1   	0.0057035
CCL24  	CRLF2  	0.011108
CCL24  	CSF2   	0.014412
CCL24  	CSF3R  	0.0065951
CCL24  	CYSLTR1	0
CCL24  	EPX    	0
CCL24  	FCER1A 	0.006183
CCL24  	FOXP3  	0.0151
CCL24  	GATA3  	0.013715
CCL24  	GPR44  	0.042915
CCL24  	ICOS   	0.012274
CCL24  	IFNG   	0.01646
CCL24  	IFNGR2 	0.011115
CCL24  	IL10   	0.015073
CCL24  	IL12A  	0.014185
CCL24  	IL12B  	0.015189
CCL24  	IL13   	0.015327
CCL24  	IL13RA1	0.013439
CCL24  	IL13RA2	0.013439
CCL24  	IL17A  	0.014126
CCL24  	IL17RB 	0.0080887
CCL24  	IL18   	0.013433
CCL24  	IL1RL1 	0.0087523
CCL24  	IL21   	0.013342
CCL24  	IL25   	0.010662
CCL24  	IL2RA  	0.013855
CCL24  	IL3    	0.01606
CCL24  	IL33   	0.0098356
CCL24  	IL3RA  	0.01361
CCL24  	IL4    	0.015589
CCL24  	IL4R   	0.014182
CCL24  	IL5    	0.015278
CCL24  	IL5RA  	0.013314
CCL24  	IL9    	0.015078
CCL24  	KIT    	0.010198
CCL24  	KITLG  	0.010198
CCL24  	LTB4R  	0
CCL24  	MAF    	0.0084143
CCL24  	MMP9   	0.017103
CCL24  	MS4A2  	0.0021734
CCL24  	PDCD1  	0.0058305
CCL24  	PPARG  	0.011855
CCL24  	RETNLB 	0.007974
CCL24  	RNASE2 	0
CCL24  	RNASE3 	0
CCL24  	RORC   	0.012591
CCL24  	SATB1  	0.0056648
CCL24  	STAT5A 	0.01285
CCL24  	STAT6  	0.016327
CCL24  	TBX21  	0.013863
CCL24  	TGFB1  	0.014158
CCL24  	TNFRSF4	0.0084047
CCL24  	TNFSF4 	0.0029105
CCL24  	TSLP   	0.019274
CCL26  	CCL5   	0.021756
CCL26  	CCL8   	0.026821
CCL26  	CCR3   	0.024447
CCL26  	CCR4   	0.025143
CCL26  	CCR8   	0.027536
CCL26  	CD40LG 	0.016183
CCL26  	CMA1   	0.0082398
CCL26  	CRLF2  	0.0082304
CCL26  	CSF2   	0.014857
CCL26  	CSF3R  	0.0071583
CCL26  	CYSLTR1	0
CCL26  	EPX    	0
CCL26  	FCER1A 	0.0097074
CCL26  	FOXP3  	0.015981
CCL26  	GATA3  	0.015573
CCL26  	GPR44  	0.027161
CCL26  	ICOS   	0.013753
CCL26  	IFNG   	0.016732
CCL26  	IFNGR2 	0.01275
CCL26  	IL10   	0.016129
CCL26  	IL12A  	0.016838
CCL26  	IL12B  	0.016605
CCL26  	IL13   	0.016362
CCL26  	IL13RA1	0.017588
CCL26  	IL13RA2	0.017588
CCL26  	IL17A  	0.015611
CCL26  	IL17RB 	0.010061
CCL26  	IL18   	0.015804
CCL26  	IL1RL1 	0.010328
CCL26  	IL21   	0.01487
CCL26  	IL25   	0.012184
CCL26  	IL2RA  	0.015419
CCL26  	IL3    	0.016517
CCL26  	IL33   	0.011478
CCL26  	IL3RA  	0.015412
CCL26  	IL4    	0.017179
CCL26  	IL4R   	0.016571
CCL26  	IL5    	0.015979
CCL26  	IL5RA  	0.014369
CCL26  	IL9    	0.015713
CCL26  	KIT    	0.012367
CCL26  	KITLG  	0.012367
CCL26  	LTB4R  	0
CCL26  	MAF    	0.011232
CCL26  	MMP9   	0.015976
CCL26  	MS4A2  	0.004687
CCL26  	PDCD1  	0.0081176
CCL26  	PPARG  	0.01355
CCL26  	RETNLB 	0.016099
CCL26  	RNASE2 	0
CCL26  	RNASE3 	0
CCL26  	RORC   	0.014041
CCL26  	SATB1  	0.008218
CCL26  	STAT5A 	0.014108
CCL26  	STAT6  	0.018949
CCL26  	TBX21  	0.015731
CCL26  	TGFB1  	0.015097
CCL26  	TNFRSF4	0.011435
CCL26  	TNFSF4 	0.0052927
CCL26  	TSLP   	0.016738
CCL5   	CCL8   	0.028222
CCL5   	CCR3   	0.022967
CCL5   	CCR4   	0.026617
CCL5   	CCR8   	0.025757
CCL5   	CD40LG 	0.019168
CCL5   	CMA1   	0.0086328
CCL5   	CRLF2  	0.010002
CCL5   	CSF2   	0.015715
CCL5   	CSF3R  	0.010791
CCL5   	CYSLTR1	0
CCL5   	EPX    	0
CCL5   	FCER1A 	0.0070593
CCL5   	FOXP3  	0.016569
CCL5   	GATA3  	0.015291
CCL5   	GPR44  	0.029111
CCL5   	ICOS   	0.015026
CCL5   	IFNG   	0.017172
CCL5   	IFNGR2 	0.014238
CCL5   	IL10   	0.016656
CCL5   	IL12A  	0.016168
CCL5   	IL12B  	0.01658
CCL5   	IL13   	0.016313
CCL5   	IL13RA1	0.015199
CCL5   	IL13RA2	0.015199
CCL5   	IL17A  	0.016239
CCL5   	IL17RB 	0.010955
CCL5   	IL18   	0.015648
CCL5   	IL1RL1 	0.01098
CCL5   	IL21   	0.015386
CCL5   	IL25   	0.012796
CCL5   	IL2RA  	0.015528
CCL5   	IL3    	0.017049
CCL5   	IL33   	0.012071
CCL5   	IL3RA  	0.015716
CCL5   	IL4    	0.016166
CCL5   	IL4R   	0.01576
CCL5   	IL5    	0.016103
CCL5   	IL5RA  	0.01569
CCL5   	IL9    	0.016183
CCL5   	KIT    	0.012623
CCL5   	KITLG  	0.012623
CCL5   	LTB4R  	0
CCL5   	MAF    	0.011375
CCL5   	MMP9   	0.019458
CCL5   	MS4A2  	0.0027209
CCL5   	PDCD1  	0.009287
CCL5   	PPARG  	0.017246
CCL5   	RETNLB 	0.0091707
CCL5   	RNASE2 	0
CCL5   	RNASE3 	0
CCL5   	RORC   	0.016948
CCL5   	SATB1  	0.0076933
CCL5   	STAT5A 	0.014657
CCL5   	STAT6  	0.016708
CCL5   	TBX21  	0.01598
CCL5   	TGFB1  	0.017357
CCL5   	TNFRSF4	0.010144
CCL5   	TNFSF4 	0.0040661
CCL5   	TSLP   	0.0174
CCL8   	CCR3   	0.029353
CCL8   	CCR4   	0.037208
CCL8   	CCR8   	0.035361
CCL8   	CD40LG 	0.017108
CCL8   	CMA1   	0.0057035
CCL8   	CRLF2  	0.011108
CCL8   	CSF2   	0.014412
CCL8   	CSF3R  	0.0065951
CCL8   	CYSLTR1	0
CCL8   	EPX    	0
CCL8   	FCER1A 	0.006183
CCL8   	FOXP3  	0.0151
CCL8   	GATA3  	0.013715
CCL8   	GPR44  	0.042915
CCL8   	ICOS   	0.012274
CCL8   	IFNG   	0.01646
CCL8   	IFNGR2 	0.011115
CCL8   	IL10   	0.015073
CCL8   	IL12A  	0.014185
CCL8   	IL12B  	0.015189
CCL8   	IL13   	0.015327
CCL8   	IL13RA1	0.013439
CCL8   	IL13RA2	0.013439
CCL8   	IL17A  	0.014126
CCL8   	IL17RB 	0.0080887
CCL8   	IL18   	0.013433
CCL8   	IL1RL1 	0.0087523
CCL8   	IL21   	0.013342
CCL8   	IL25   	0.010662
CCL8   	IL2RA  	0.013855
CCL8   	IL3    	0.01606
CCL8   	IL33   	0.0098356
CCL8   	IL3RA  	0.01361
CCL8   	IL4    	0.015589
CCL8   	IL4R   	0.014182
CCL8   	IL5    	0.015278
CCL8   	IL5RA  	0.013314
CCL8   	IL9    	0.015078
CCL8   	KIT    	0.010198
CCL8   	KITLG  	0.010198
CCL8   	LTB4R  	0
CCL8   	MAF    	0.0084143
CCL8   	MMP9   	0.017103
CCL8   	MS4A2  	0.0021734
CCL8   	PDCD1  	0.0058305
CCL8   	PPARG  	0.011855
CCL8   	RETNLB 	0.007974
CCL8   	RNASE2 	0
CCL8   	RNASE3 	0
CCL8   	RORC   	0.012591
CCL8   	SATB1  	0.0056648
CCL8   	STAT5A 	0.01285
CCL8   	STAT6  	0.016327
CCL8   	TBX21  	0.013863
CCL8   	TGFB1  	0.014158
CCL8   	TNFRSF4	0.0084047
CCL8   	TNFSF4 	0.0029105
CCL8   	TSLP   	0.019274
CCR3   	CCR4   	0.027332
CCR3   	CCR8   	0.026733
CCR3   	CD40LG 	0.017686
CCR3   	CMA1   	0.0083808
CCR3   	CRLF2  	0.010642
CCR3   	CSF2   	0.015482
CCR3   	CSF3R  	0.0089332
CCR3   	CYSLTR1	0
CCR3   	EPX    	0
CCR3   	FCER1A 	0.0080526
CCR3   	FOXP3  	0.016111
CCR3   	GATA3  	0.015207
CCR3   	GPR44  	0.030107
CCR3   	ICOS   	0.01422
CCR3   	IFNG   	0.016919
CCR3   	IFNGR2 	0.013808
CCR3   	IL10   	0.016243
CCR3   	IL12A  	0.015957
CCR3   	IL12B  	0.016345
CCR3   	IL13   	0.016349
CCR3   	IL13RA1	0.015662
CCR3   	IL13RA2	0.015662
CCR3   	IL17A  	0.015679
CCR3   	IL17RB 	0.011463
CCR3   	IL18   	0.015589
CCR3   	IL1RL1 	0.012189
CCR3   	IL21   	0.015129
CCR3   	IL25   	0.013497
CCR3   	IL2RA  	0.015466
CCR3   	IL3    	0.017025
CCR3   	IL33   	0.012868
CCR3   	IL3RA  	0.016085
CCR3   	IL4    	0.016256
CCR3   	IL4R   	0.015857
CCR3   	IL5    	0.016296
CCR3   	IL5RA  	0.016031
CCR3   	IL9    	0.016384
CCR3   	KIT    	0.012458
CCR3   	KITLG  	0.012458
CCR3   	LTB4R  	0
CCR3   	MAF    	0.010938
CCR3   	MMP9   	0.017215
CCR3   	MS4A2  	0.0036281
CCR3   	PDCD1  	0.0084932
CCR3   	PPARG  	0.013996
CCR3   	RETNLB 	0.009969
CCR3   	RNASE2 	0
CCR3   	RNASE3 	0
CCR3   	RORC   	0.014691
CCR3   	SATB1  	0.0080423
CCR3   	STAT5A 	0.014484
CCR3   	STAT6  	0.016921
CCR3   	TBX21  	0.015536
CCR3   	TGFB1  	0.015933
CCR3   	TNFRSF4	0.0108
CCR3   	TNFSF4 	0.0048927
CCR3   	TSLP   	0.017745
CCR4   	CCR8   	0.032334
CCR4   	CD40LG 	0.01759
CCR4   	CMA1   	0.006465
CCR4   	CRLF2  	0.010996
CCR4   	CSF2   	0.01481
CCR4   	CSF3R  	0.0075774
CCR4   	CYSLTR1	0
CCR4   	EPX    	0
CCR4   	FCER1A 	0.0065358
CCR4   	FOXP3  	0.015565
CCR4   	GATA3  	0.014266
CCR4   	GPR44  	0.038481
CCR4   	ICOS   	0.01302
CCR4   	IFNG   	0.016711
CCR4   	IFNGR2 	0.012123
CCR4   	IL10   	0.015596
CCR4   	IL12A  	0.014885
CCR4   	IL12B  	0.015701
CCR4   	IL13   	0.015727
CCR4   	IL13RA1	0.014167
CCR4   	IL13RA2	0.014167
CCR4   	IL17A  	0.014822
CCR4   	IL17RB 	0.0091074
CCR4   	IL18   	0.014197
CCR4   	IL1RL1 	0.0096118
CCR4   	IL21   	0.013995
CCR4   	IL25   	0.011493
CCR4   	IL2RA  	0.014412
CCR4   	IL3    	0.016379
CCR4   	IL33   	0.010695
CCR4   	IL3RA  	0.014246
CCR4   	IL4    	0.015802
CCR4   	IL4R   	0.014773
CCR4   	IL5    	0.015606
CCR4   	IL5RA  	0.014088
CCR4   	IL9    	0.015519
CCR4   	KIT    	0.01091
CCR4   	KITLG  	0.01091
CCR4   	LTB4R  	0
CCR4   	MAF    	0.0091331
CCR4   	MMP9   	0.017796
CCR4   	MS4A2  	0.0023952
CCR4   	PDCD1  	0.0065895
CCR4   	PPARG  	0.013241
CCR4   	RETNLB 	0.0085918
CCR4   	RNASE2 	0
CCR4   	RNASE3 	0
CCR4   	RORC   	0.013803
CCR4   	SATB1  	0.0063153
CCR4   	STAT5A 	0.01343
CCR4   	STAT6  	0.016528
CCR4   	TBX21  	0.014546
CCR4   	TGFB1  	0.015166
CCR4   	TNFRSF4	0.0089544
CCR4   	TNFSF4 	0.0032492
CCR4   	TSLP   	0.018813
CCR8   	CD40LG 	0.017464
CCR8   	CMA1   	0.0067778
CCR8   	CRLF2  	0.01074
CCR8   	CSF2   	0.014881
CCR8   	CSF3R  	0.0076561
CCR8   	CYSLTR1	0
CCR8   	EPX    	0
CCR8   	FCER1A 	0.0069557
CCR8   	FOXP3  	0.015664
CCR8   	GATA3  	0.014497
CCR8   	GPR44  	0.03649
CCR8   	ICOS   	0.013203
CCR8   	IFNG   	0.016739
CCR8   	IFNGR2 	0.012335
CCR8   	IL10   	0.01572
CCR8   	IL12A  	0.015204
CCR8   	IL12B  	0.015864
CCR8   	IL13   	0.015856
CCR8   	IL13RA1	0.014662
CCR8   	IL13RA2	0.014662
CCR8   	IL17A  	0.014992
CCR8   	IL17RB 	0.0093989
CCR8   	IL18   	0.014498
CCR8   	IL1RL1 	0.0099079
CCR8   	IL21   	0.014198
CCR8   	IL25   	0.011741
CCR8   	IL2RA  	0.014624
CCR8   	IL3    	0.016474
CCR8   	IL33   	0.010963
CCR8   	IL3RA  	0.01456
CCR8   	IL4    	0.016009
CCR8   	IL4R   	0.01507
CCR8   	IL5    	0.015719
CCR8   	IL5RA  	0.014318
CCR8   	IL9    	0.015629
CCR8   	KIT    	0.011191
CCR8   	KITLG  	0.011191
CCR8   	LTB4R  	0
CCR8   	MAF    	0.0094914
CCR8   	MMP9   	0.017548
CCR8   	MS4A2  	0.0026775
CCR8   	PDCD1  	0.0068785
CCR8   	PPARG  	0.013351
CCR8   	RETNLB 	0.0093704
CCR8   	RNASE2 	0
CCR8   	RNASE3 	0
CCR8   	RORC   	0.013913
CCR8   	SATB1  	0.0066243
CCR8   	STAT5A 	0.013595
CCR8   	STAT6  	0.016848
CCR8   	TBX21  	0.014771
CCR8   	TGFB1  	0.015237
CCR8   	TNFRSF4	0.0093555
CCR8   	TNFSF4 	0.0035479
CCR8   	TSLP   	0.018507
CD40LG 	CMA1   	0.0081701
CD40LG 	CRLF2  	0.0068661
CD40LG 	CSF2   	0.016427
CD40LG 	CSF3R  	0.0098516
CD40LG 	CYSLTR1	0
CD40LG 	EPX    	0
CD40LG 	FCER1A 	0.0068401
CD40LG 	FOXP3  	0.018454
CD40LG 	GATA3  	0.017131
CD40LG 	GPR44  	0.017491
CD40LG 	ICOS   	0.023343
CD40LG 	IFNG   	0.018685
CD40LG 	IFNGR2 	0.017137
CD40LG 	IL10   	0.019249
CD40LG 	IL12A  	0.017864
