	ALOX5	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CMA1	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MS4A2	PDCD1	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
CCR3	0.0089014	0.010724	0.02143	0.022629	0.020685	0.022575	0.034272	0.024731	0.023058	0.034272	0.024387	0.027706	0.027695	0.017535	0.0055077	0.010251	0.015417	0.0089014	0	0	0.0079923	0.015657	0.014977	0.032949	0.01394	0.016708	0.01364	0.016027	0.015711	0.016116	0.016187	0.01548	0.01548	0.015391	0.010507	0.015389	0.011647	0.014904	0.01363	0.015284	0.016964	0.013217	0.015991	0.016133	0.015671	0.01616	0.015945	0.016269	0.013442	0.012107	0	0.012006	0.017783	0.0036075	0.0066624	0.013777	0.0098156	0	0	0.013463	0.0079473	0.01433	0.016645	0.015216	0.015909	0.010705	0.0048622	0.017078	
CCR4	0.0075802	0.0088145	0.024009	0.026149	0.022915	0.026117	0.047708	0.024151	0.025715	0.047708	0.027706	0.036583	0.032621	0.017185	0.0041262	0.010828	0.014679	0.0075802	0	0	0.0064638	0.015004	0.01402	0.032123	0.012741	0.016398	0.012046	0.015365	0.014642	0.015487	0.015571	0.014011	0.014011	0.014551	0.0084999	0.014022	0.0089032	0.013774	0.011858	0.014207	0.016238	0.011063	0.014116	0.015575	0.014584	0.015434	0.014021	0.015439	0.011867	0.010656	0	0.0099693	0.018679	0.0023783	0.0052519	0.013041	0.0084508	0	0	0.01211	0.0062753	0.013273	0.016119	0.014186	0.015297	0.0088616	0.0032306	0.018014	
CCR8	0.0075785	0.0089326	0.023295	0.02517	0.022269	0.025067	0.04245	0.028265	0.025738	0.04245	0.027695	0.032621	0.032652	0.017201	0.0043055	0.010123	0.014714	0.0075785	0	0	0.0068774	0.014985	0.014146	0.040437	0.012834	0.016391	0.012091	0.015381	0.014851	0.015512	0.015571	0.014398	0.014398	0.0146	0.0086317	0.014195	0.0091224	0.013857	0.011927	0.014332	0.016343	0.011188	0.014397	0.015771	0.014775	0.015472	0.014161	0.015413	0.012065	0.010836	0	0.010359	0.018281	0.0026621	0.0053422	0.013027	0.0092069	0	0	0.012189	0.0065013	0.01329	0.016441	0.014301	0.01517	0.009222	0.0035187	0.017426	
CD40LG	0.0099341	0.013731	0.017627	0.01748	0.017929	0.017911	0.015278	0.016154	0.019324	0.015278	0.017535	0.017185	0.017201	0.030281	0.0053056	0.0070267	0.016624	0.0099341	0	0	0.0068927	0.018553	0.017241	0.01818	0.023448	0.01881	0.017225	0.019376	0.017968	0.018035	0.017228	0.016237	0.016237	0.017557	0.011584	0.017847	0.011049	0.018335	0.014373	0.017784	0.01959	0.013369	0.01815	0.016684	0.017372	0.01707	0.01845	0.017527	0.01435	0.012868	0	0.022079	0.017657	0.002451	0.024962	0.014289	0.0092349	0	0	0.016312	0.0098278	0.016119	0.017106	0.018338	0.0188	0.011589	0.0047278	0.015379	
CMA1	0.0085485	0.011453	0.0060181	0.0058624	0.0066694	0.0055327	0.0027587	0.0054581	0.0058127	0.0027587	0.0055077	0.0041262	0.0043055	0.0053056	0.449	0.0031493	0.017931	0.0085485	0	0	0.0044149	0.0077358	0.006541	0.0032077	0.0053692	0.0075963	0.0037503	0.0071276	0.0066015	0.0064734	0.0072067	0.006803	0.006803	0.0062629	0.0026135	0.0068302	0.0028403	0.007436	0.0044482	0.0082819	0.008185	0.0038468	0.0094778	0.012183	0.0089328	0.0073591	0.0083621	0.0079988	0.045064	0.12284	0	0.0053945	0.0043532	0.0014532	0.0015744	0.0049672	0.0021313	0	0	0.0048808	0.0021292	0.026421	0.0065546	0.0079308	0.0050239	0.0053738	0.0017302	0.0087353	
CRLF2	0.003388	0.0086347	0.011398	0.018221	0.010609	0.018014	0.0072963	0.0081617	0.010147	0.0072963	0.010251	0.010828	0.010123	0.0070267	0.0031493	0.42695	0.0090503	0.003388	0	0	0.0040526	0.0091929	0.0086366	0.0071397	0.0063872	0.0093052	0.0050271	0.0086595	0.0078914	0.0084139	0.012479	0.008881	0.008881	0.0082232	0.0044533	0.0085281	0.006469	0.0084387	0.0078875	0.0085476	0.0089867	0.0080053	0.0085456	0.011283	0.010026	0.01236	0.0079168	0.0092033	0.009726	0.0087353	0	0.0053636	0.0067424	0.0013344	0.0019675	0.0054756	0.0034809	0	0	0.0058768	0.00316	0.017034	0.0093028	0.0085799	0.0075059	0.0051707	0.0016569	0.081137	
CSF2	0.038553	0.016332	0.015959	0.01551	0.016069	0.015541	0.01311	0.014926	0.015859	0.01311	0.015417	0.014679	0.014714	0.016624	0.017931	0.0090503	0.020892	0.038553	0	0	0.008474	0.015997	0.015472	0.014086	0.01469	0.016353	0.01384	0.016444	0.015908	0.015842	0.016517	0.016222	0.016222	0.01569	0.012619	0.016242	0.013816	0.016428	0.015834	0.016971	0.0183	0.015302	0.020717	0.016346	0.01673	0.016956	0.021565	0.018128	0.02217	0.020796	0	0.013125	0.014879	0.0038936	0.0078	0.013398	0.0089217	0	0	0.014263	0.00906	0.018315	0.015648	0.015973	0.015832	0.012979	0.006901	0.015508	
CSF3R	0.028314	0.0079348	0.0096393	0.0086843	0.011239	0.0087129	0.0054751	0.0071953	0.010934	0.0054751	0.0089014	0.0075802	0.0075785	0.0099341	0.0085485	0.003388	0.038553	0.39619	0	0	0.0038936	0.0093401	0.00906	0.0066641	0.0078	0.01101	0.006263	0.011486	0.0084364	0.0090927	0.011254	0.0085013	0.0085013	0.0088451	0.005056	0.0087477	0.0062406	0.0098932	0.00883	0.013242	0.01513	0.0077698	0.018788	0.011111	0.01044	0.012286	0.019731	0.014787	0.019933	0.017931	0	0.0057862	0.0076396	0.0012567	0.0027313	0.0058179	0.0033237	0	0	0.0062834	0.0034331	0.014373	0.0089217	0.0091098	0.0086007	0.006901	0.0024276	0.0090503	
CYSLTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EPX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0.31674	0	0	0	0	0	0	0	0	0	
FCER1A	0.0038936	0.0055277	0.0085173	0.0084438	0.0083235	0.0074044	0.0052324	0.0097464	0.0071184	0.0052324	0.0079923	0.0064638	0.0068774	0.0068927	0.0044149	0.0040526	0.008474	0.0038936	0	0	0.2515	0.0079679	0.008697	0.0054413	0.0072549	0.008207	0.0057741	0.0081824	0.0097716	0.0090026	0.008908	0.010731	0.010731	0.0085044	0.0047007	0.010278	0.0045164	0.0087369	0.0063945	0.009319	0.0090505	0.0057912	0.010344	0.017501	0.0096465	0.008551	0.0075727	0.0089559	0.010226	0.0092211	0	0.010953	0.0070885	0.27747	0.0027738	0.0096258	0.004252	0	0	0.0074501	0.0040681	0.0080813	0.0090708	0.008954	0.0071268	0.0097952	0.0047508	0.0085649	
FOXP3	0.0093401	0.020136	0.016379	0.016159	0.016739	0.016461	0.012919	0.015822	0.01626	0.012919	0.015657	0.015004	0.014985	0.018553	0.0077358	0.0091929	0.015997	0.0093401	0	0	0.0079679	0.019095	0.018136	0.013545	0.019104	0.017903	0.017215	0.018206	0.018998	0.018222	0.017288	0.017699	0.017699	0.018582	0.015032	0.018761	0.011865	0.018709	0.015376	0.017554	0.016996	0.01415	0.016346	0.016961	0.017842	0.016725	0.016155	0.016788	0.016459	0.01484	0	0.018216	0.018337	0.0032216	0.017343	0.020651	0.013259	0	0	0.023242	0.016087	0.017871	0.017593	0.019113	0.018766	0.013541	0.0070574	0.015883	
GATA3	0.00906	0.014702	0.015843	0.015422	0.015972	0.015586	0.0119	0.015554	0.015265	0.0119	0.014977	0.01402	0.014146	0.017241	0.006541	0.0086366	0.015472	0.00906	0	0	0.008697	0.018136	0.023643	0.012542	0.016815	0.017405	0.016768	0.017879	0.018311	0.017682	0.017405	0.018161	0.018161	0.017493	0.014186	0.018551	0.014365	0.017237	0.015994	0.016883	0.016665	0.015872	0.016459	0.016464	0.017648	0.016904	0.016301	0.016586	0.014993	0.013495	0	0.015164	0.016118	0.0040681	0.010796	0.015718	0.014336	0	0	0.018215	0.062889	0.016273	0.01765	0.018298	0.017831	0.0124	0.0060144	0.015229	
GPR44	0.0066641	0.0068926	0.024856	0.027204	0.023683	0.027157	0.039327	0.028575	0.032981	0.039327	0.032949	0.032123	0.040437	0.01818	0.0032077	0.0071397	0.014086	0.0066641	0	0	0.0054413	0.013545	0.012542	0.093082	0.011513	0.015859	0.010138	0.014207	0.012927	0.014066	0.014283	0.011966	0.011966	0.013128	0.006627	0.012208	0.0073367	0.012247	0.0099709	0.012911	0.015861	0.0092147	0.012947	0.014754	0.012974	0.014479	0.012691	0.014209	0.010249	0.0092105	0	0.0084217	0.019184	0.0017926	0.0042847	0.011587	0.0065598	0	0	0.010007	0.0048167	0.011544	0.015118	0.012576	0.013845	0.0075417	0.0024746	0.016241	
ICOS	0.0078	0.018013	0.014659	0.014261	0.01517	0.014743	0.010288	0.013642	0.014982	0.010288	0.01394	0.012741	0.012834	0.023448	0.0053692	0.0063872	0.01469	0.0078	0	0	0.0072549	0.019104	0.016815	0.011513	0.032772	0.017693	0.016168	0.018483	0.017778	0.01718	0.015868	0.015609	0.015609	0.017132	0.011714	0.017812	0.0098428	0.019386	0.013099	0.016815	0.016458	0.012018	0.015083	0.016364	0.016493	0.015457	0.01476	0.015554	0.013952	0.012516	0	0.045654	0.015254	0.0027738	0.076557	0.014852	0.0095118	0	0	0.018309	0.010796	0.0162	0.016176	0.019029	0.017169	0.011545	0.0049877	0.013824	
IFNG	0.01101	0.016724	0.017072	0.01692	0.017337	0.017111	0.015061	0.016682	0.017155	0.015061	0.016708	0.016398	0.016391	0.01881	0.0075963	0.0093052	0.016353	0.01101	0	0	0.008207	0.017903	0.017405	0.015859	0.017693	0.018117	0.024204	0.017985	0.018748	0.018892	0.0175	0.017845	0.017845	0.017873	0.014504	0.019221	0.013188	0.017735	0.015866	0.017237	0.017445	0.015147	0.017091	0.016826	0.017739	0.016957	0.017099	0.017116	0.016017	0.01447	0	0.016235	0.017776	0.0034957	0.013526	0.016341	0.012342	0	0	0.017865	0.013134	0.016998	0.017502	0.018177	0.01884	0.012862	0.0064768	0.015992	
IFNGR2	0.006263	0.010766	0.014191	0.013743	0.016759	0.014633	0.0092275	0.012739	0.014333	0.0092275	0.01364	0.012046	0.012091	0.017225	0.0037503	0.0050271	0.01384	0.006263	0	0	0.0057741	0.017215	0.016768	0.010138	0.016168	0.024204	0.17033	0.018699	0.023392	0.037649	0.016878	0.015004	0.015004	0.018729	0.01055	0.018577	0.0080373	0.016359	0.011625	0.015835	0.015118	0.010684	0.012805	0.015265	0.01654	0.014835	0.012241	0.013781	0.01149	0.010319	0	0.011072	0.014552	0.0019446	0.0076547	0.011392	0.0092743	0	0	0.014985	0.0081726	0.014705	0.017741	0.019451	0.018285	0.0090826	0.0032219	0.012692	
IL10	0.011486	0.015612	0.016724	0.016401	0.01702	0.016589	0.013336	0.0161	0.016686	0.013336	0.016027	0.015365	0.015381	0.019376	0.0071276	0.0086595	0.016444	0.011486	0	0	0.0081824	0.018206	0.017879	0.014207	0.018483	0.017985	0.018699	0.018284	0.018775	0.018351	0.017691	0.018425	0.018425	0.018203	0.015504	0.018678	0.013982	0.017908	0.01649	0.017531	0.017602	0.015835	0.017278	0.016911	0.018054	0.017165	0.017304	0.017313	0.015825	0.01426	0	0.017404	0.018255	0.0034356	0.015624	0.017039	0.0133	0	0	0.018634	0.015062	0.016872	0.017665	0.018358	0.019656	0.013399	0.0069516	0.015753	
IL12A	0.0084364	0.015038	0.016621	0.016288	0.017127	0.016417	0.012173	0.016826	0.016158	0.012173	0.015711	0.014642	0.014851	0.017968	0.0066015	0.0078914	0.015908	0.0084364	0	0	0.0097716	0.018998	0.018311	0.012927	0.017778	0.018748	0.023392	0.018775	0.023832	0.020724	0.018079	0.019298	0.019298	0.019609	0.016853	0.020329	0.011571	0.018314	0.015964	0.017671	0.017103	0.014347	0.016488	0.017457	0.018651	0.01703	0.015785	0.016895	0.015557	0.013993	0	0.016	0.018285	0.004697	0.01042	0.018087	0.016648	0	0	0.02077	0.011971	0.017102	0.018959	0.019908	0.019754	0.012867	0.0060657	0.015651	
IL12B	0.0090927	0.014341	0.016765	0.016529	0.01732	0.016735	0.013489	0.016578	0.01658	0.013489	0.016116	0.015487	0.015512	0.018035	0.0064734	0.0084139	0.015842	0.0090927	0	0	0.0090026	0.018222	0.017682	0.014066	0.01718	0.018892	0.037649	0.018351	0.020724	0.021357	0.0178	0.018571	0.018571	0.018706	0.01585	0.019425	0.012331	0.017641	0.015988	0.01724	0.017044	0.01486	0.016356	0.016953	0.018116	0.016857	0.015991	0.016772	0.015134	0.013622	0	0.015198	0.018067	0.0042231	0.010297	0.017069	0.014673	0	0	0.018952	0.011806	0.016581	0.018216	0.018864	0.019368	0.012377	0.0058277	0.015635	
IL13	0.011254	0.014126	0.017005	0.016583	0.016904	0.016587	0.013817	0.01638	0.016384	0.013817	0.016187	0.015571	0.015571	0.017228	0.0072067	0.012479	0.016517	0.011254	0	0	0.008908	0.017288	0.017405	0.014283	0.015868	0.0175	0.016878	0.017691	0.018079	0.0178	0.018362	0.02	0.02	0.017874	0.019126	0.019256	0.019774	0.017208	0.020232	0.017203	0.017691	0.020946	0.017783	0.016919	0.018461	0.018025	0.018335	0.018194	0.015724	0.014189	0	0.01407	0.017162	0.0041312	0.0086185	0.015549	0.013008	0	0	0.01668	0.013172	0.016511	0.017711	0.017578	0.01868	0.012535	0.006023	0.016698	
IL13RA1	0.0085013	0.01317	0.016905	0.016332	0.016614	0.015845	0.011449	0.017619	0.015286	0.011449	0.01548	0.014011	0.014398	0.016237	0.006803	0.008881	0.016222	0.0085013	0	0	0.010731	0.017699	0.018161	0.011966	0.015609	0.017845	0.015004	0.018425	0.019298	0.018571	0.02	0.043068	0.024752	0.017897	0.013333	0.019469	0.01341	0.017258	0.016807	0.018204	0.017463	0.016586	0.017277	0.018484	0.023629	0.017776	0.016406	0.017577	0.016091	0.014468	0	0.014685	0.015434	0.0051795	0.007	0.014559	0.018561	0	0	0.015874	0.010801	0.017214	0.020754	0.018189	0.018008	0.013762	0.006562	0.016448	
IL13RA2	0.0085013	0.01317	0.016905	0.016332	0.016614	0.015845	0.011449	0.017619	0.015286	0.011449	0.01548	0.014011	0.014398	0.016237	0.006803	0.008881	0.016222	0.0085013	0	0	0.010731	0.017699	0.018161	0.011966	0.015609	0.017845	0.015004	0.018425	0.019298	0.018571	0.02	0.024752	0.043068	0.017897	0.013333	0.019469	0.01341	0.017258	0.016807	0.018204	0.017463	0.016586	0.017277	0.018484	0.023629	0.017776	0.016406	0.017577	0.016091	0.014468	0	0.014685	0.015434	0.0051795	0.007	0.014559	0.018561	0	0	0.015874	0.010801	0.017214	0.020754	0.018189	0.018008	0.013762	0.006562	0.016448	
IL17A	0.0088451	0.016103	0.016317	0.015858	0.016869	0.016081	0.012203	0.015553	0.016204	0.012203	0.015391	0.014551	0.0146	0.017557	0.0062629	0.0082232	0.01569	0.0088451	0	0	0.0085044	0.018582	0.017493	0.013128	0.017132	0.017873	0.018729	0.018203	0.019609	0.018706	0.017874	0.017897	0.017897	0.020084	0.02913	0.01873	0.013933	0.018012	0.020365	0.017105	0.016872	0.016806	0.016287	0.016817	0.017719	0.017158	0.01626	0.017337	0.014886	0.013396	0	0.015094	0.021254	0.0038447	0.010869	0.023044	0.013251	0	0	0.023383	0.011731	0.016552	0.017677	0.01885	0.021182	0.012247	0.0057819	0.01536	
IL17RB	0.005056	0.0089427	0.012804	0.010533	0.012322	0.010673	0.0059945	0.009539	0.010587	0.0059945	0.010507	0.0084999	0.0086317	0.011584	0.0026135	0.0044533	0.012619	0.005056	0	0	0.0047007	0.015032	0.014186	0.006627	0.011714	0.014504	0.01055	0.015504	0.016853	0.01585	0.019126	0.013333	0.013333	0.02913	0.19126	0.013753	0.01998	0.016001	0.071808	0.01359	0.014372	0.034299	0.012718	0.013398	0.014162	0.019126	0.015102	0.02196	0.0090022	0.0080975	0	0.007919	0.016079	0.0015012	0.004551	0.012795	0.0067687	0	0	0.017586	0.005995	0.011288	0.014683	0.01542	0.018706	0.0072307	0.0023314	0.011657	
IL18	0.0087477	0.014652	0.016464	0.015909	0.016791	0.016079	0.011436	0.015814	0.015678	0.011436	0.015389	0.014022	0.014195	0.017847	0.0068302	0.0085281	0.016242	0.0087477	0	0	0.010278	0.018761	0.018551	0.012208	0.017812	0.019221	0.018577	0.018678	0.020329	0.019425	0.019256	0.019469	0.019469	0.01873	0.013753	0.040322	0.012418	0.018403	0.016212	0.017849	0.017519	0.015591	0.016978	0.018085	0.01887	0.017302	0.016231	0.017365	0.01604	0.014426	0	0.016208	0.0166	0.00493	0.010003	0.016381	0.010907	0	0	0.019216	0.011638	0.017421	0.018308	0.021082	0.019032	0.013124	0.0061503	0.016063	
IL1RL1	0.0062406	0.0078947	0.013646	0.010868	0.011669	0.010735	0.0069167	0.0096431	0.010261	0.0069167	0.011647	0.0089032	0.0091224	0.011049	0.0028403	0.006469	0.013816	0.0062406	0	0	0.0045164	0.011865	0.014365	0.0073367	0.0098428	0.013188	0.0080373	0.013982	0.011571	0.012331	0.019774	0.01341	0.01341	0.013933	0.01998	0.012418	0.20103	0.014044	0.039492	0.014438	0.016312	0.095589	0.017471	0.012896	0.015072	0.02963	0.019171	0.019703	0.0093022	0.0083656	0	0.006995	0.0092088	0.0014462	0.0035361	0.0071572	0.0059223	0	0	0.0088409	0.0066813	0.010847	0.013441	0.011872	0.01247	0.0076781	0.0026551	0.013896	
IL21	0.0098932	0.03687	0.015826	0.015306	0.016004	0.015611	0.011455	0.014852	0.015372	0.011455	0.014904	0.013774	0.013857	0.018335	0.007436	0.0084387	0.016428	0.0098932	0	0	0.0087369	0.018709	0.017237	0.012247	0.019386	0.017735	0.016359	0.017908	0.018314	0.017641	0.017208	0.017258	0.017258	0.018012	0.016001	0.018403	0.014044	0.02081	0.016798	0.017955	0.017428	0.015761	0.017192	0.016802	0.017904	0.017147	0.017905	0.01773	0.016956	0.015247	0	0.019028	0.016329	0.0040465	0.017941	0.016291	0.010549	0	0	0.018982	0.011253	0.020056	0.016991	0.018696	0.017828	0.014381	0.0080616	0.015769	
IL25	0.00883	0.011186	0.01569	0.013643	0.014584	0.01361	0.009441	0.012588	0.013314	0.009441	0.01363	0.011858	0.011927	0.014373	0.0044482	0.0078875	0.015834	0.00883	0	0	0.0063945	0.015376	0.015994	0.0099709	0.013099	0.015866	0.011625	0.01649	0.015964	0.015988	0.020232	0.016807	0.016807	0.020365	0.071808	0.016212	0.039492	0.016798	0.049988	0.016122	0.01801	0.044636	0.017792	0.015366	0.016874	0.021563	0.021613	0.023303	0.012512	0.011232	0	0.010018	0.014048	0.0023572	0.0053963	0.011224	0.008201	0	0	0.013821	0.0084505	0.013868	0.015994	0.01559	0.017045	0.0098415	0.0037803	0.014951	
