	ADAM33	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
CCL26	0.01228	0.01171	0.0072811	0.0031022	0.014231	0.014036	0.014447	0.014298	0.014561	0.01516	0.016072	0.014268	0.016547	0.014648	0.014936	0.015156	0.014107	0.009944	0.010253	0.012062	0.005724	0.01434	0.013948	0.013481	0.0099701	0.01336	0.010344	0.014259	0.01413	0.014396	0.014019	0.014122	0.013744	0.014044	0.014159	0.014147	0.014139	0.014327	0.014221	0.014121	0.013372	0.014011	0.014054	0.014149	0.014076	0.014128	0.014094	0.01416	0.013925	0.014037	0.013896	0.014048	0.014262	0.013873	0.013606	0.013523	0.0096122	0.014202	0.0134	0.0010974	0.011548	0.012927	0.009754	0.0049593	0.014097	0.0078267	0.012766	0.014131	0.014139	0.013707	0.014171	0.014091	0.014173	0.014092	0.013977	0.013825	0.014195	
CCL5	0.013137	0.012605	0.010217	0.0023274	0.014136	0.013881	0.014127	0.014071	0.014193	0.014268	0.014268	0.014043	0.014698	0.014114	0.014223	0.014282	0.014036	0.010838	0.010363	0.012725	0.0074496	0.014445	0.013919	0.014091	0.011438	0.013426	0.010182	0.014081	0.013981	0.01404	0.014028	0.01401	0.014023	0.013985	0.014063	0.014029	0.01391	0.014025	0.014046	0.014018	0.013549	0.013946	0.014106	0.01406	0.013986	0.014032	0.014034	0.014079	0.014028	0.013868	0.013819	0.013866	0.014117	0.013801	0.013909	0.013716	0.011371	0.014086	0.013653	0.00073559	0.011476	0.013596	0.0093231	0.0052989	0.014151	0.0066553	0.013051	0.014066	0.014225	0.013454	0.014085	0.013793	0.014061	0.014019	0.014095	0.01405	0.014098	
CCL8	0.011524	0.010802	0.0062136	0.0016826	0.013981	0.014374	0.015154	0.014709	0.015513	0.016547	0.016547	0.014698	0.039329	0.016575	0.017615	0.018459	0.013901	0.0090241	0.008655	0.011463	0.0047691	0.015384	0.013934	0.014003	0.0090158	0.013355	0.0081986	0.014352	0.013546	0.015129	0.01342	0.014048	0.012605	0.013798	0.013701	0.013819	0.014018	0.013329	0.013613	0.013977	0.011955	0.013688	0.012955	0.0139	0.013531	0.013963	0.014205	0.013584	0.013914	0.013914	0.013575	0.014051	0.014566	0.01369	0.013549	0.013398	0.008535	0.013417	0.013118	0.00045046	0.0097557	0.011678	0.0077737	0.003268	0.01409	0.0056917	0.012273	0.014	0.013637	0.012028	0.01529	0.013921	0.01386	0.013916	0.013114	0.012779	0.014185	
CCR3	0.013634	0.012147	0.0078979	0.0026668	0.014082	0.014025	0.014254	0.014121	0.014351	0.014648	0.014648	0.014114	0.016575	0.014427	0.014551	0.014728	0.01398	0.013423	0.010028	0.012214	0.006188	0.014569	0.013956	0.013979	0.010814	0.014266	0.010044	0.014076	0.013922	0.014336	0.013888	0.013982	0.013725	0.013922	0.013989	0.013989	0.013921	0.01402	0.014018	0.013977	0.013266	0.013884	0.013893	0.014013	0.013928	0.014021	0.014038	0.014005	0.013969	0.013865	0.013845	0.013928	0.014214	0.013761	0.01372	0.013563	0.010466	0.013982	0.013358	0.00091416	0.011379	0.013092	0.009399	0.0048375	0.014044	0.0070893	0.014116	0.01423	0.014052	0.01335	0.014144	0.013841	0.014005	0.013964	0.013874	0.013765	0.014091	
CCR4	0.011812	0.012049	0.0080412	0.0023103	0.01424	0.014014	0.014426	0.014271	0.014553	0.014936	0.014936	0.014223	0.017615	0.014551	0.014838	0.014991	0.014123	0.01015	0.0098152	0.012237	0.0060807	0.014955	0.013965	0.013784	0.010611	0.01335	0.010156	0.014256	0.014078	0.014134	0.014088	0.014126	0.013986	0.014063	0.014166	0.014132	0.014041	0.014094	0.014106	0.014134	0.013592	0.014008	0.014099	0.014166	0.014081	0.014116	0.01411	0.014153	0.013995	0.013988	0.013821	0.014003	0.014236	0.013847	0.013742	0.013615	0.010253	0.014177	0.013495	0.00071675	0.011396	0.013399	0.0094485	0.004433	0.01425	0.0066963	0.012831	0.014101	0.014337	0.013549	0.014295	0.01395	0.014176	0.01409	0.014111	0.014026	0.01426	
CCR8	0.014538	0.012	0.0076317	0.0023189	0.01415	0.014101	0.014493	0.014289	0.014643	0.015156	0.015156	0.014282	0.018459	0.014728	0.014991	0.015288	0.014062	0.010607	0.0096611	0.012038	0.0056554	0.015047	0.013962	0.01367	0.010644	0.013574	0.0095165	0.014214	0.013991	0.014795	0.013935	0.014076	0.01365	0.013991	0.014062	0.01407	0.01403	0.014018	0.014066	0.014073	0.013243	0.013955	0.013895	0.014092	0.013994	0.014084	0.014095	0.014065	0.013951	0.013952	0.013927	0.014013	0.014275	0.013813	0.013641	0.01356	0.010155	0.014034	0.013402	0.00071858	0.010968	0.0129	0.0095271	0.0042554	0.014161	0.0067182	0.013071	0.01416	0.014143	0.013293	0.014296	0.013961	0.014092	0.014044	0.013908	0.013777	0.014226	
CD40LG	0.011418	0.012087	0.01029	0.0026938	0.014592	0.013761	0.014118	0.014105	0.014151	0.014107	0.014107	0.014036	0.013901	0.01398	0.014123	0.014062	0.014358	0.0095174	0.009894	0.012642	0.006981	0.014233	0.013934	0.01432	0.010413	0.012909	0.010258	0.014287	0.014134	0.013629	0.01462	0.014148	0.014296	0.014164	0.014252	0.014161	0.013954	0.01411	0.014153	0.014141	0.013501	0.014025	0.01421	0.014254	0.014035	0.014205	0.014105	0.014162	0.014141	0.013988	0.0138	0.013885	0.014125	0.01385	0.013943	0.013679	0.010407	0.014446	0.013739	0.00092556	0.011531	0.014639	0.0091452	0.0045843	0.014222	0.0071444	0.012405	0.013954	0.014479	0.013563	0.014155	0.01391	0.014281	0.014106	0.015381	0.015759	0.014277	
CLC	0.0060183	0.0087816	0.0032129	0.00072233	0.0086937	0.015946	0.010558	0.010409	0.010392	0.009944	0.009944	0.010838	0.0090241	0.013423	0.01015	0.010607	0.0095174	0.2153	0.0049518	0.0069283	0.0021909	0.0079478	0.013966	0.0091397	0.0080627	0.062075	0.0041542	0.0092459	0.0088968	0.010432	0.0084752	0.009645	0.0072401	0.0094117	0.0088957	0.0094502	0.0098604	0.0080862	0.0086742	0.0096696	0.0081211	0.0096557	0.0085779	0.0094193	0.0098377	0.010078	0.010643	0.0096778	0.0096996	0.0096583	0.0095085	0.012556	0.010492	0.0097214	0.0089928	0.0093671	0.006054	0.0081085	0.0088546	0.000163	0.0053599	0.0063748	0.0061467	0.0014857	0.0093431	0.0029904	0.081137	0.018802	0.0080254	0.0078153	0.0094963	0.0095902	0.0089893	0.0097705	0.0076758	0.0073024	0.0096296	
CLCA1	0.0069185	0.0075932	0.0048084	0.0012031	0.0095773	0.010029	0.010126	0.010176	0.0098058	0.010253	0.010253	0.010363	0.008655	0.010028	0.0098152	0.0096611	0.009894	0.0049518	0.1224	0.0096445	0.0048351	0.009055	0.010169	0.0090224	0.0059678	0.0083448	0.0056976	0.010169	0.010099	0.0092197	0.0095951	0.010287	0.0090835	0.010337	0.0098671	0.010228	0.014236	0.010729	0.011605	0.010311	0.0089674	0.010476	0.0095723	0.010528	0.01105	0.010588	0.010435	0.010523	0.0097564	0.010074	0.010355	0.0099704	0.010714	0.015408	0.0095894	0.0099973	0.0059579	0.0096743	0.0098215	0.00033034	0.0070323	0.0083373	0.0048944	0.19243	0.0095318	0.0040417	0.007771	0.0096254	0.0095703	0.0083669	0.010126	0.0102	0.010164	0.010338	0.0091912	0.0089638	0.010607	
CMA1	0.0088944	0.011243	0.014504	0.0014558	0.0122	0.012174	0.012329	0.012637	0.012272	0.012062	0.012062	0.012725	0.011463	0.012214	0.012237	0.012038	0.012642	0.0069283	0.0096445	0.033869	0.094712	0.011761	0.012802	0.013227	0.0099776	0.010847	0.0093777	0.012441	0.012167	0.011649	0.012099	0.012557	0.011591	0.012552	0.012258	0.012337	0.012459	0.012151	0.012603	0.012514	0.010861	0.012412	0.011751	0.012504	0.012255	0.012657	0.013138	0.012299	0.013775	0.012969	0.012274	0.012219	0.012739	0.013498	0.018428	0.015374	0.011905	0.012143	0.014947	0.00039601	0.010301	0.010908	0.0065085	0.0048351	0.012997	0.0048892	0.010225	0.012358	0.012285	0.011297	0.013023	0.01209	0.012342	0.013135	0.012132	0.01197	0.012485	
CPA3	0.0032503	0.0049107	0.0074534	0.00039601	0.0056561	0.006378	0.0062931	0.0070143	0.0061151	0.005724	0.005724	0.0074496	0.0047691	0.006188	0.0060807	0.0056554	0.006981	0.0021909	0.0048351	0.094712	0.43523	0.0050492	0.0076657	0.0064764	0.0038013	0.0047918	0.0040611	0.0065281	0.0060371	0.0055549	0.0057767	0.0070113	0.0049376	0.0069941	0.0060869	0.0063118	0.0068701	0.0058561	0.0067935	0.0068476	0.0044383	0.0066182	0.0051024	0.0066512	0.006381	0.0069776	0.0081171	0.006149	0.0090266	0.0088427	0.0065898	0.0065085	0.0068523	0.010811	0.02226	0.015776	0.0062915	0.0057782	0.014504	8.3702e-05	0.0045961	0.0044373	0.0022936	0.0016331	0.0073505	0.0017681	0.0043275	0.0063389	0.0056672	0.0050456	0.0078466	0.0062613	0.0062324	0.0081404	0.0056937	0.0054946	0.0066541	
CRLF2	0.0098649	0.010897	0.0063355	0.0016129	0.014266	0.014071	0.016832	0.01452	0.017644	0.01434	0.01434	0.014445	0.015384	0.014569	0.014955	0.015047	0.014233	0.0079478	0.009055	0.011761	0.0050492	0.039219	0.014072	0.014455	0.0088874	0.012481	0.00843	0.014318	0.013653	0.013596	0.013814	0.014125	0.012761	0.013909	0.013809	0.013869	0.014073	0.013381	0.013732	0.014137	0.012678	0.013863	0.013414	0.014287	0.014367	0.014103	0.014342	0.014409	0.01415	0.014	0.013551	0.013976	0.014313	0.013947	0.013856	0.01356	0.0086315	0.013649	0.01322	0.0004283	0.009936	0.012005	0.0076711	0.0035892	0.014165	0.0055231	0.0117	0.01383	0.013859	0.012118	0.015571	0.013772	0.01402	0.013993	0.013849	0.01471	0.017054	
CSF2	0.011807	0.013562	0.009377	0.0024229	0.01403	0.013906	0.013956	0.013938	0.013987	0.013948	0.013948	0.013919	0.013934	0.013956	0.013965	0.013962	0.013934	0.013966	0.010169	0.012802	0.0076657	0.014072	0.013982	0.015074	0.01286	0.014228	0.010174	0.013931	0.013837	0.013616	0.01387	0.013888	0.013874	0.013868	0.013921	0.013901	0.013782	0.013849	0.013904	0.013901	0.013417	0.013909	0.014034	0.013954	0.013882	0.013955	0.014038	0.013998	0.014164	0.013761	0.013674	0.013817	0.014067	0.013723	0.014057	0.013845	0.012902	0.013918	0.013483	0.00080651	0.011495	0.013334	0.0091689	0.0051258	0.01399	0.0066852	0.014333	0.014141	0.014037	0.013266	0.01403	0.013652	0.013929	0.013932	0.013934	0.013883	0.013972	
CSF3R	0.010185	0.011993	0.0068573	0.0015523	0.014358	0.013737	0.014014	0.014079	0.013921	0.013481	0.013481	0.014091	0.014003	0.013979	0.013784	0.01367	0.01432	0.0091397	0.0090224	0.013227	0.0064764	0.014455	0.015074	0.038137	0.0098127	0.013033	0.0086726	0.013971	0.013535	0.013072	0.013563	0.01397	0.012839	0.014007	0.013699	0.013861	0.013827	0.013395	0.013897	0.013924	0.011932	0.01384	0.013111	0.014187	0.013572	0.014592	0.015926	0.013838	0.018408	0.013916	0.014001	0.013837	0.015088	0.014046	0.01645	0.014858	0.010467	0.013489	0.013445	0.00040903	0.010436	0.012013	0.0075408	0.0035921	0.014046	0.0053671	0.012493	0.014459	0.013637	0.012004	0.01591	0.013567	0.013918	0.014324	0.013568	0.013306	0.014291	
CYSLTR1	0.0069531	0.067799	0.003975	0.00094293	0.0095481	0.015785	0.010819	0.011029	0.0107	0.0099701	0.0099701	0.011438	0.0090158	0.010814	0.010611	0.010644	0.010413	0.0080627	0.0059678	0.0099776	0.0038013	0.0088874	0.01286	0.0098127	0.12311	0.011314	0.0050554	0.010082	0.0097771	0.010538	0.0093978	0.010651	0.008341	0.010344	0.0097604	0.010128	0.010555	0.0091244	0.0096473	0.010591	0.0087671	0.014158	0.010278	0.010384	0.010607	0.010402	0.011272	0.010774	0.01122	0.010483	0.010192	0.011892	0.010493	0.010983	0.01146	0.018666	0.1049	0.0091987	0.0098604	0.00023734	0.0063069	0.0075407	0.0057505	0.0020417	0.010448	0.0035251	0.011405	0.011516	0.0092799	0.0083113	0.010658	0.01024	0.010092	0.011163	0.0086415	0.0083418	0.01031	
EPX	0.010407	0.012038	0.0062831	0.0016763	0.012696	0.014849	0.013368	0.013275	0.013374	0.01336	0.01336	0.013426	0.013355	0.014266	0.01335	0.013574	0.012909	0.062075	0.0083448	0.010847	0.0047918	0.012481	0.014228	0.013033	0.011314	0.027829	0.0079021	0.012862	0.012664	0.013249	0.012451	0.012917	0.01183	0.012814	0.012693	0.012871	0.01295	0.012356	0.012668	0.012958	0.012182	0.012947	0.012626	0.012906	0.013059	0.013154	0.013364	0.013051	0.013052	0.012841	0.012723	0.013769	0.01344	0.012821	0.012669	0.01269	0.010192	0.012408	0.012262	0.00047758	0.0093635	0.010965	0.0093742	0.0033947	0.012921	0.005383	0.032927	0.016355	0.012446	0.011933	0.012975	0.012772	0.012744	0.01302	0.012174	0.011919	0.013006	
FCER1A	0.0095703	0.0067433	0.003609	0.00095619	0.0091769	0.010059	0.01014	0.010208	0.010093	0.010344	0.010344	0.010182	0.0081986	0.010044	0.010156	0.0095165	0.010258	0.0041542	0.0056976	0.0093777	0.0040611	0.00843	0.010174	0.0086726	0.0050554	0.0079021	0.2013	0.010304	0.010873	0.010155	0.0096787	0.010391	0.0086985	0.010397	0.010294	0.010733	0.010464	0.012108	0.011673	0.010128	0.0076455	0.010061	0.008915	0.010222	0.010103	0.010804	0.010295	0.010194	0.010878	0.016699	0.016391	0.010015	0.010402	0.010425	0.01045	0.0099801	0.0050433	0.010523	0.0091664	0.00023916	0.11383	0.0076369	0.0042314	0.0019152	0.010092	0.0035867	0.007116	0.010153	0.0091482	0.010954	0.01035	0.010409	0.010267	0.010278	0.010557	0.010495	0.010213	
FOXP3	0.0116	0.011865	0.0083315	0.0027303	0.014491	0.013806	0.014182	0.014165	0.014234	0.014259	0.014259	0.014081	0.014352	0.014076	0.014256	0.014214	0.014287	0.0092459	0.010169	0.012441	0.0065281	0.014318	0.013931	0.013971	0.010082	0.012862	0.010304	0.014344	0.014258	0.013744	0.014535	0.014222	0.014843	0.014226	0.014407	0.014285	0.014021	0.014218	0.01422	0.01421	0.013693	0.014065	0.014345	0.01431	0.014104	0.014207	0.0141	0.014218	0.014064	0.014017	0.013862	0.013938	0.014155	0.013889	0.013822	0.013623	0.010001	0.014546	0.013592	0.00093786	0.011596	0.01467	0.0092307	0.0049425	0.014383	0.0072239	0.012311	0.013953	0.014843	0.013987	0.014179	0.013975	0.014365	0.014133	0.014933	0.014956	0.014254	
GATA3	0.012119	0.011765	0.0078031	0.0029071	0.014388	0.013697	0.014023	0.014057	0.014045	0.01413	0.01413	0.013981	0.013546	0.013922	0.014078	0.013991	0.014134	0.0088968	0.010099	0.012167	0.0060371	0.013653	0.013837	0.013535	0.0097771	0.012664	0.010873	0.014258	0.015025	0.013729	0.014363	0.014159	0.014497	0.014172	0.014348	0.014233	0.014007	0.014335	0.0142	0.014221	0.013792	0.014158	0.015775	0.014259	0.014137	0.014108	0.013975	0.014523	0.01391	0.014094	0.013929	0.014042	0.014037	0.013825	0.013595	0.013477	0.0096762	0.014843	0.013408	0.0010227	0.012161	0.014245	0.0094774	0.004891	0.014116	0.0074656	0.012109	0.013832	0.01453	0.019674	0.014006	0.013977	0.014381	0.014055	0.014335	0.014249	0.014109	
GPR44	0.038381	0.011691	0.0070261	0.0028946	0.013641	0.01394	0.013952	0.01383	0.014027	0.014396	0.014396	0.01404	0.015129	0.014336	0.014134	0.014795	0.013629	0.010432	0.0092197	0.011649	0.0055549	0.013596	0.013616	0.013072	0.010538	0.013249	0.010155	0.013744	0.013729	0.018546	0.013452	0.013707	0.013121	0.013641	0.013632	0.013771	0.013684	0.014096	0.013985	0.013633	0.012713	0.013556	0.013405	0.013633	0.013544	0.013784	0.01369	0.013584	0.013651	0.0137	0.015102	0.01371	0.014042	0.013504	0.013175	0.013162	0.00993	0.013618	0.012928	0.0010211	0.011865	0.012307	0.0092379	0.0039578	0.01359	0.0074009	0.012799	0.013823	0.013498	0.013059	0.013735	0.013809	0.013656	0.013597	0.01335	0.013158	0.013648	
ICOS	0.010809	0.011451	0.0079158	0.0028521	0.014647	0.013654	0.014099	0.014134	0.014111	0.014019	0.014019	0.014028	0.01342	0.013888	0.014088	0.013935	0.01462	0.0084752	0.0095951	0.012099	0.0057767	0.013814	0.01387	0.013563	0.0093978	0.012451	0.0096787	0.014535	0.014363	0.013452	0.015728	0.014462	0.014834	0.014583	0.01453	0.014354	0.014	0.014207	0.014237	0.014274	0.013444	0.014099	0.01425	0.014454	0.014029	0.014331	0.014066	0.014167	0.013969	0.014055	0.013799	0.013901	0.014022	0.013863	0.013587	0.01348	0.0093262	0.015131	0.013558	0.00099469	0.011081	0.0208	0.0089204	0.0042126	0.014182	0.0074107	0.011828	0.013793	0.014787	0.013657	0.014104	0.014066	0.014563	0.01416	0.016464	0.017125	0.014353	
IFNG	0.011954	0.012166	0.0094203	0.0026673	0.014309	0.013764	0.014075	0.014085	0.014114	0.014122	0.014122	0.01401	0.014048	0.013982	0.014126	0.014076	0.014148	0.009645	0.010287	0.012557	0.0070113	0.014125	0.013888	0.01397	0.010651	0.012917	0.010391	0.014222	0.014159	0.013707	0.014462	0.014207	0.015292	0.014236	0.014395	0.01427	0.013962	0.014416	0.014192	0.014117	0.01348	0.014003	0.014206	0.014204	0.013979	0.014108	0.014034	0.014103	0.014006	0.013931	0.013856	0.013859	0.014079	0.013835	0.013811	0.013638	0.010632	0.014444	0.013634	0.00090843	0.011727	0.015888	0.009014	0.0051663	0.014229	0.0071221	0.012433	0.013892	0.01458	0.01372	0.014086	0.013906	0.014268	0.014078	0.014404	0.014365	0.014102	
