	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CMA1	CRLF2	CSF2	CSF3R	FCER1A	FOXP3	GATA3	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	MAF	MMP9	MS4A2	PDCD1	PPARG	RETNLB	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
CCR4	0.0054901	0.032336	0.040461	0.029009	0.048899	0.019175	0.021336	0.032384	0.019175	0.028333	0.051149	0.044411	0.021226	0.0035165	0.0039817	0.017731	0.0093805	0	0.01538	0.015579	0.013259	0.019908	0.01463	0.017872	0.016737	0.018865	0.019356	0.017262	0.017262	0.015662	0.0067674	0.016969	0.0019431	0.014092	0.0069488	0.01542	0.016671	0.0060977	0.013869	0.018884	0.017243	0.016035	0.013869	0.019389	0.010879	0.0098859	0.010221	0.022641	0	0.0048922	0.01295	0.010549	0.011832	0.0065707	0.014254	0.019667	0.015938	0.018211	0.0052784	0.0015859	0.010681	
CCR8	0.0054901	0.032336	0.040461	0.029009	0.048899	0.019175	0.021336	0.032384	0.019175	0.028333	0.044411	0.051149	0.021226	0.0035165	0.0039817	0.017731	0.0093805	0	0.01538	0.015579	0.013259	0.019908	0.01463	0.017872	0.016737	0.018865	0.019356	0.017262	0.017262	0.015662	0.0067674	0.016969	0.0019431	0.014092	0.0069488	0.01542	0.016671	0.0060977	0.013869	0.018884	0.017243	0.016035	0.013869	0.019389	0.010879	0.0098859	0.010221	0.022641	0	0.0048922	0.01295	0.010549	0.011832	0.0065707	0.014254	0.019667	0.015938	0.018211	0.0052784	0.0015859	0.010681	
CD40LG	0.011829	0.018332	0.018151	0.021036	0.019967	0.0093124	0.015044	0.027163	0.0093124	0.017532	0.021226	0.021226	0.053599	0.0038784	0.0036707	0.017958	0.010027	0	0.019979	0.018047	0.041058	0.0216	0.019339	0.023664	0.02003	0.020547	0.018724	0.016598	0.016598	0.019478	0.009861	0.019452	0.0024434	0.021494	0.0084566	0.018309	0.017223	0.0069897	0.014854	0.017345	0.018631	0.016413	0.014854	0.017742	0.012836	0.010911	0.0081357	0.020895	0	0.040777	0.011262	0.0091134	0.018525	0.0091566	0.017414	0.018044	0.021502	0.021635	0.0078232	0.0028663	0.010109	
CMA1	0.0019193	0.005394	0.0049263	0.0056655	0.0033256	0.0015085	0.0056926	0.0046405	0.0015085	0.0047964	0.0035165	0.0035165	0.0038784	0.46616	0.0015763	0.01202	0.0043459	0	0.0089469	0.0063102	0.0038854	0.0076351	0.0036069	0.0063855	0.0067811	0.006276	0.0068613	0.0069664	0.0069664	0.0057727	0.0018138	0.0068935	0.00039501	0.0060562	0.0018304	0.0070798	0.0068603	0.0016141	0.0054291	0.012613	0.010107	0.0059808	0.0054291	0.0068427	0.065056	0.16042	0.0057273	0.0030996	0	0.0010398	0.00078541	0.0020839	0.0050629	0.0020008	0.038227	0.0065155	0.0085488	0.0044789	0.0018999	0.00047221	0.0048488	
CRLF2	0.002026	0.006683	0.0060075	0.0058983	0.0036562	0.0023024	0.0070815	0.0043628	0.0023024	0.0065833	0.0039817	0.0039817	0.0036707	0.0015763	0.4834	0.0075628	0.0026116	0	0.0057358	0.0079928	0.0035799	0.0064664	0.0033201	0.0067116	0.0066251	0.0063155	0.0079519	0.0073294	0.0073294	0.0067874	0.0037928	0.0069768	0.0023878	0.0061973	0.0074354	0.0078288	0.0092183	0.0071984	0.0089349	0.014859	0.0070363	0.018973	0.0089349	0.0091509	0.0036592	0.0048488	0.0068245	0.0034058	0	0.00096519	0.00090922	0.0025478	0.0039881	0.0028283	0.004924	0.0073944	0.0062548	0.0048547	0.0022749	0.00060763	0.19496	
CSF2	0.0099499	0.018516	0.017223	0.018616	0.016968	0.0093777	0.016447	0.018543	0.0093777	0.016424	0.017731	0.017731	0.017958	0.01202	0.0075628	0.023564	0.043908	0	0.018448	0.017684	0.01549	0.018912	0.016001	0.018724	0.018087	0.018061	0.019527	0.018835	0.018835	0.017397	0.01141	0.018849	0.0055747	0.017285	0.012806	0.019208	0.022939	0.011572	0.028458	0.018478	0.019363	0.01951	0.028458	0.020822	0.027085	0.020767	0.012233	0.016108	0	0.0076	0.0087922	0.010225	0.016513	0.010276	0.021766	0.017932	0.018125	0.018244	0.011365	0.0057097	0.014607	
CSF3R	0.0036677	0.010613	0.0083436	0.014021	0.0080758	0.0035372	0.0076946	0.0142	0.0035372	0.0093777	0.0093805	0.0093805	0.010027	0.0043459	0.0026116	0.043908	0.39987	0	0.010861	0.010276	0.0076	0.013057	0.0072491	0.013183	0.0092111	0.010193	0.014153	0.0099119	0.0099119	0.0097471	0.0043293	0.010277	0.0018419	0.0099499	0.0059926	0.015143	0.019747	0.0055747	0.025042	0.012233	0.011959	0.014887	0.025042	0.017445	0.023031	0.01202	0.0052597	0.0087922	0	0.0024934	0.0031371	0.0037948	0.0071658	0.0038344	0.017218	0.010225	0.010236	0.010172	0.0057097	0.0019313	0.0075628	
FCER1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	
FOXP3	0.019858	0.017403	0.016096	0.017747	0.01498	0.0075427	0.017211	0.017098	0.0075427	0.015394	0.01538	0.01538	0.019979	0.0089469	0.0057358	0.018448	0.010861	0	0.023462	0.021057	0.020571	0.019921	0.018551	0.020611	0.021578	0.020356	0.019715	0.020099	0.020099	0.021991	0.016389	0.02136	0.0038562	0.021844	0.012711	0.019864	0.018862	0.0096377	0.017239	0.018901	0.020512	0.017915	0.017239	0.019349	0.019224	0.017072	0.01158	0.017171	0	0.012766	0.0087445	0.014865	0.033488	0.019095	0.021241	0.019602	0.022509	0.020882	0.012842	0.0067003	0.012923	
GATA3	0.011502	0.017804	0.016684	0.017311	0.014835	0.0081464	0.018322	0.016334	0.0081464	0.01558	0.015579	0.015579	0.018047	0.0063102	0.0079928	0.017684	0.010276	0	0.021057	0.028119	0.017682	0.018789	0.016574	0.019835	0.020184	0.019331	0.020002	0.020951	0.020951	0.018923	0.012958	0.020737	0.0055709	0.018646	0.012887	0.018418	0.01873	0.011252	0.017852	0.018825	0.02007	0.01827	0.017852	0.01896	0.014941	0.013681	0.013554	0.01506	0	0.0099966	0.0067561	0.016431	0.022223	0.072223	0.018414	0.019994	0.020564	0.019026	0.0090855	0.0037347	0.01476	
ICOS	0.025814	0.014291	0.012842	0.015954	0.012454	0.0054375	0.012695	0.018481	0.0054375	0.012924	0.013259	0.013259	0.041058	0.0038854	0.0035799	0.01549	0.0076	0	0.020571	0.017682	0.060239	0.01871	0.015096	0.022547	0.019283	0.018488	0.016724	0.015213	0.015213	0.019198	0.010338	0.018651	0.0021559	0.026887	0.0080452	0.017773	0.015413	0.0063433	0.012659	0.015984	0.017138	0.014877	0.012659	0.017027	0.011587	0.010367	0.008274	0.014955	0	0.12361	0.0063578	0.0086334	0.021737	0.0099966	0.016595	0.01645	0.022983	0.018498	0.0080384	0.0030643	0.00948	
IFNG	0.011035	0.019499	0.019156	0.01986	0.020448	0.012193	0.018441	0.01999	0.012193	0.01814	0.019908	0.019908	0.0216	0.0076351	0.0064664	0.018912	0.013057	0	0.019921	0.018789	0.01871	0.020652	0.028279	0.020055	0.022658	0.022094	0.019915	0.0201	0.0201	0.019272	0.013203	0.021813	0.0045386	0.018505	0.012037	0.018757	0.019344	0.010013	0.018768	0.018997	0.02007	0.017971	0.018768	0.019276	0.017414	0.015281	0.01197	0.01835	0	0.010809	0.01052	0.013227	0.020589	0.011681	0.019345	0.019457	0.020359	0.020767	0.010592	0.005173	0.013417	
IFNGR2	0.0060745	0.015096	0.014386	0.019395	0.016746	0.0067601	0.014309	0.01704	0.0067601	0.015108	0.01463	0.01463	0.019339	0.0036069	0.0033201	0.016001	0.0072491	0	0.018551	0.016574	0.015096	0.028279	0.17786	0.02041	0.031593	0.047719	0.017846	0.016232	0.016232	0.017239	0.0076653	0.020727	0.0018584	0.015196	0.0068491	0.01689	0.016324	0.0057726	0.012582	0.017651	0.018484	0.015229	0.012582	0.015065	0.011218	0.010304	0.0083744	0.014076	0	0.0059221	0.005387	0.0098043	0.016066	0.0070755	0.017233	0.019182	0.021619	0.01891	0.0063156	0.0020952	0.0094618	
IL10	0.012957	0.018567	0.017676	0.019102	0.017177	0.0090499	0.01769	0.019379	0.0090499	0.016656	0.017872	0.017872	0.023664	0.0063855	0.0067116	0.018724	0.013183	0	0.020611	0.019835	0.022547	0.020055	0.02041	0.020614	0.02116	0.020557	0.019949	0.020522	0.020522	0.020025	0.01456	0.020855	0.0049403	0.019812	0.012913	0.019131	0.019269	0.010604	0.018552	0.018779	0.02027	0.018093	0.018552	0.019382	0.016225	0.01418	0.011869	0.018857	0	0.018983	0.011283	0.01428	0.022139	0.016353	0.019049	0.019458	0.02075	0.021578	0.011402	0.0057317	0.013629	
IL12A	0.010822	0.018353	0.017613	0.01951	0.016965	0.0084639	0.018827	0.017892	0.0084639	0.016814	0.016737	0.016737	0.02003	0.0067811	0.0066251	0.018087	0.0092111	0	0.021578	0.020184	0.019283	0.022658	0.031593	0.02116	0.047532	0.029425	0.020292	0.020593	0.020593	0.020029	0.01069	0.024232	0.0026944	0.019703	0.0092948	0.019106	0.018671	0.0076676	0.015672	0.020917	0.020935	0.017599	0.015672	0.018948	0.015211	0.01473	0.015991	0.015824	0	0.0099187	0.0065813	0.012301	0.022967	0.011365	0.020012	0.020696	0.024638	0.020008	0.0081329	0.00295	0.014021	
IL12B	0.010235	0.019133	0.018887	0.020095	0.018707	0.0096751	0.019191	0.01923	0.0096751	0.017534	0.018865	0.018865	0.020547	0.006276	0.0063155	0.018061	0.010193	0	0.020356	0.019331	0.018488	0.022094	0.047719	0.020557	0.029425	0.027582	0.020028	0.020599	0.020599	0.019231	0.010885	0.022129	0.0030924	0.018506	0.009781	0.018562	0.018512	0.0081506	0.016205	0.019606	0.0205	0.017414	0.016205	0.018745	0.014906	0.013819	0.014056	0.017393	0	0.010209	0.0089428	0.015759	0.020755	0.011969	0.01895	0.020421	0.021724	0.020353	0.008394	0.0032377	0.013322	
IL13	0.010521	0.020507	0.019495	0.019607	0.01846	0.010273	0.01965	0.019045	0.010273	0.017801	0.019356	0.019356	0.018724	0.0068613	0.0079519	0.019527	0.014153	0	0.019715	0.020002	0.016724	0.019915	0.017846	0.019949	0.020292	0.020028	0.021314	0.024293	0.024293	0.018879	0.012207	0.022728	0.0051481	0.018398	0.012414	0.019191	0.020625	0.010897	0.020659	0.019867	0.021832	0.018878	0.020659	0.020752	0.016566	0.014716	0.014475	0.017729	0	0.008273	0.0097936	0.015643	0.01858	0.015863	0.019114	0.020623	0.01983	0.020836	0.009652	0.0040794	0.015159	
IL13RA1	0.0087629	0.021036	0.019702	0.018885	0.015881	0.0084659	0.022626	0.016908	0.0084659	0.017339	0.017262	0.017262	0.016598	0.0069664	0.0073294	0.018835	0.0099119	0	0.020099	0.020951	0.015213	0.0201	0.016232	0.020522	0.020593	0.020599	0.024293	0.048103	0.029788	0.018048	0.0092605	0.022887	0.0031444	0.018041	0.0096349	0.019963	0.020127	0.0084639	0.017246	0.021989	0.028259	0.018634	0.017246	0.020954	0.015619	0.015198	0.017122	0.014498	0	0.0061981	0.0056427	0.021575	0.016979	0.012526	0.020089	0.024479	0.020151	0.019607	0.0090316	0.0034025	0.015254	
IL13RA2	0.0087629	0.021036	0.019702	0.018885	0.015881	0.0084659	0.022626	0.016908	0.0084659	0.017339	0.017262	0.017262	0.016598	0.0069664	0.0073294	0.018835	0.0099119	0	0.020099	0.020951	0.015213	0.0201	0.016232	0.020522	0.020593	0.020599	0.024293	0.029788	0.048103	0.018048	0.0092605	0.022887	0.0031444	0.018041	0.0096349	0.019963	0.020127	0.0084639	0.017246	0.021989	0.028259	0.018634	0.017246	0.020954	0.015619	0.015198	0.017122	0.014498	0	0.0061981	0.0056427	0.021575	0.016979	0.012526	0.020089	0.024479	0.020151	0.019607	0.0090316	0.0034025	0.015254	
IL17A	0.018025	0.016755	0.015539	0.018229	0.014999	0.007787	0.015751	0.01807	0.007787	0.015222	0.015662	0.015662	0.019478	0.0057727	0.0067874	0.017397	0.0097471	0	0.021991	0.018923	0.019198	0.019272	0.017239	0.020025	0.020029	0.019231	0.018879	0.018048	0.018048	0.024461	0.03748	0.01996	0.0066057	0.020692	0.024672	0.018406	0.018011	0.014802	0.016762	0.017874	0.018674	0.018364	0.016762	0.018417	0.014338	0.012895	0.011783	0.023597	0	0.011539	0.021618	0.010781	0.03185	0.012064	0.018188	0.018121	0.021165	0.024181	0.009163	0.0038553	0.013367	
IL17RB	0.0075883	0.0088446	0.0074288	0.010261	0.006823	0.0032966	0.0078639	0.0095551	0.0032966	0.0089656	0.0067674	0.0067674	0.009861	0.0018138	0.0037928	0.01141	0.0043293	0	0.016389	0.012958	0.010338	0.013203	0.0076653	0.01456	0.01069	0.010885	0.012207	0.0092605	0.0092605	0.03748	0.21805	0.011001	0.025352	0.015201	0.1298	0.01278	0.012676	0.057427	0.012385	0.011893	0.010777	0.023204	0.012385	0.012584	0.0062964	0.0057893	0.0051599	0.016891	0	0.0039135	0.0085969	0.0044621	0.023369	0.0052592	0.010218	0.011326	0.014721	0.018977	0.0042532	0.0012634	0.01043	
IL18	0.010902	0.019481	0.017812	0.019008	0.016905	0.0086186	0.018942	0.01785	0.0086186	0.016948	0.016969	0.016969	0.019452	0.0068935	0.0069768	0.018849	0.010277	0	0.02136	0.020737	0.018651	0.021813	0.020727	0.020855	0.024232	0.022129	0.022728	0.022887	0.022887	0.01996	0.011001	0.04361	0.0031189	0.01975	0.010063	0.019504	0.019943	0.0084497	0.017322	0.02105	0.021983	0.01837	0.017322	0.020462	0.015773	0.014978	0.016086	0.016038	0	0.0094841	0.0067934	0.012237	0.022202	0.012479	0.020101	0.020773	0.023513	0.020959	0.0084809	0.0031146	0.014602	
IL1RL1	0.0009793	0.0033659	0.0025388	0.0031505	0.0021299	0.0013932	0.0028186	0.0026851	0.0013932	0.0041632	0.0019431	0.0019431	0.0024434	0.00039501	0.0023878	0.0055747	0.0018419	0	0.0038562	0.0055709	0.0021559	0.0045386	0.0018584	0.0049403	0.0026944	0.0030924	0.0051481	0.0031444	0.0031444	0.0066057	0.025352	0.0031189	0.48822	0.0035187	0.076174	0.005533	0.0070702	0.21131	0.0085447	0.0045972	0.0036562	0.021811	0.0085447	0.006385	0.0019966	0.0016141	0.0014786	0.0023817	0	0.00054212	0.00059418	0.0014637	0.0027869	0.0018778	0.0028313	0.0044955	0.0035224	0.003554	0.0015341	0.00039558	0.0071984	
IL21	0.07484	0.016635	0.014662	0.016414	0.013372	0.0067697	0.015527	0.016064	0.0067697	0.014214	0.014092	0.014092	0.021494	0.0060562	0.0061973	0.017285	0.0099499	0	0.021844	0.018646	0.026887	0.018505	0.015196	0.019812	0.019703	0.018506	0.018398	0.018041	0.018041	0.020692	0.015201	0.01975	0.0035187	0.030358	0.011877	0.019901	0.018333	0.0090039	0.016581	0.018047	0.018752	0.017056	0.016581	0.020505	0.014542	0.013215	0.012912	0.015529	0	0.025814	0.0076389	0.010286	0.024787	0.011502	0.018221	0.01782	0.021453	0.019024	0.013251	0.0069959	0.012842	
IL25	0.004764	0.0095331	0.0078938	0.0095865	0.0070585	0.0044752	0.0085695	0.008726	0.0044752	0.0097575	0.0069488	0.0069488	0.0084566	0.0018304	0.0074354	0.012806	0.0059926	0	0.012711	0.012887	0.0080452	0.012037	0.0068491	0.012913	0.0092948	0.009781	0.012414	0.0096349	0.0096349	0.024672	0.1298	0.010063	0.076174	0.011877	0.14421	0.01292	0.015309	0.10612	0.018143	0.011743	0.010595	0.028049	0.018143	0.0141	0.0067828	0.0057478	0.0052701	0.010599	0	0.0027124	0.0038704	0.0050068	0.013372	0.0061533	0.0093108	0.011241	0.01169	0.013232	0.0048807	0.0016613	0.015094	
IL2RA	0.017849	0.017371	0.015875	0.017181	0.014956	0.0081537	0.016623	0.016612	0.0081537	0.015303	0.01542	0.01542	0.018309	0.0070798	0.0078288	0.019208	0.015143	0	0.019864	0.018418	0.017773	0.018757	0.01689	0.019131	0.019106	0.018562	0.019191	0.019963	0.019963	0.018406	0.01278	0.019504	0.005533	0.019901	0.01292	0.022275	0.020604	0.0113	0.021518	0.018313	0.020027	0.0184	0.021518	0.019788	0.017253	0.014787	0.013082	0.015019	0	0.010275	0.0069199	0.011494	0.019984	0.011755	0.018947	0.018327	0.019172	0.018547	0.039709	0.033258	0.014577	
IL3	0.011085	0.019024	0.016818	0.018317	0.015963	0.0089583	0.017187	0.017658	0.0089583	0.016514	0.016671	0.016671	0.017223	0.0068603	0.0092183	0.022939	0.019747	0	0.018862	0.01873	0.015413	0.019344	0.016324	0.019269	0.018671	0.018512	0.020625	0.020127	0.020127	0.018011	0.012676	0.019943	0.0070702	0.018333	0.015309	0.020604	0.026271	0.014116	0.035545	0.019224	0.020031	0.021707	0.035545	0.022813	0.018677	0.015009	0.013689	0.015024	0	0.0069153	0.0065798	0.010782	0.016677	0.010975	0.019226	0.018745	0.018514	0.018525	0.013589	0.0071401	0.016916	
IL33	0.0035187	0.0084799	0.006987	0.0081144	0.0061984	0.0041632	0.0076188	0.0073429	0.0041632	0.0087901	0.0060977	0.0060977	0.0069897	0.0016141	0.0071984	0.011572	0.0055747	0	0.0096377	0.011252	0.0063433	0.010013	0.0057726	0.010604	0.0076676	0.0081506	0.010897	0.0084639	0.0084639	0.014802	0.057427	0.0084497	0.21131	0.0090039	0.10612	0.0113	0.014116	0.16359	0.017367	0.01008	0.0091232	0.027411	0.017367	0.012776	0.0060269	0.004978	0.0045972	0.0070627	0	0.0021559	0.0023817	0.0044955	0.0084105	0.0055709	0.0077707	0.0097766	0.0090118	0.0093985	0.0043945	0.0015341	0.0144	
IL3RA	0.0073759	0.017256	0.014077	0.017238	0.013135	0.0072054	0.014316	0.016469	0.0072054	0.015173	0.013869	0.013869	0.014854	0.0054291	0.0089349	0.028458	0.025042	0	0.017239	0.017852	0.012659	0.018768	0.012582	0.018552	0.015672	0.016205	0.020659	0.017246	0.017246	0.016762	0.012385	0.017322	0.0085447	0.016581	0.018143	0.021518	0.035545	0.017367	0.087308	0.018574	0.018463	0.026412	0.037521	0.02497	0.020086	0.014003	0.0099374	0.012929	0	0.0046283	0.0049021	0.0080795	0.013393	0.0088809	0.018842	0.017146	0.016483	0.016553	0.010244	0.0040057	0.017885	
IL4	0.012912	0.019763	0.019679	0.018742	0.018226	0.012376	0.021961	0.018043	0.012376	0.018108	0.018884	0.018884	0.017345	0.012613	0.014859	0.018478	0.012233	0	0.018901	0.018825	0.015984	0.018997	0.017651	0.018779	0.020917	0.019606	0.019867	0.021989	0.021989	0.017874	0.011893	0.02105	0.0045972	0.018047	0.011743	0.018313	0.019224	0.01008	0.018574	0.020071	0.020405	0.018096	0.018574	0.019623	0.017898	0.017594	0.02955	0.015602	0	0.008274	0.0077301	0.014304	0.018251	0.013554	0.019041	0.019754	0.019186	0.018302	0.0099242	0.0046979	0.019181	
IL4R	0.01061	0.019605	0.018445	0.018724	0.016476	0.008774	0.020154	0.017663	0.008774	0.0169	0.017243	0.017243	0.018631	0.010107	0.0070363	0.019363	0.011959	0	0.020512	0.02007	0.017138	0.02007	0.018484	0.02027	0.020935	0.0205	0.021832	0.028259	0.028259	0.018674	0.010777	0.021983	0.0036562	0.018752	0.010595	0.020027	0.020031	0.0091232	0.018463	0.020405	0.024143	0.018379	0.018463	0.02029	0.020304	0.018392	0.015026	0.015629	0	0.0086266	0.0068671	0.017836	0.019159	0.01268	0.021514	0.021652	0.020377	0.019877	0.012968	0.0067878	0.014505	
IL5	0.010298	0.017696	0.016436	0.017157	0.015612	0.011248	0.017259	0.016612	0.011248	0.016331	0.016035	0.016035	0.016413	0.0059808	0.018973	0.01951	0.014887	0	0.017915	0.01827	0.014877	0.017971	0.015229	0.018093	0.017599	0.017414	0.018878	0.018634	0.018634	0.018364	0.023204	0.01837	0.021811	0.017056	0.028049	0.0184	0.021707	0.027411	0.026412	0.018096	0.018379	0.021213	0.026412	0.019971	0.015542	0.013152	0.012526	0.014934	0	0.0074006	0.0073615	0.012297	0.017293	0.014363	0.017138	0.017857	0.01762	0.017796	0.010814	0.0054058	0.022398	
