       	ADAM33 	ALOX5  	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL5   	0.0085945	0.012751	0.0029174	0.014617	0.016063	0.016631	0.016368	0.016989	0.019073	0.017805	0.01684	0.019246	0.017373	0.017949	0.018252	0.015881	0.0048961	0.0073456	0.01114	0.012913	0.015306	0.013336	0.010036	0.0048961	0.0070591	0.015816	0.015324	0.018685	0.015338	0.015741	0.015048	0.015514	0.015567	0.015571	0.015229	0.014857	0.014857	0.015635	0.014908	0.015422	0.015485	0.015436	0.015449	0.015105	0.015438	0.015484	0.015252	0.015103	0.014892	0.015545	0.015295	0.015096	0.014979	0.013856	0.010277	0.014101	0.01624	0.0028802	0.013723	0.0030804	0.015997	0.0071687	0.0048961	0.0089828	0.01576	0.014556	0.015295	0.015228	0.015555	0.015628	0.010403	0.0045532	0.015472                                                                
CCL8   	0.0067733	0.011004	0.0019658	0.014208	0.017786	0.018827	0.017668	0.019714	0.02911	0.023429	0.019246	0.031388	0.021964	0.023703	0.025071	0.015614	0.0039201	0.0056011	0.0091167	0.013473	0.014829	0.012925	0.0077178	0.0039201	0.0058762	0.015597	0.014235	0.027351	0.014021	0.015666	0.012372	0.014935	0.014393	0.014848	0.014716	0.01323	0.01323	0.015046	0.012833	0.014677	0.013672	0.014731	0.014419	0.014466	0.015151	0.014129	0.014288	0.014761	0.014231	0.015908	0.013933	0.014546	0.013955	0.012731	0.0079926	0.011293	0.015757	0.0020384	0.010364	0.0018446	0.015118	0.0058646	0.0039201	0.0086856	0.013973	0.012827	0.015535	0.015001	0.014728	0.014522	0.0087692	0.0031819	0.015663                                                           
CCR3   	0.0082897	0.012246	0.0028594	0.014372	0.016466	0.017157	0.016636	0.017633	0.021616	0.019414	0.017373	0.021964	0.018495	0.019346	0.019936	0.015735	0.0049704	0.0069049	0.010698	0.012791	0.015096	0.012374	0.0094177	0.0049704	0.0074841	0.015673	0.015026	0.020763	0.014863	0.01566	0.014314	0.015287	0.015213	0.015343	0.015072	0.014624	0.014624	0.015401	0.014336	0.01518	0.014965	0.015177	0.015195	0.014926	0.015338	0.015119	0.015038	0.015036	0.014745	0.015613	0.015054	0.014937	0.01472	0.013537	0.0096997	0.013227	0.015928	0.003368	0.012474	0.002774	0.01552	0.0070689	0.0049704	0.0091374	0.015049	0.014421	0.015207	0.015186	0.015263	0.015205	0.010334	0.0046825	0.015456                                                                
CCR4   	0.007723	0.011666	0.0028267	0.014011	0.016899	0.017736	0.017047	0.018347	0.023319	0.020696	0.017949	0.023703	0.019346	0.020672	0.021154	0.015845	0.0048306	0.0066381	0.0097744	0.012419	0.015034	0.011864	0.0083914	0.0048306	0.0066655	0.015866	0.014992	0.021953	0.014863	0.015805	0.014146	0.015355	0.015273	0.015428	0.015113	0.014417	0.014417	0.015476	0.013998	0.015182	0.014797	0.015177	0.015093	0.014857	0.015275	0.015011	0.014777	0.015042	0.014696	0.015738	0.014496	0.014847	0.014313	0.013144	0.0086778	0.012929	0.016119	0.002571	0.01218	0.0025332	0.015671	0.0070858	0.0048306	0.0091699	0.015206	0.013947	0.01521	0.015323	0.015328	0.015213	0.0096693	0.0038589	0.015539                                                            
CCR8   	0.0075643	0.011576	0.0026509	0.013814	0.017129	0.017977	0.017181	0.018639	0.02455	0.021311	0.018252	0.025071	0.019936	0.021154	0.022079	0.015794	0.0049986	0.0065177	0.0096487	0.012228	0.014964	0.011651	0.0082855	0.0049986	0.0066261	0.015733	0.014807	0.023313	0.014603	0.015753	0.013619	0.01523	0.015014	0.015267	0.015039	0.014225	0.014225	0.015361	0.013926	0.015082	0.014596	0.015016	0.015083	0.01475	0.015242	0.014888	0.01468	0.014979	0.014603	0.015787	0.014461	0.014785	0.014206	0.013045	0.0085648	0.012439	0.016041	0.0025692	0.011587	0.002465	0.015466	0.0068382	0.0049986	0.0093649	0.014695	0.013773	0.01517	0.015252	0.015135	0.015029	0.0094732	0.0037144	0.015512                                                              
CD40LG 	0.0091324	0.013834	0.0028708	0.015236	0.015248	0.015709	0.015804	0.015857	0.01566	0.015639	0.015881	0.015614	0.015735	0.015845	0.015794	0.016099	0.0039615	0.0074151	0.012293	0.013173	0.015577	0.014424	0.011595	0.0039615	0.0072994	0.015849	0.015758	0.015695	0.016239	0.015716	0.015564	0.015801	0.015837	0.0157	0.015273	0.015117	0.015117	0.015721	0.014777	0.015674	0.016052	0.015725	0.015339	0.015496	0.015669	0.015767	0.01584	0.015241	0.015065	0.015387	0.016132	0.015313	0.015727	0.014516	0.011749	0.016392	0.016031	0.0030183	0.016855	0.0030938	0.015775	0.00713	0.0039615	0.0080746	0.015996	0.01501	0.015382	0.01517	0.015819	0.015875	0.012079	0.0063999	0.015425                                                                    
CLC    	0.0014867	0.0029571	0.00033048	0.0035687	0.011588	0.0049839	0.0046749	0.0051106	0.0044621	0.0043318	0.0048961	0.0039201	0.0049704	0.0048306	0.0049986	0.0039615	0.2193	0.0012083	0.0019203	0.0019791	0.0037338	0.0019281	0.0015843	0.20099	0.0011272	0.0038469	0.00377	0.0054146	0.0035358	0.0042116	0.0024592	0.003822	0.0033378	0.0038483	0.0041536	0.0030638	0.0030638	0.0041719	0.0041226	0.0039125	0.0038202	0.0038037	0.0052551	0.003715	0.0038206	0.0040664	0.0036677	0.0039337	0.0041452	0.0074057	0.0037666	0.0042529	0.0029643	0.0031314	0.0016371	0.0023601	0.0036498	0.00030235	0.0020258	0.00032783	0.0043303	0.0012119	0.20099	0.13611	0.0031188	0.0036601	0.0036101	0.0041475	0.0037596	0.0033154	0.0017494	0.00047907	0.0038888         
CLCA1  	0.0041216	0.0053772	0.0011106	0.0059335	0.0078495	0.0081953	0.0081799	0.0072094	0.0058051	0.0064432	0.0073456	0.0056011	0.0069049	0.0066381	0.0065177	0.0074151	0.0012083	0.25264	0.0045226	0.0051599	0.0078526	0.0049107	0.0035612	0.0012083	0.0029089	0.007484	0.0082208	0.0061118	0.0069543	0.0080733	0.0063311	0.0080815	0.0074025	0.0084198	0.018528	0.01057	0.01057	0.0081532	0.0068672	0.0083917	0.0076096	0.0080976	0.0094423	0.0072728	0.0079311	0.0094036	0.0071095	0.0078371	0.0084735	0.0076046	0.0068085	0.0080954	0.0066394	0.006353	0.0037446	0.005836	0.0090152	0.00098655	0.0052037	0.27814	0.0070931	0.0031977	0.0012083	0.0032731	0.0067689	0.0063303	0.0069874	0.0083349	0.0075595	0.0089441	0.0042039	0.0014433	0.0082683          
CMA1   	0.0056369	0.037256	0.0013519	0.01109	0.011223	0.011039	0.011511	0.0108	0.0090722	0.0098584	0.01114	0.0091167	0.010698	0.0097744	0.0096487	0.012293	0.0019203	0.0045226	0.10315	0.010071	0.015339	0.011106	0.056307	0.0019203	0.0048302	0.011555	0.010949	0.0094784	0.01071	0.012194	0.0086392	0.01186	0.010768	0.01121	0.01215	0.010436	0.010436	0.012073	0.010221	0.013662	0.010798	0.012687	0.012507	0.012929	0.015256	0.011569	0.013753	0.012483	0.011924	0.013027	0.015906	0.019832	0.018206	0.035445	0.077696	0.0084243	0.011945	0.0016907	0.0074799	0.0015209	0.010993	0.0041024	0.0019203	0.0051808	0.010356	0.0096986	0.013948	0.011393	0.011577	0.015289	0.0075577	0.0027935	0.013092                                                          
CRLF2  	0.0062101	0.010065	0.0012955	0.017771	0.012576	0.014379	0.013003	0.014688	0.011443	0.011546	0.012913	0.013473	0.012791	0.012419	0.012228	0.013173	0.0019791	0.0051599	0.010071	0.16888	0.015026	0.019369	0.0079706	0.0019791	0.0049827	0.013661	0.012108	0.011694	0.012199	0.013568	0.0098418	0.013284	0.012172	0.01255	0.013495	0.011355	0.011355	0.013296	0.010087	0.01253	0.011143	0.015251	0.011705	0.014249	0.01586	0.01179	0.013949	0.013228	0.013196	0.013561	0.013727	0.015049	0.016001	0.013665	0.0083983	0.009434	0.01295	0.001681	0.0086628	0.0017609	0.014474	0.0042226	0.0019791	0.0055198	0.012913	0.010338	0.024517	0.012297	0.013577	0.01302	0.0081381	0.0029508	0.032203                                                               
CSF2   	0.009303	0.015984	0.0028209	0.015566	0.014768	0.015156	0.015302	0.015237	0.014743	0.014855	0.015306	0.014829	0.015096	0.015034	0.014964	0.015577	0.0037338	0.0078526	0.015339	0.015026	0.015956	0.021424	0.015725	0.0037338	0.0076135	0.015351	0.015065	0.014837	0.015103	0.015313	0.014571	0.015262	0.015184	0.015162	0.015003	0.014859	0.014859	0.015337	0.014514	0.015425	0.015368	0.015474	0.015055	0.015305	0.015785	0.015301	0.016001	0.014941	0.014852	0.015147	0.017162	0.015497	0.016476	0.015808	0.015618	0.0141	0.015719	0.0034621	0.013705	0.0036614	0.015598	0.006893	0.0037338	0.0077368	0.015582	0.014496	0.015857	0.014739	0.015333	0.015762	0.011538	0.0060045	0.015501                                                                
CSF3R  	0.0063692	0.013216	0.0013176	0.017066	0.01232	0.012647	0.013415	0.012666	0.011021	0.011209	0.013336	0.012925	0.012374	0.011864	0.011651	0.014424	0.0019281	0.0049107	0.011106	0.019369	0.021424	0.16015	0.010475	0.0019281	0.0048661	0.01375	0.012318	0.011431	0.012576	0.013919	0.010302	0.01397	0.012502	0.01279	0.013203	0.011261	0.011261	0.013809	0.010258	0.013611	0.011691	0.014536	0.011563	0.014965	0.015643	0.01206	0.015635	0.013118	0.013332	0.013495	0.016092	0.014667	0.017964	0.015121	0.010606	0.0097356	0.014554	0.0016191	0.0092765	0.0016375	0.014746	0.0042592	0.0019281	0.0054158	0.013015	0.010321	0.023721	0.012325	0.013753	0.014756	0.0085068	0.0031766	0.015822                                                               
CYSLTR1	0.0039322	0.068208	0.00089115	0.0096446	0.0096777	0.0096966	0.010552	0.0094523	0.0078354	0.0085913	0.010036	0.0077178	0.0094177	0.0083914	0.0082855	0.011595	0.0015843	0.0035612	0.056307	0.0079706	0.015725	0.010475	0.12948	0.0015843	0.0040086	0.010277	0.0098301	0.0082077	0.0095399	0.010991	0.0071305	0.010878	0.0093929	0.0099198	0.010859	0.008595	0.008595	0.01091	0.0084553	0.015394	0.010547	0.011181	0.010094	0.011473	0.013999	0.010773	0.012624	0.01136	0.01024	0.012674	0.013008	0.015484	0.01765	0.038595	0.096318	0.0071703	0.010858	0.0012959	0.0063406	0.001055	0.0094225	0.0031401	0.0015843	0.004557	0.0087443	0.0086889	0.012743	0.010035	0.010503	0.014672	0.006148	0.0020098	0.011413                                           
EPX    	0.0014867	0.0029571	0.00033048	0.0035687	0.011588	0.0049839	0.0046749	0.0051106	0.0044621	0.0043318	0.0048961	0.0039201	0.0049704	0.0048306	0.0049986	0.0039615	0.20099	0.0012083	0.0019203	0.0019791	0.0037338	0.0019281	0.0015843	0.2193	0.0011272	0.0038469	0.00377	0.0054146	0.0035358	0.0042116	0.0024592	0.003822	0.0033378	0.0038483	0.0041536	0.0030638	0.0030638	0.0041719	0.0041226	0.0039125	0.0038202	0.0038037	0.0052551	0.003715	0.0038206	0.0040664	0.0036677	0.0039337	0.0041452	0.0074057	0.0037666	0.0042529	0.0029643	0.0031314	0.0016371	0.0023601	0.0036498	0.00030235	0.0020258	0.00032783	0.0043303	0.0012119	0.20099	0.13611	0.0031188	0.0036601	0.0036101	0.0041475	0.0037596	0.0033154	0.0017494	0.00047907	0.0038888         
FCER1A 	0.0038302	0.0053424	0.0010263	0.0058453	0.0074255	0.0077703	0.0077087	0.007025	0.0061994	0.007803	0.0070591	0.0058762	0.0074841	0.0066655	0.0066261	0.0072994	0.0011272	0.0029089	0.0048302	0.0049827	0.0076135	0.0048661	0.0040086	0.0011272	0.25026	0.0074045	0.0083258	0.0062057	0.0072291	0.007765	0.0064346	0.0078342	0.0081891	0.0080659	0.0078371	0.0093238	0.0093238	0.0077293	0.005593	0.0078681	0.0070954	0.0078452	0.0066689	0.0081373	0.0079707	0.0081652	0.0087086	0.015309	0.008077	0.0074687	0.0065877	0.007681	0.0086065	0.0071577	0.0041647	0.0085822	0.00713	0.2769	0.0061948	0.00098655	0.0081318	0.0029977	0.0011272	0.0031089	0.0069757	0.0096685	0.0071232	0.0079739	0.0080086	0.0070783	0.0085668	0.004178	0.0077863             
FOXP3  	0.0093751	0.012837	0.0041249	0.015732	0.01527	0.015688	0.015773	0.015835	0.01563	0.015664	0.015816	0.015597	0.015673	0.015866	0.015733	0.015849	0.0038469	0.007484	0.011555	0.013661	0.015351	0.01375	0.010277	0.0038469	0.0074045	0.016059	0.015886	0.015587	0.016193	0.015791	0.017284	0.015811	0.016308	0.015984	0.015296	0.015377	0.015377	0.015863	0.014935	0.01556	0.016	0.01587	0.015271	0.015335	0.015417	0.015684	0.015431	0.015248	0.015095	0.015331	0.015219	0.015158	0.015205	0.014038	0.010579	0.016302	0.016125	0.0031235	0.016408	0.0031668	0.016515	0.0084883	0.0038469	0.0079633	0.0175	0.015505	0.015372	0.015346	0.016065	0.015869	0.011438	0.0057457	0.015388                                                                       
GATA3  	0.0090785	0.012665	0.0043758	0.014661	0.014886	0.015252	0.015447	0.015253	0.01449	0.014972	0.015324	0.014235	0.015026	0.014992	0.014807	0.015758	0.00377	0.0082208	0.010949	0.012108	0.015065	0.012318	0.0098301	0.00377	0.0083258	0.015886	0.017316	0.014576	0.017103	0.01561	0.015795	0.015966	0.015999	0.015764	0.015308	0.015626	0.015626	0.015845	0.015163	0.015763	0.01793	0.015615	0.015454	0.015133	0.015125	0.016448	0.015203	0.015502	0.014994	0.015379	0.014831	0.014933	0.014803	0.013674	0.010084	0.020649	0.01562	0.0039174	0.020118	0.0039168	0.015659	0.0087504	0.00377	0.0078232	0.016276	0.022259	0.014849	0.01535	0.01605	0.015547	0.011136	0.0053247	0.014951                                                                       
GPR44  	0.0072864	0.011466	0.0022627	0.013839	0.017457	0.018258	0.017339	0.018997	0.026412	0.02193	0.018685	0.027351	0.020763	0.021953	0.023313	0.015695	0.0054146	0.0061118	0.0094784	0.011694	0.014837	0.011431	0.0082077	0.0054146	0.0062057	0.015587	0.014576	0.02555	0.014327	0.015667	0.012953	0.015061	0.014667	0.015028	0.014878	0.013717	0.013717	0.015221	0.014012	0.014918	0.014353	0.014827	0.015076	0.014563	0.015145	0.014692	0.014454	0.01484	0.014397	0.015862	0.014334	0.014664	0.013968	0.012889	0.0084588	0.011962	0.015896	0.0022711	0.011087	0.0021915	0.015265	0.0062776	0.0054146	0.0097534	0.014294	0.013611	0.01513	0.015082	0.014902	0.014762	0.0090854	0.0034257	0.015386                                                            
ICOS   	0.008434	0.012375	0.0029439	0.015355	0.014717	0.015115	0.015437	0.015184	0.014182	0.014648	0.015338	0.014021	0.014863	0.014863	0.014603	0.016239	0.0035358	0.0069543	0.01071	0.012199	0.015103	0.012576	0.0095399	0.0035358	0.0072291	0.016193	0.017103	0.014327	0.019909	0.015742	0.015887	0.016766	0.016176	0.015828	0.015096	0.014799	0.014799	0.015869	0.014544	0.015548	0.016122	0.015945	0.014789	0.015232	0.015126	0.015499	0.015097	0.015359	0.014808	0.015164	0.014766	0.014834	0.014742	0.013567	0.0097986	0.027629	0.015641	0.0029404	0.032792	0.002778	0.0157	0.0071751	0.0035358	0.0075471	0.016735	0.015623	0.014958	0.015151	0.016366	0.015714	0.010806	0.0048596	0.014912                                                               
IFNG   	0.010525	0.013224	0.0038582	0.015206	0.015206	0.015627	0.015688	0.015756	0.015695	0.015651	0.015741	0.015666	0.01566	0.015805	0.015753	0.015716	0.0042116	0.0080733	0.012194	0.013568	0.015313	0.013919	0.010991	0.0042116	0.007765	0.015791	0.01561	0.015667	0.015742	0.015717	0.018597	0.015626	0.016318	0.015985	0.015242	0.015483	0.015483	0.015649	0.014894	0.015463	0.0158	0.015575	0.015296	0.015237	0.015392	0.015598	0.01546	0.015153	0.015142	0.015253	0.015481	0.015153	0.015286	0.014218	0.011301	0.015427	0.015931	0.0035335	0.015299	0.0037793	0.015884	0.0081653	0.0042116	0.0081991	0.016182	0.015199	0.015252	0.015249	0.015771	0.015717	0.011428	0.0058385	0.015297                                                                   
IFNGR2 	0.0083541	0.010565	0.0029513	0.012515	0.014473	0.015008	0.015765	0.015022	0.012652	0.013759	0.015048	0.012372	0.014314	0.014146	0.013619	0.015564	0.0024592	0.0063311	0.0086392	0.0098418	0.014571	0.010302	0.0071305	0.0024592	0.0064346	0.017284	0.015795	0.012953	0.015887	0.018597	0.08076	0.016741	0.028384	0.023832	0.015286	0.014863	0.014863	0.016318	0.012477	0.01544	0.014548	0.015422	0.013426	0.014963	0.014497	0.014501	0.014156	0.015213	0.015442	0.014696	0.013018	0.014434	0.01333	0.012314	0.0074248	0.013516	0.015667	0.0023729	0.013143	0.0022787	0.014736	0.0075813	0.0024592	0.0064793	0.015947	0.013243	0.014338	0.01642	0.017672	0.015878	0.0094174	0.003582	0.01411                                                             
IL10   	0.010865	0.013167	0.0040343	0.015054	0.014981	0.015386	0.01553	0.015467	0.015013	0.015204	0.015514	0.014935	0.015287	0.015355	0.01523	0.015801	0.003822	0.0080815	0.01186	0.013284	0.015262	0.01397	0.010878	0.003822	0.0078342	0.015811	0.015966	0.015061	0.016766	0.015626	0.016741	0.015891	0.01605	0.015785	0.015209	0.015548	0.015548	0.015656	0.014788	0.015485	0.015981	0.015614	0.015164	0.015244	0.015303	0.015622	0.015416	0.015198	0.015135	0.015181	0.015245	0.015056	0.015204	0.014105	0.011107	0.018334	0.015799	0.0035832	0.020167	0.003799	0.015758	0.0083434	0.003822	0.0078505	0.016205	0.015496	0.01516	0.015217	0.015853	0.015707	0.011582	0.0060161	0.015167                                                                       
