       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL26  	0.012213	0.012253	0.0072415	0.0032562	0.014106	0.013993	0.014331	0.01418	0.014451	0.015048	0.01596	0.014123	0.016444	0.014546	0.014825	0.015052	0.013975	0.011871	0.010186	0.012234	0.00889	0.014229	0.013821	0.013304	0.01123	0.01357	0.010272	0.014133	0.014013	0.014293	0.013902	0.013992	0.013644	0.013916	0.014039	0.014026	0.014019	0.014206	0.01409	0.014002	0.013292	0.013928	0.013966	0.014023	0.013973	0.013971	0.013898	0.014053	0.013677	0.013892	0.013768	0.013945	0.014124	0.013746	0.012754	0.01312	0.010026	0.014082	0.013303	0.0032562	0.011463	0.012837	0.0097087	0.0049388	0.013989	0.0063327	0.013147	0.013707	0.014032	0.013613	0.01399	0.013927	0.014051	0.013938	0.01386	0.013717	0.014071                                                                         
CCL5   	0.013021	0.013182	0.010137	0.0024121	0.013971	0.013854	0.013989	0.013934	0.014057	0.014123	0.014123	0.013899	0.014548	0.014003	0.014085	0.014151	0.013879	0.013293	0.010255	0.012963	0.010676	0.014283	0.013809	0.013871	0.012735	0.013838	0.010058	0.013925	0.013829	0.013913	0.013871	0.01386	0.01387	0.013833	0.013907	0.013878	0.013768	0.013861	0.013879	0.013874	0.013425	0.013844	0.013978	0.013907	0.013854	0.013865	0.013848	0.013943	0.013791	0.013714	0.013668	0.013761	0.013957	0.013666	0.013248	0.013497	0.012088	0.013923	0.013535	0.0024121	0.011338	0.013451	0.0092503	0.0052518	0.014008	0.0053958	0.013697	0.013854	0.014069	0.013313	0.013896	0.013612	0.013906	0.013859	0.013927	0.013887	0.013947                                                                   
CCL8   	0.011464	0.011518	0.0061777	0.001734	0.013866	0.014332	0.015044	0.014594	0.015407	0.016444	0.016444	0.014548	0.039231	0.016474	0.01751	0.018361	0.013774	0.010875	0.0085918	0.011642	0.008183	0.015279	0.013803	0.013825	0.010453	0.013519	0.0081311	0.014231	0.013437	0.015032	0.013312	0.013921	0.012514	0.013676	0.013589	0.013704	0.013903	0.013219	0.01349	0.013863	0.011883	0.013621	0.012877	0.013779	0.013433	0.013805	0.013998	0.013485	0.013651	0.013768	0.013452	0.013949	0.014429	0.013563	0.01261	0.012901	0.0089975	0.013308	0.013025	0.001734	0.0096754	0.011596	0.0077333	0.0032496	0.013986	0.0046868	0.012595	0.013482	0.013537	0.01194	0.015103	0.013781	0.013746	0.013757	0.013004	0.012677	0.014064                                                                  
CCR3   	0.013566	0.012631	0.0078577	0.0027912	0.013964	0.013993	0.014151	0.014019	0.014252	0.014546	0.014546	0.014003	0.016474	0.014334	0.014452	0.014635	0.013863	0.014327	0.0099625	0.012481	0.0096367	0.01446	0.01385	0.013811	0.011908	0.014391	0.0099714	0.013963	0.013815	0.014244	0.01378	0.013868	0.013627	0.013809	0.013879	0.013879	0.013816	0.013907	0.0139	0.013871	0.013189	0.013812	0.013809	0.013901	0.013835	0.013897	0.013881	0.013908	0.013751	0.013745	0.013731	0.01384	0.014091	0.013657	0.012971	0.013261	0.010886	0.013869	0.013281	0.0027912	0.011294	0.013002	0.0093547	0.0048144	0.013944	0.0057621	0.014336	0.014131	0.013949	0.01326	0.013985	0.013695	0.013894	0.013832	0.013765	0.01366	0.01398                                                                      
CCR4   	0.011742	0.012549	0.0079989	0.0024009	0.014115	0.013972	0.014312	0.014155	0.014443	0.014825	0.014825	0.014085	0.01751	0.014452	0.014728	0.014888	0.013993	0.012123	0.0097458	0.012444	0.0093446	0.014842	0.013846	0.013606	0.011734	0.013589	0.01008	0.014132	0.013962	0.014033	0.013972	0.014	0.013884	0.013939	0.014047	0.014012	0.013924	0.013974	0.013977	0.014017	0.01351	0.013926	0.014009	0.014042	0.013979	0.013965	0.013923	0.014047	0.013757	0.013849	0.013696	0.013904	0.0141	0.013726	0.012935	0.013267	0.010659	0.014058	0.013403	0.0024009	0.011307	0.013306	0.0094019	0.0044103	0.014141	0.0054492	0.013246	0.013721	0.014228	0.013453	0.01412	0.013797	0.014055	0.013943	0.013992	0.013915	0.014137                                                                       
CCR8   	0.014474	0.012461	0.007594	0.0024107	0.014033	0.01406	0.014386	0.01418	0.01454	0.015052	0.015052	0.014151	0.018361	0.014635	0.014888	0.015192	0.013939	0.012447	0.0095974	0.012235	0.0088997	0.014942	0.013845	0.013502	0.011667	0.013799	0.0094471	0.014097	0.013882	0.0147	0.013827	0.013956	0.013557	0.013873	0.013951	0.013957	0.01392	0.013906	0.013945	0.013962	0.013168	0.013876	0.013812	0.013975	0.013898	0.01394	0.013913	0.013965	0.013716	0.013818	0.013808	0.013919	0.014146	0.013698	0.012797	0.013206	0.010496	0.013923	0.013314	0.0024107	0.010887	0.012815	0.0094846	0.0042355	0.014058	0.0054682	0.013462	0.013815	0.014041	0.013204	0.014126	0.013814	0.013979	0.013903	0.013798	0.013674	0.01411                                                                      
CD40LG 	0.01133	0.012664	0.010237	0.0028175	0.014443	0.013715	0.013985	0.013971	0.014021	0.013975	0.013975	0.013879	0.013774	0.013863	0.013993	0.013939	0.014209	0.011667	0.0098088	0.01291	0.010481	0.014096	0.013804	0.014114	0.011792	0.013163	0.010164	0.014142	0.013996	0.013509	0.014481	0.014003	0.01417	0.01402	0.014111	0.01402	0.013818	0.013966	0.014001	0.014005	0.013399	0.013929	0.014099	0.01411	0.013914	0.014032	0.013904	0.014036	0.013891	0.013834	0.013656	0.013771	0.013968	0.013715	0.013237	0.013339	0.010956	0.014303	0.013633	0.0028175	0.011422	0.014524	0.0090858	0.0045544	0.014094	0.0057979	0.012852	0.013527	0.014346	0.013445	0.013965	0.013734	0.014139	0.013941	0.015238	0.015624	0.014134                                                                      
CLC    	0.0076987	0.010614	0.0043465	0.0010152	0.010786	0.0164	0.012424	0.012343	0.012309	0.011871	0.011871	0.013293	0.010875	0.014327	0.012123	0.012447	0.011667	0.10875	0.006427	0.0091631	0.0057128	0.010039	0.014904	0.011428	0.0099387	0.044755	0.0058802	0.011382	0.010982	0.012234	0.010608	0.011664	0.0093387	0.011511	0.011004	0.011464	0.011837	0.010285	0.011024	0.011692	0.0099452	0.011693	0.010588	0.011534	0.011764	0.01281	0.013143	0.011659	0.011834	0.011895	0.01149	0.013772	0.012555	0.011748	0.01051	0.011261	0.0077416	0.010319	0.010889	0.0010152	0.0072568	0.0083615	0.0072782	0.0020806	0.011378	0.0032604	0.054672	0.031668	0.01021	0.0098074	0.011573	0.011505	0.011097	0.011834	0.010129	0.0096047	0.01168                                                            
CLCA1  	0.0068797	0.0082191	0.0047821	0.0012421	0.0095016	0.010011	0.010053	0.0101	0.0097359	0.010186	0.010186	0.010255	0.0085918	0.0099625	0.0097458	0.0095974	0.0098088	0.006427	0.12236	0.0096638	0.0064748	0.0089868	0.010084	0.0089076	0.0072199	0.008472	0.0056528	0.010088	0.010027	0.0091568	0.0095237	0.0102	0.0090228	0.010254	0.0097927	0.010153	0.014159	0.010656	0.011522	0.010235	0.0089203	0.01044	0.0095229	0.010447	0.010986	0.010478	0.010293	0.010459	0.0095827	0.0099728	0.010274	0.0099031	0.010623	0.015317	0.00903	0.0095831	0.0063592	0.0096018	0.009751	0.0012421	0.0069792	0.0082823	0.0048682	0.19242	0.0094637	0.003335	0.0080195	0.0091747	0.0095046	0.0083092	0.010002	0.010107	0.010089	0.010225	0.0091176	0.008897	0.010526                                       
CMA1   	0.0089576	0.013915	0.014428	0.0015064	0.012416	0.012606	0.012572	0.01289	0.012491	0.012234	0.012234	0.012963	0.011642	0.012481	0.012444	0.012235	0.01291	0.0091631	0.0096638	0.030536	0.06385	0.01195	0.013366	0.013708	0.014222	0.01138	0.0094368	0.012653	0.012353	0.011841	0.012263	0.012794	0.011684	0.012788	0.01244	0.012555	0.01269	0.012296	0.012764	0.012745	0.010967	0.012798	0.011933	0.012761	0.012459	0.012935	0.013723	0.012546	0.01473	0.013272	0.012548	0.012537	0.013048	0.013637	0.024952	0.015822	0.014625	0.012292	0.014878	0.0015064	0.010393	0.01097	0.0065735	0.0048102	0.0132	0.0040757	0.01092	0.012225	0.012422	0.01142	0.013606	0.012281	0.012562	0.013384	0.012271	0.012099	0.01275                                                                           
CPA3   	0.0054704	0.011039	0.0078753	0.00070174	0.0092295	0.0098684	0.0096936	0.010327	0.009441	0.00889	0.00889	0.010676	0.008183	0.0096367	0.0093446	0.0088997	0.010481	0.0057128	0.0064748	0.06385	0.20237	0.0085979	0.012032	0.012222	0.010841	0.0081632	0.006218	0.0098397	0.0092314	0.0086327	0.0089605	0.010277	0.0078102	0.010282	0.0093133	0.0096432	0.010091	0.0089831	0.0099319	0.010087	0.0070638	0.01007	0.0081457	0.010124	0.0094831	0.010672	0.013002	0.0095093	0.015812	0.012045	0.010103	0.0099508	0.010743	0.012861	0.05049	0.018221	0.010994	0.0089286	0.014905	0.00070174	0.00714	0.0070494	0.0039106	0.0022171	0.010452	0.0024554	0.0076407	0.0095816	0.0087812	0.0078646	0.012738	0.0094707	0.0095951	0.011416	0.0088802	0.0085954	0.010178                                  
CRLF2  	0.0098002	0.011652	0.0062967	0.0016608	0.014142	0.014026	0.016713	0.014397	0.01753	0.014229	0.014229	0.014283	0.015279	0.01446	0.014842	0.014942	0.014096	0.010039	0.0089868	0.01195	0.0085979	0.039106	0.013933	0.014264	0.010453	0.012662	0.0083571	0.014189	0.013536	0.013493	0.013698	0.013989	0.012663	0.013777	0.013689	0.013746	0.01395	0.013263	0.0136	0.014015	0.0126	0.013791	0.01333	0.014156	0.014262	0.013931	0.014121	0.014302	0.013873	0.013845	0.013419	0.013867	0.014166	0.013811	0.012905	0.013041	0.0091387	0.013532	0.01312	0.0016608	0.0098494	0.011916	0.0076271	0.0035692	0.014053	0.0045518	0.012058	0.013228	0.013751	0.012024	0.015374	0.013625	0.013897	0.013823	0.01373	0.014601	0.016924                                                                     
CSF2   	0.011707	0.01375	0.0093252	0.0025229	0.013886	0.013855	0.013836	0.013821	0.013869	0.013821	0.013821	0.013809	0.013803	0.01385	0.013846	0.013845	0.013804	0.014904	0.010084	0.013366	0.012032	0.013933	0.013881	0.014887	0.013551	0.014393	0.010074	0.0138	0.013706	0.013504	0.013736	0.013765	0.013743	0.013742	0.013788	0.013772	0.013662	0.01371	0.013768	0.01378	0.013305	0.013803	0.013911	0.013825	0.013767	0.013826	0.013901	0.013876	0.013984	0.013646	0.013547	0.013717	0.013933	0.013628	0.013634	0.013746	0.013247	0.013779	0.013418	0.0025229	0.011382	0.01321	0.0090979	0.005089	0.013873	0.0054312	0.014603	0.014137	0.013903	0.013145	0.013881	0.01349	0.013796	0.013808	0.013796	0.013747	0.013844                                                                         
CSF3R  	0.010071	0.013049	0.0067894	0.0015906	0.014158	0.013673	0.013831	0.013893	0.013742	0.013304	0.013304	0.013871	0.013825	0.013811	0.013606	0.013502	0.014114	0.011428	0.0089076	0.013708	0.012222	0.014264	0.014887	0.037831	0.012025	0.013241	0.0085466	0.013773	0.01335	0.012912	0.013377	0.013769	0.012671	0.013809	0.013509	0.013669	0.01364	0.013205	0.013693	0.013738	0.011797	0.013727	0.012968	0.013988	0.013405	0.014351	0.015636	0.013667	0.018033	0.013703	0.013801	0.013677	0.014864	0.013861	0.01543	0.01432	0.011343	0.0133	0.013305	0.0015906	0.010288	0.011859	0.0074641	0.0035536	0.013869	0.0044055	0.012909	0.013876	0.013458	0.011847	0.015636	0.013358	0.013727	0.014084	0.013374	0.013123	0.014091                                                                    
CYSLTR1	0.0079531	0.044074	0.005138	0.0011588	0.011065	0.014498	0.011918	0.012162	0.011815	0.01123	0.01123	0.012735	0.010453	0.011908	0.011734	0.011667	0.011792	0.0099387	0.0072199	0.014222	0.010841	0.010453	0.013551	0.012025	0.068741	0.011969	0.0063349	0.011519	0.011151	0.011425	0.010854	0.012065	0.0099244	0.011722	0.011193	0.011476	0.011774	0.010652	0.011222	0.011823	0.0099158	0.013924	0.01128	0.011736	0.011668	0.011854	0.012902	0.011852	0.01349	0.011938	0.011501	0.012664	0.012003	0.012521	0.014219	0.024362	0.078233	0.010728	0.011531	0.0011588	0.0076882	0.0091019	0.0065095	0.0026574	0.011649	0.003431	0.011955	0.012152	0.010782	0.0097058	0.012441	0.011396	0.011449	0.013062	0.010271	0.0099571	0.011685                                                            
EPX    	0.010545	0.01244	0.0063688	0.0017555	0.012894	0.015029	0.0136	0.013518	0.01361	0.01357	0.01357	0.013838	0.013519	0.014391	0.013589	0.013799	0.013163	0.044755	0.008472	0.01138	0.0081632	0.012662	0.014393	0.013241	0.011969	0.025752	0.0080433	0.013101	0.012883	0.013476	0.012666	0.01315	0.012012	0.01306	0.012914	0.013093	0.01319	0.012568	0.012927	0.013195	0.012355	0.013198	0.012824	0.013148	0.013283	0.013592	0.013742	0.013273	0.013229	0.013139	0.012948	0.013957	0.013693	0.013075	0.012227	0.0128	0.010491	0.012621	0.012514	0.0017555	0.0095273	0.011128	0.0094794	0.0034293	0.013143	0.0045036	0.029477	0.020247	0.012651	0.012125	0.013175	0.012964	0.012966	0.013254	0.012429	0.012134	0.013239                                                                         
FCER1A 	0.0095296	0.0074289	0.0035839	0.00098178	0.0090965	0.010032	0.01006	0.010124	0.010017	0.010272	0.010272	0.010058	0.0081311	0.0099714	0.01008	0.0094471	0.010164	0.0058802	0.0056528	0.0094368	0.006218	0.0083571	0.010074	0.0085466	0.0063349	0.0080433	0.20125	0.010217	0.010795	0.010086	0.0096029	0.010293	0.0086351	0.010307	0.010215	0.010651	0.01038	0.01203	0.011584	0.010045	0.0075953	0.01002	0.0088618	0.010134	0.010033	0.01068	0.010129	0.010123	0.010676	0.016585	0.016301	0.0099377	0.010302	0.010322	0.0097484	0.0094466	0.0053888	0.010447	0.009093	0.00098178	0.11377	0.0075798	0.0042033	0.0019028	0.010018	0.0029895	0.0073955	0.0095932	0.0090786	0.010893	0.010207	0.010313	0.010186	0.01015	0.010479	0.010424	0.010125                                              
FOXP3  	0.011519	0.012487	0.0082811	0.0028569	0.01435	0.013763	0.014054	0.014036	0.01411	0.014133	0.014133	0.013925	0.014231	0.013963	0.014132	0.014097	0.014142	0.011382	0.010088	0.012653	0.0098397	0.014189	0.0138	0.013773	0.011519	0.013101	0.010217	0.014204	0.014126	0.013629	0.014403	0.01408	0.014725	0.014086	0.014272	0.01415	0.013889	0.014081	0.014074	0.014079	0.013599	0.013976	0.014243	0.014171	0.013988	0.014036	0.013896	0.014098	0.01381	0.013864	0.013722	0.013827	0.014003	0.013754	0.013047	0.013253	0.010564	0.01441	0.013485	0.0028569	0.011494	0.014562	0.0091766	0.0049152	0.01426	0.0058629	0.012739	0.01349	0.014719	0.013877	0.013989	0.013803	0.014229	0.013969	0.014797	0.014828	0.014116                                                                         
GATA3  	0.012047	0.012318	0.0077597	0.0030492	0.014257	0.013653	0.013902	0.013933	0.013929	0.014013	0.014013	0.013829	0.013437	0.013815	0.013962	0.013882	0.013996	0.010982	0.010027	0.012353	0.0092314	0.013536	0.013706	0.01335	0.011151	0.012883	0.010795	0.014126	0.014902	0.013621	0.014241	0.014024	0.01439	0.014039	0.014221	0.014106	0.013882	0.014208	0.014063	0.014097	0.013706	0.014071	0.01568	0.014127	0.014029	0.013942	0.013773	0.014411	0.01366	0.013945	0.013796	0.013934	0.013892	0.013694	0.012783	0.013086	0.010153	0.014717	0.013307	0.0030492	0.012069	0.014149	0.0094284	0.0048682	0.014003	0.0060532	0.01251	0.013342	0.014416	0.019573	0.013821	0.013811	0.014253	0.013896	0.01421	0.014134	0.013979                                                                     
GPR44  	0.038316	0.012103	0.0069887	0.0030373	0.013525	0.013896	0.013846	0.013723	0.013926	0.014293	0.014293	0.013913	0.015032	0.014244	0.014033	0.0147	0.013509	0.012234	0.0091568	0.011841	0.0086327	0.013493	0.013504	0.012912	0.011425	0.013476	0.010086	0.013629	0.013621	0.018451	0.013344	0.013589	0.013028	0.013525	0.013522	0.01366	0.013575	0.013984	0.013865	0.013524	0.012638	0.013476	0.013322	0.013518	0.013449	0.013645	0.013516	0.013485	0.013429	0.013571	0.014986	0.013618	0.013917	0.013392	0.01238	0.012832	0.010228	0.013507	0.012843	0.0030373	0.011784	0.012222	0.0091955	0.0039378	0.013489	0.0060015	0.013188	0.013502	0.013398	0.012972	0.013571	0.013658	0.013544	0.013462	0.013241	0.013056	0.013535                                                                  
ICOS   	0.010739	0.01207	0.0078735	0.0029901	0.014517	0.013611	0.013977	0.01401	0.013995	0.013902	0.013902	0.013871	0.013312	0.01378	0.013972	0.013827	0.014481	0.010608	0.0095237	0.012263	0.0089605	0.013698	0.013736	0.013377	0.010854	0.012666	0.0096029	0.014403	0.014241	0.013344	0.015607	0.014325	0.014729	0.014449	0.014404	0.014227	0.013874	0.014081	0.014099	0.014149	0.013361	0.014015	0.014158	0.014322	0.013921	0.014162	0.013857	0.014055	0.013709	0.013902	0.013665	0.013791	0.013876	0.013729	0.012733	0.013041	0.0098144	0.015006	0.013454	0.0029901	0.010991	0.020706	0.0088728	0.0041908	0.014069	0.0060143	0.012228	0.013263	0.014674	0.013558	0.013914	0.013901	0.014435	0.013997	0.016341	0.017011	0.014222                                                               
