       	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	FCER1A 	FOXP3  	GATA3  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCR4   	0.0054707	0.032209	0.041718	0.028799	0.04696	0.019119	0.021288	0.031873	0.019119	0.028132	0.047998	0.047086	0.01867	0.0076726	0.0039751	0.017411	0.0092826	0	0.015095	0.015423	0.013682	0.019411	0.014437	0.017495	0.016563	0.018672	0.019128	0.017166	0.017166	0.015409	0.0065009	0.016786	0.0030982	0.014012	0.0061337	0.015211	0.016486	0.0061337	0.013729	0.01881	0.016968	0.015827	0.013729	0.019254	0.0099009	0.010207	0.01022	0.022652	0	0.010973	0.014917	0.010552	0.011677	0.0065328	0.013159	0.019588	0.015725	0.01735	0.005229	0.0015755	0.010636                                            
CCR8   	0.0054707	0.032209	0.041718	0.028799	0.04696	0.019119	0.021288	0.031873	0.019119	0.028132	0.047086	0.047998	0.01867	0.0076726	0.0039751	0.017411	0.0092826	0	0.015095	0.015423	0.013682	0.019411	0.014437	0.017495	0.016563	0.018672	0.019128	0.017166	0.017166	0.015409	0.0065009	0.016786	0.0030982	0.014012	0.0061337	0.015211	0.016486	0.0061337	0.013729	0.01881	0.016968	0.015827	0.013729	0.019254	0.0099009	0.010207	0.01022	0.022652	0	0.010973	0.014917	0.010552	0.011677	0.0065328	0.013159	0.019588	0.015725	0.01735	0.005229	0.0015755	0.010636                                            
CD40LG 	0.011819	0.016352	0.016372	0.01886	0.017236	0.0082484	0.013512	0.024615	0.0082484	0.01562	0.01867	0.01867	0.056415	0.0089798	0.0033284	0.016105	0.0088936	0	0.018494	0.016602	0.052856	0.019794	0.017207	0.022785	0.018288	0.018757	0.016873	0.014912	0.014912	0.017902	0.0082418	0.017719	0.0036785	0.021816	0.0067586	0.016841	0.015489	0.0067586	0.013237	0.015839	0.016795	0.014869	0.013237	0.016226	0.010697	0.010494	0.0074078	0.019077	0	0.095779	0.014524	0.0082506	0.017168	0.0083457	0.014844	0.01646	0.020866	0.018421	0.0070986	0.0026051	0.00913                                          
CMA1   	0.0046209	0.0102	0.0086977	0.011447	0.0078316	0.0031584	0.0095656	0.010436	0.0031584	0.0091451	0.0076726	0.0076726	0.0089798	0.15623	0.002558	0.023628	0.012614	0	0.018642	0.012701	0.0095329	0.015558	0.0089625	0.013599	0.01316	0.012576	0.01363	0.013293	0.013293	0.012069	0.0043793	0.013432	0.0018056	0.012349	0.0040056	0.014521	0.01425	0.0040056	0.013317	0.016597	0.019636	0.012175	0.013317	0.01351	0.11193	0.11034	0.0076924	0.00769	0	0.0048694	0.0044233	0.0049016	0.012707	0.0047935	0.06532	0.012773	0.016943	0.0096556	0.0048066	0.0014086	0.007811                                     
CRLF2  	0.0020218	0.0066579	0.0056831	0.0058715	0.0040089	0.0022978	0.0070599	0.0043151	0.0022978	0.0065597	0.0039751	0.0039751	0.0033284	0.002558	0.48339	0.0074912	0.0025956	0	0.005678	0.0079466	0.0035848	0.0063984	0.0033023	0.0066292	0.0065978	0.0062809	0.0078845	0.0072948	0.0072948	0.0067697	0.0043539	0.0069444	0.0034832	0.0061744	0.0066147	0.0077827	0.0091727	0.0066147	0.0088951	0.014814	0.0069705	0.018859	0.0088951	0.0091103	0.0034109	0.0048995	0.0068136	0.003448	0	0.0015162	0.0017833	0.002533	0.0039701	0.0028186	0.0046166	0.0073341	0.0062051	0.0044171	0.0022666	0.00060624	0.19493
CSF2   	0.0098135	0.018164	0.016882	0.018228	0.016717	0.0092572	0.016179	0.017989	0.0092572	0.01609	0.017411	0.017411	0.016105	0.023628	0.0074912	0.022904	0.043464	0	0.017957	0.017252	0.015637	0.01832	0.01563	0.018112	0.01768	0.01763	0.018994	0.018433	0.018433	0.016923	0.011201	0.018411	0.0078351	0.016956	0.011289	0.01873	0.022437	0.011289	0.027955	0.018162	0.018864	0.018988	0.027955	0.020373	0.024683	0.022692	0.0121	0.016305	0	0.011996	0.012999	0.01005	0.016094	0.010101	0.021313	0.01751	0.017706	0.016791	0.011191	0.0056577	0.014374                                                      
CSF3R  	0.0036307	0.010499	0.0082209	0.013862	0.0080144	0.003507	0.007614	0.013946	0.003507	0.0092572	0.0092826	0.0092826	0.0088936	0.012614	0.0025956	0.043464	0.39971	0	0.010573	0.010101	0.0076139	0.012732	0.0071259	0.012876	0.0090578	0.010024	0.013914	0.0097661	0.0097661	0.0095374	0.0044632	0.01011	0.0027549	0.0098135	0.005295	0.014929	0.019543	0.005295	0.024857	0.0121	0.011668	0.014661	0.024857	0.01727	0.020063	0.01272	0.0052224	0.0088378	0	0.0045116	0.0050749	0.0037463	0.0070069	0.0037876	0.016074	0.01005	0.0099972	0.009236	0.0056577	0.0019199	0.0074912                             
FCER1A 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FOXP3  	0.01969	0.017057	0.015616	0.0174	0.014919	0.0074316	0.01693	0.016642	0.0074316	0.015083	0.015095	0.015095	0.018494	0.018642	0.005678	0.017957	0.010573	0	0.022848	0.02059	0.020571	0.019296	0.018148	0.019956	0.021119	0.019886	0.019157	0.019651	0.019651	0.021233	0.013922	0.020873	0.0069599	0.021433	0.01104	0.019385	0.018422	0.01104	0.01687	0.018559	0.019934	0.017497	0.01687	0.018941	0.018728	0.018915	0.011438	0.01754	0	0.016146	0.014557	0.014667	0.032911	0.018905	0.020407	0.019138	0.02198	0.019039	0.012671	0.00665	0.012724                                                           
GATA3  	0.011419	0.017571	0.016146	0.017083	0.015133	0.0080828	0.018128	0.015997	0.0080828	0.015371	0.015423	0.015423	0.016602	0.012701	0.0079466	0.017252	0.010101	0	0.02059	0.027775	0.017778	0.018293	0.016325	0.019319	0.019881	0.019006	0.019568	0.020637	0.020637	0.018475	0.012318	0.020404	0.0080398	0.018388	0.011418	0.018063	0.0184	0.011418	0.01758	0.01855	0.019599	0.017893	0.01758	0.018661	0.014002	0.014441	0.013453	0.015509	0	0.013337	0.012265	0.016296	0.021894	0.072108	0.017205	0.019638	0.02017	0.017335	0.0089839	0.0037099	0.014596                                                   
ICOS   	0.025761	0.014444	0.012972	0.01639	0.012818	0.0055194	0.012784	0.02025	0.0055194	0.013242	0.013682	0.013682	0.052856	0.0095329	0.0035848	0.015637	0.0076139	0	0.020571	0.017778	0.058158	0.019362	0.015311	0.023195	0.019427	0.018719	0.016802	0.015237	0.015237	0.019151	0.0092361	0.018761	0.0038429	0.026684	0.0071378	0.017913	0.015533	0.0071378	0.012713	0.016091	0.017185	0.015006	0.012713	0.017069	0.010948	0.011085	0.008289	0.01587	0	0.096697	0.01141	0.0086572	0.021667	0.010014	0.015642	0.016577	0.022894	0.017343	0.0080653	0.0030688	0.0095142                                         
IFNG   	0.010885	0.019051	0.019052	0.019439	0.019454	0.012006	0.018126	0.019373	0.012006	0.017698	0.019411	0.019411	0.019794	0.015558	0.0063984	0.01832	0.012732	0	0.019296	0.018293	0.019362	0.019926	0.027745	0.019407	0.022135	0.021562	0.019331	0.019636	0.019636	0.018666	0.011863	0.021264	0.0070382	0.018167	0.01051	0.018228	0.018826	0.01051	0.018313	0.018615	0.019451	0.017461	0.018313	0.01881	0.016484	0.016524	0.011837	0.019056	0	0.017825	0.017391	0.013063	0.020032	0.011469	0.018306	0.018988	0.019852	0.019415	0.010392	0.0051115	0.013179                                                   
IFNGR2 	0.0060251	0.014921	0.014642	0.01918	0.016034	0.0067044	0.0142	0.016618	0.0067044	0.014909	0.014437	0.014437	0.017207	0.0089625	0.0033023	0.01563	0.0071259	0	0.018148	0.016325	0.015311	0.027745	0.17764	0.01992	0.031355	0.047457	0.017487	0.016032	0.016032	0.016829	0.0070687	0.020466	0.0030689	0.015018	0.0060202	0.016609	0.016079	0.0060202	0.012402	0.017474	0.018089	0.014967	0.012402	0.01486	0.010417	0.010825	0.0083321	0.014354	0	0.010579	0.010166	0.0097496	0.015813	0.0070069	0.015855	0.018957	0.02129	0.017089	0.006246	0.0020798	0.009377                                            
IL10   	0.012809	0.018136	0.017194	0.018745	0.016912	0.0088889	0.017339	0.018943	0.0088889	0.016272	0.017495	0.017495	0.022785	0.013599	0.0066292	0.018112	0.012876	0	0.019956	0.019319	0.023195	0.019407	0.01992	0.020021	0.020641	0.020035	0.019361	0.02001	0.02001	0.019421	0.012965	0.020303	0.007722	0.019463	0.01128	0.0186	0.01875	0.01128	0.018102	0.01835	0.019606	0.017586	0.018102	0.018903	0.014986	0.015	0.011687	0.019824	0	0.024713	0.019164	0.014052	0.02158	0.01613	0.017697	0.018943	0.020218	0.020335	0.011208	0.0056747	0.013364                                                            
IL12A  	0.010752	0.018147	0.017338	0.019279	0.016911	0.0084053	0.018674	0.017506	0.0084053	0.01661	0.016563	0.016563	0.018288	0.01316	0.0065978	0.01768	0.0090578	0	0.021119	0.019881	0.019427	0.022135	0.031355	0.020641	0.047253	0.029122	0.019884	0.020328	0.020328	0.019544	0.0097063	0.023927	0.0044913	0.019471	0.0081522	0.018781	0.018384	0.0081522	0.015454	0.020683	0.020485	0.017294	0.015454	0.018695	0.014364	0.015471	0.015919	0.016141	0	0.013835	0.011711	0.012205	0.022652	0.011273	0.01868	0.02039	0.024258	0.018138	0.0080466	0.0029299	0.013905                                             
IL12B  	0.010159	0.018904	0.018627	0.019847	0.018615	0.0096076	0.019014	0.018818	0.0096076	0.017311	0.018672	0.018672	0.018757	0.012576	0.0062809	0.01763	0.010024	0	0.019886	0.019006	0.018719	0.021562	0.047457	0.020035	0.029122	0.027256	0.019609	0.020308	0.020308	0.018756	0.0099376	0.021801	0.0050021	0.018268	0.0085742	0.018216	0.0182	0.0085742	0.01596	0.019352	0.020034	0.017082	0.01596	0.018468	0.013955	0.014536	0.013969	0.017764	0	0.014693	0.014052	0.015643	0.020422	0.011863	0.017669	0.020094	0.021337	0.018731	0.0082969	0.0032143	0.013187                                              
IL13   	0.01039	0.020191	0.019022	0.019365	0.018487	0.010173	0.019385	0.018672	0.010173	0.017521	0.019128	0.019128	0.016873	0.01363	0.0078845	0.018994	0.013914	0	0.019157	0.019568	0.016802	0.019331	0.017487	0.019361	0.019884	0.019609	0.020818	0.023882	0.023882	0.018442	0.011597	0.022285	0.0074359	0.018063	0.010929	0.018741	0.020197	0.010929	0.020291	0.019519	0.021265	0.01842	0.020291	0.020358	0.015285	0.015446	0.014332	0.018775	0	0.012371	0.017553	0.015462	0.018148	0.015691	0.017827	0.020189	0.019349	0.019612	0.0095045	0.0040387	0.014939                                                 
IL13RA1	0.0086912	0.020841	0.018843	0.018689	0.016691	0.0084238	0.022454	0.016596	0.0084238	0.017175	0.017166	0.017166	0.014912	0.013293	0.0072948	0.018433	0.0097661	0	0.019651	0.020637	0.015237	0.019636	0.016032	0.02001	0.020328	0.020308	0.023882	0.047816	0.0295	0.017626	0.0088756	0.022594	0.0048353	0.017801	0.0084733	0.019643	0.019842	0.0084733	0.017026	0.021727	0.027806	0.018303	0.017026	0.020695	0.014695	0.015892	0.017028	0.014895	0	0.0093991	0.011063	0.021447	0.016685	0.01243	0.018756	0.024128	0.019771	0.017718	0.0089495	0.003384	0.015119                                           
IL13RA2	0.0086912	0.020841	0.018843	0.018689	0.016691	0.0084238	0.022454	0.016596	0.0084238	0.017175	0.017166	0.017166	0.014912	0.013293	0.0072948	0.018433	0.0097661	0	0.019651	0.020637	0.015237	0.019636	0.016032	0.02001	0.020328	0.020308	0.023882	0.0295	0.047816	0.017626	0.0088756	0.022594	0.0048353	0.017801	0.0084733	0.019643	0.019842	0.0084733	0.017026	0.021727	0.027806	0.018303	0.017026	0.020695	0.014695	0.015892	0.017028	0.014895	0	0.0093991	0.011063	0.021447	0.016685	0.01243	0.018756	0.024128	0.019771	0.017718	0.0089495	0.003384	0.015119                                           
IL17A  	0.017805	0.016438	0.015174	0.017966	0.014823	0.0076942	0.01548	0.017702	0.0076942	0.014951	0.015409	0.015409	0.017902	0.012069	0.0067697	0.016923	0.0095374	0	0.021233	0.018475	0.019151	0.018666	0.016829	0.019421	0.019544	0.018756	0.018442	0.017626	0.017626	0.023087	0.027662	0.01946	0.016639	0.020156	0.021297	0.017943	0.017652	0.021297	0.016534	0.017487	0.018085	0.018166	0.016534	0.018057	0.013359	0.013569	0.011626	0.024459	0	0.015015	0.028014	0.010603	0.030989	0.01189	0.016816	0.017679	0.020517	0.023817	0.0090126	0.0038145	0.013251                                               
IL17RB 	0.006621	0.0086156	0.0071139	0.0095345	0.0066344	0.0034156	0.0076667	0.0087794	0.0034156	0.0088177	0.0065009	0.0065009	0.0082418	0.0043793	0.0043539	0.011201	0.0044632	0	0.013922	0.012318	0.0092361	0.011863	0.0070687	0.012965	0.0097063	0.0099376	0.011597	0.0088756	0.0088756	0.027662	0.13905	0.01011	0.10614	0.012986	0.11126	0.012156	0.012882	0.11126	0.013491	0.011107	0.010043	0.024722	0.013491	0.012501	0.0056738	0.0057214	0.0049298	0.014175	0	0.005059	0.010985	0.0043871	0.018786	0.0052401	0.0086849	0.010701	0.012647	0.014747	0.0042072	0.0012874	0.011291                          
IL18   	0.010822	0.019253	0.017485	0.018772	0.01688	0.0085541	0.018771	0.017471	0.0085541	0.016729	0.016786	0.016786	0.017719	0.013432	0.0069444	0.018411	0.01011	0	0.020873	0.020404	0.018761	0.021264	0.020466	0.020303	0.023927	0.021801	0.022285	0.022594	0.022594	0.01946	0.01011	0.043275	0.005038	0.019493	0.0088224	0.01915	0.019626	0.0088224	0.017078	0.020791	0.021503	0.018028	0.017078	0.02018	0.014819	0.015722	0.016004	0.016504	0	0.013292	0.012849	0.012128	0.02186	0.012375	0.018755	0.020437	0.023104	0.019001	0.008385	0.0030919	0.014469                                                   
IL1RL1 	0.0019522	0.0050387	0.003827	0.0049854	0.0034108	0.0020791	0.0043013	0.0043002	0.0020791	0.0058755	0.0030982	0.0030982	0.0036785	0.0018056	0.0034832	0.0078351	0.0027549	0	0.0069599	0.0080398	0.0038429	0.0070382	0.0030689	0.007722	0.0044913	0.0050021	0.0074359	0.0048353	0.0048353	0.016639	0.10614	0.005038	0.27225	0.0064709	0.15601	0.0080103	0.0097729	0.15601	0.01157	0.0069629	0.0056097	0.026233	0.01157	0.00894	0.0028345	0.0026768	0.0023784	0.0054274	0	0.0016493	0.0027912	0.0022638	0.0066405	0.0028687	0.0043055	0.0066086	0.0062837	0.0064662	0.0023394	0.00062814	0.0097462         
IL21   	0.074759	0.016474	0.014312	0.016275	0.013559	0.0067327	0.015394	0.016	0.0067327	0.014088	0.014012	0.014012	0.021816	0.012349	0.0061744	0.016956	0.0098135	0	0.021433	0.018388	0.026684	0.018167	0.015018	0.019463	0.019471	0.018268	0.018063	0.017801	0.017801	0.020156	0.012986	0.019493	0.0064709	0.030099	0.010383	0.019635	0.018102	0.010383	0.016403	0.017844	0.018373	0.01683	0.016403	0.020286	0.013654	0.01398	0.012841	0.015922	0	0.025082	0.012528	0.010192	0.024454	0.011419	0.017057	0.017558	0.021097	0.017453	0.013177	0.006978	0.012746                                                  
IL25   	0.0042115	0.008413	0.0068731	0.0084372	0.0063524	0.0039773	0.0075729	0.0076177	0.0039773	0.0086878	0.0061337	0.0061337	0.0067586	0.0040056	0.0066147	0.011289	0.005295	0	0.01104	0.011418	0.0071378	0.01051	0.0060202	0.01128	0.0081522	0.0085742	0.010929	0.0084733	0.0084733	0.021297	0.11126	0.0088224	0.15601	0.010383	0.12768	0.011431	0.013592	0.12094	0.016136	0.010381	0.0092432	0.026144	0.016136	0.012524	0.005477	0.0052774	0.0046706	0.0094497	0	0.0037607	0.0059468	0.0044362	0.011621	0.0054542	0.0076051	0.0099338	0.010178	0.010594	0.0043192	0.0014838	0.013466                        
IL2RA  	0.01776	0.017115	0.015512	0.016915	0.014927	0.0080754	0.016426	0.016222	0.0080754	0.01506	0.015211	0.015211	0.016841	0.014521	0.0077827	0.01873	0.014929	0	0.019385	0.018063	0.017913	0.018228	0.016609	0.0186	0.018781	0.018216	0.018741	0.019643	0.019643	0.017943	0.012156	0.01915	0.0080103	0.019635	0.011431	0.021896	0.020246	0.011431	0.021211	0.018038	0.019547	0.018001	0.021211	0.019467	0.016008	0.01575	0.012987	0.015397	0	0.013914	0.012093	0.011368	0.019633	0.011633	0.017831	0.017972	0.018771	0.016899	0.039596	0.033229	0.01441                                                      
IL3    	0.011014	0.018793	0.01649	0.018072	0.015946	0.0088896	0.017013	0.017267	0.0088896	0.016287	0.016486	0.016486	0.015489	0.01425	0.0091727	0.022437	0.019543	0	0.018422	0.0184	0.015533	0.018826	0.016079	0.01875	0.018384	0.0182	0.020197	0.019842	0.019842	0.017652	0.012882	0.019626	0.0097729	0.018102	0.013592	0.020246	0.025924	0.013592	0.035239	0.018968	0.019579	0.021273	0.035239	0.022507	0.016936	0.015796	0.013606	0.015406	0	0.01069	0.011612	0.010674	0.016395	0.01087	0.01802	0.018417	0.018144	0.016888	0.013489	0.0071162	0.016748                                                       
IL33   	0.0042115	0.008413	0.0068731	0.0084372	0.0063524	0.0039773	0.0075729	0.0076177	0.0039773	0.0086878	0.0061337	0.0061337	0.0067586	0.0040056	0.0066147	0.011289	0.005295	0	0.01104	0.011418	0.0071378	0.01051	0.0060202	0.01128	0.0081522	0.0085742	0.010929	0.0084733	0.0084733	0.021297	0.11126	0.0088224	0.15601	0.010383	0.12094	0.011431	0.013592	0.12768	0.016136	0.010381	0.0092432	0.026144	0.016136	0.012524	0.005477	0.0052774	0.0046706	0.0094497	0	0.0037607	0.0059468	0.0044362	0.011621	0.0054542	0.0076051	0.0099338	0.010178	0.010594	0.0043192	0.0014838	0.013466                        
IL3RA  	0.0073288	0.017077	0.013801	0.017026	0.013153	0.0071546	0.014186	0.016125	0.0071546	0.014985	0.013729	0.013729	0.013237	0.013317	0.0088951	0.027955	0.024857	0	0.01687	0.01758	0.012713	0.018313	0.012402	0.018102	0.015454	0.01596	0.020291	0.017026	0.017026	0.016534	0.013491	0.017078	0.01157	0.016403	0.016136	0.021211	0.035239	0.016136	0.0655	0.018365	0.018072	0.025965	0.058762	0.024706	0.017756	0.014727	0.0098775	0.013136	0	0.0076852	0.0086968	0.0080014	0.013203	0.0088041	0.017569	0.016876	0.016173	0.014992	0.010168	0.0039887	0.017732                                              
IL4    	0.012841	0.019591	0.019214	0.018574	0.018661	0.01234	0.021791	0.017763	0.01234	0.017963	0.01881	0.01881	0.015839	0.016597	0.014814	0.018162	0.0121	0	0.018559	0.01855	0.016091	0.018615	0.017474	0.01835	0.020683	0.019352	0.019519	0.021727	0.021727	0.017487	0.011107	0.020791	0.0069629	0.017844	0.010381	0.018038	0.018968	0.010381	0.018365	0.019846	0.020059	0.017797	0.018365	0.019388	0.017246	0.018086	0.029442	0.015963	0	0.011576	0.012276	0.014158	0.017989	0.013453	0.018383	0.019465	0.018896	0.016864	0.0098448	0.0046782	0.019041                                                       
IL4R   	0.010452	0.019257	0.017795	0.018375	0.016656	0.0086634	0.019865	0.017176	0.0086634	0.016588	0.016968	0.016968	0.016795	0.019636	0.0069705	0.018864	0.011668	0	0.019934	0.019599	0.017185	0.019451	0.018089	0.019606	0.020485	0.020034	0.021265	0.027806	0.027806	0.018085	0.010043	0.021503	0.0056097	0.018373	0.0092432	0.019547	0.019579	0.0092432	0.018072	0.020059	0.023573	0.017905	0.018072	0.019873	0.019772	0.020221	0.014879	0.016006	0	0.012665	0.012676	0.017628	0.018644	0.012488	0.020775	0.021174	0.01988	0.017975	0.012797	0.0067373	0.014285                                            
