       	ALOX5  	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CRLF2  	0.0033094	0.0085067	0.011078	0.01672	0.010305	0.016547	0.011108	0.0082304	0.010002	0.011108	0.010642	0.010996	0.01074	0.0068661	0.0049139	0.42667	0.0088207	0.0033094	0	0	0.0039669	0.0088944	0.0084284	0.0091698	0.0062411	0.0090729	0.0048963	0.0084494	0.0076966	0.0082035	0.012221	0.0086799	0.0086799	0.0080747	0.0051584	0.008339	0.0066094	0.0082506	0.0075935	0.0083524	0.0088438	0.0073721	0.0083823	0.011017	0.0098079	0.012152	0.0077685	0.0089893	0.0086996	0.0086996	0	0.0046395	0.0064636	0.0013108	0.0027069	0.005344	0.0033676	0	0	0.0058514	0.0030923	0.016723	0.0090302	0.0083827	0.0073193	0.0050593	0.0016268	0.080501          
CSF2   	0.038352	0.016071	0.015774	0.015147	0.015876	0.015178	0.014412	0.014857	0.015715	0.014412	0.015482	0.01481	0.014881	0.016427	0.023588	0.0088207	0.020678	0.038352	0	0	0.0083401	0.015788	0.015255	0.014357	0.014564	0.016142	0.013677	0.016226	0.015698	0.015627	0.016249	0.01597	0.01597	0.015545	0.013411	0.016006	0.01445	0.016209	0.015377	0.016742	0.018079	0.014703	0.020465	0.01611	0.016478	0.016742	0.021313	0.017848	0.021602	0.021602	0	0.011757	0.014565	0.0038402	0.0094961	0.013247	0.0088049	0	0	0.014292	0.0089632	0.018062	0.015427	0.015776	0.015583	0.01281	0.0068358	0.015166                                                   
CSF3R  	0.028234	0.0078287	0.0094897	0.0082165	0.011082	0.0082458	0.0065951	0.0071583	0.010791	0.0065951	0.0089332	0.0075774	0.0076561	0.0098516	0.012814	0.0033094	0.038352	0.39611	0	0	0.0038402	0.0092331	0.0089632	0.0067582	0.0077458	0.010892	0.0062095	0.011382	0.0083493	0.0089946	0.011106	0.0083986	0.0083986	0.0087893	0.0055772	0.0086519	0.0067498	0.0097986	0.0084403	0.013134	0.015023	0.0073358	0.018674	0.010938	0.010317	0.012173	0.019624	0.014637	0.018201	0.018201	0	0.0051764	0.0073634	0.0012424	0.0034261	0.0057626	0.003287	0	0	0.0064705	0.0034062	0.014101	0.0088049	0.009026	0.0084874	0.0068358	0.0024106	0.0088207            
CYSLTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
EPX    	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0.31674	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
FCER1A 	0.0038402	0.0054521	0.0083996	0.0079618	0.0082161	0.0071046	0.006183	0.0097074	0.0070593	0.006183	0.0080526	0.0065358	0.0069557	0.0068401	0.0065605	0.0039669	0.0083401	0.0038402	0	0	0.25143	0.0078633	0.0086044	0.0058841	0.0072734	0.0081172	0.0057241	0.0080979	0.009678	0.0089088	0.0087892	0.010628	0.010628	0.0084307	0.0048738	0.010182	0.0049091	0.0086529	0.006097	0.0092236	0.0089653	0.0055939	0.010246	0.017317	0.009539	0.0084615	0.00749	0.0088321	0.0093258	0.0093258	0	0.0090848	0.0070728	0.27745	0.0053687	0.0095519	0.004207	0	0	0.0073295	0.0040389	0.0079046	0.0089557	0.0088598	0.0070661	0.009725	0.0047308	0.0083606       
FOXP3  	0.0092331	0.019833	0.016421	0.016001	0.016854	0.016218	0.0151	0.015981	0.016569	0.0151	0.016111	0.015565	0.015664	0.018454	0.011323	0.0088944	0.015788	0.0092331	0	0	0.0078633	0.018591	0.01786	0.014918	0.018833	0.017725	0.017038	0.018	0.0187	0.017996	0.017105	0.017481	0.017481	0.01828	0.01439	0.01847	0.012942	0.018403	0.014711	0.017311	0.016869	0.014256	0.016174	0.016736	0.017607	0.016597	0.015989	0.016557	0.014987	0.014987	0	0.017743	0.019416	0.003185	0.017612	0.020219	0.013115	0	0	0.021161	0.015932	0.017432	0.017372	0.018653	0.019013	0.013382	0.0069999	0.015566                                                            
GATA3  	0.0089632	0.014535	0.015722	0.014992	0.015888	0.015122	0.013715	0.015573	0.015291	0.013715	0.015207	0.014266	0.014497	0.017131	0.0097234	0.0084284	0.015255	0.0089632	0	0	0.0086044	0.01786	0.023451	0.013454	0.016711	0.017243	0.016653	0.017714	0.01813	0.017512	0.017208	0.017973	0.017973	0.017369	0.014843	0.018356	0.014802	0.017052	0.015661	0.016697	0.016523	0.015449	0.016288	0.016231	0.017449	0.016744	0.016139	0.016382	0.013622	0.013622	0	0.013982	0.016456	0.0040389	0.01234	0.015538	0.014239	0	0	0.017469	0.06281	0.015943	0.017461	0.018058	0.017824	0.01228	0.0059768	0.014885                                                  
GPR44  	0.0067582	0.0075738	0.025956	0.031216	0.024465	0.031187	0.042915	0.027161	0.029111	0.042915	0.030107	0.038481	0.03649	0.017491	0.0054604	0.0091698	0.014357	0.0067582	0	0	0.0058841	0.014918	0.013454	0.045835	0.012138	0.016406	0.010833	0.014945	0.013887	0.014995	0.01513	0.012984	0.012984	0.013958	0.0077674	0.013093	0.0084107	0.01309	0.010344	0.013636	0.016034	0.0094991	0.013431	0.015456	0.013866	0.015119	0.01316	0.014925	0.009911	0.009911	0	0.0081742	0.017459	0.0019768	0.0056492	0.012024	0.0073803	0	0	0.012556	0.0053101	0.012482	0.016148	0.013621	0.01411	0.0080915	0.0026971	0.018747                                         
ICOS   	0.0077458	0.017892	0.014609	0.013851	0.01516	0.014211	0.012274	0.013753	0.015026	0.012274	0.01422	0.01302	0.013203	0.023343	0.0082361	0.0062411	0.014564	0.0077458	0	0	0.0072734	0.018833	0.016711	0.012138	0.032394	0.017581	0.016096	0.018369	0.017689	0.017096	0.015773	0.015557	0.015557	0.017028	0.011634	0.01773	0.010722	0.019255	0.01259	0.016727	0.016417	0.011965	0.015047	0.016468	0.016407	0.015409	0.014685	0.015438	0.012685	0.012685	0	0.052135	0.015794	0.0027766	0.067422	0.014761	0.0094558	0	0	0.017392	0.010752	0.01594	0.016073	0.018833	0.017244	0.011537	0.0049834	0.013575                                                  
IFNG   	0.010892	0.016543	0.017023	0.016781	0.017275	0.016937	0.01646	0.016732	0.017172	0.01646	0.016919	0.016711	0.016739	0.018685	0.01108	0.0090729	0.016142	0.010892	0	0	0.0081172	0.017725	0.017243	0.016406	0.017581	0.017973	0.024071	0.017826	0.018581	0.018734	0.017314	0.017663	0.017663	0.017728	0.014589	0.019043	0.014003	0.017567	0.015355	0.017069	0.017305	0.014958	0.016922	0.016634	0.017552	0.016832	0.016929	0.016906	0.014658	0.014658	0	0.015455	0.017659	0.0034635	0.014431	0.016205	0.012247	0	0	0.01772	0.013052	0.016693	0.017352	0.018004	0.018678	0.012743	0.0064335	0.015739                                                    
IFNGR2 	0.0062095	0.010682	0.014023	0.013137	0.016604	0.013872	0.011115	0.01275	0.014238	0.011115	0.013808	0.012123	0.012335	0.017137	0.0058832	0.0048963	0.013677	0.0062095	0	0	0.0057241	0.017038	0.016653	0.010833	0.016096	0.024071	0.17025	0.018582	0.02328	0.037531	0.016731	0.014895	0.014895	0.018616	0.010459	0.018468	0.008862	0.016247	0.011092	0.015722	0.015028	0.010635	0.01271	0.015094	0.016417	0.014744	0.01215	0.01362	0.010364	0.010364	0	0.01034	0.014511	0.001932	0.0085134	0.011314	0.0092227	0	0	0.014833	0.0081376	0.01448	0.017601	0.019327	0.018195	0.0090182	0.0032057	0.01238                                                   
IL10   	0.011382	0.015454	0.016606	0.016033	0.016903	0.016185	0.015073	0.016129	0.016656	0.015073	0.016243	0.015596	0.01572	0.019249	0.010533	0.0084494	0.016226	0.011382	0	0	0.0080979	0.018	0.017714	0.014945	0.018369	0.017826	0.018582	0.01812	0.018608	0.018187	0.017501	0.018249	0.018249	0.018053	0.015543	0.018506	0.014801	0.017742	0.016009	0.017363	0.017465	0.015707	0.017119	0.01671	0.017869	0.017037	0.017146	0.017102	0.014428	0.014428	0	0.016824	0.018181	0.003408	0.016286	0.016912	0.013209	0	0	0.018433	0.014994	0.016559	0.017494	0.018179	0.019515	0.01329	0.0069165	0.015432                                                        
IL12A  	0.0083493	0.014879	0.016485	0.015757	0.017028	0.015865	0.014185	0.016838	0.016168	0.014185	0.015957	0.014885	0.015204	0.017864	0.0098715	0.0076966	0.015698	0.0083493	0	0	0.009678	0.0187	0.01813	0.013887	0.017689	0.018581	0.02328	0.018608	0.023625	0.020539	0.017905	0.019126	0.019126	0.01935	0.015644	0.020145	0.013038	0.018122	0.015197	0.017497	0.016979	0.014829	0.016347	0.017209	0.018469	0.016943	0.015654	0.016666	0.014125	0.014125	0	0.014526	0.018644	0.0046684	0.012403	0.017899	0.016553	0	0	0.019935	0.011905	0.01677	0.01876	0.019652	0.019728	0.012752	0.0060312	0.015298                                                     
IL12B  	0.0089946	0.014184	0.016649	0.016157	0.017213	0.016329	0.015189	0.016605	0.01658	0.015189	0.016345	0.015701	0.015864	0.01792	0.0096486	0.0082035	0.015627	0.0089946	0	0	0.0089088	0.017996	0.017512	0.014995	0.017096	0.018734	0.037531	0.018187	0.020539	0.021181	0.017612	0.01839	0.01839	0.018507	0.015295	0.019245	0.013606	0.017466	0.015328	0.01707	0.016909	0.015025	0.0162	0.016723	0.01793	0.016753	0.015839	0.016542	0.013747	0.013747	0	0.013909	0.018096	0.0041926	0.012005	0.016919	0.014577	0	0	0.018588	0.011738	0.016267	0.018038	0.018663	0.019248	0.012261	0.0057904	0.015314                                                     
IL13   	0.011106	0.013942	0.016841	0.016194	0.016734	0.016207	0.015327	0.016362	0.016313	0.015327	0.016349	0.015727	0.015856	0.017061	0.010559	0.012221	0.016249	0.011106	0	0	0.0087892	0.017105	0.017208	0.01513	0.015773	0.017314	0.016731	0.017501	0.017905	0.017612	0.018129	0.019746	0.019746	0.017818	0.020621	0.019029	0.020721	0.017028	0.020134	0.016993	0.017491	0.020556	0.01755	0.016656	0.01822	0.01787	0.018085	0.017943	0.014314	0.014314	0	0.012671	0.016906	0.00409	0.010412	0.015435	0.012888	0	0	0.016763	0.013074	0.01617	0.017512	0.017408	0.018467	0.012383	0.0059701	0.016337                                                        
IL13RA1	0.0083986	0.013025	0.01669	0.015603	0.01642	0.015226	0.013439	0.017588	0.015199	0.013439	0.015662	0.014167	0.014662	0.016111	0.010184	0.0086799	0.01597	0.0083986	0	0	0.010628	0.017481	0.017973	0.012984	0.015557	0.017663	0.014895	0.018249	0.019126	0.01839	0.019746	0.042858	0.024543	0.017799	0.014344	0.019275	0.014422	0.017087	0.016193	0.018015	0.017293	0.015912	0.017088	0.018197	0.023414	0.017596	0.016223	0.017312	0.014594	0.014594	0	0.012794	0.015379	0.0051486	0.0095571	0.014428	0.018464	0	0	0.015677	0.010735	0.016882	0.020539	0.018005	0.017877	0.013636	0.0065254	0.016036                                                  
IL13RA2	0.0083986	0.013025	0.01669	0.015603	0.01642	0.015226	0.013439	0.017588	0.015199	0.013439	0.015662	0.014167	0.014662	0.016111	0.010184	0.0086799	0.01597	0.0083986	0	0	0.010628	0.017481	0.017973	0.012984	0.015557	0.017663	0.014895	0.018249	0.019126	0.01839	0.019746	0.024543	0.042858	0.017799	0.014344	0.019275	0.014422	0.017087	0.016193	0.018015	0.017293	0.015912	0.017088	0.018197	0.023414	0.017596	0.016223	0.017312	0.014594	0.014594	0	0.012794	0.015379	0.0051486	0.0095571	0.014428	0.018464	0	0	0.015677	0.010735	0.016882	0.020539	0.018005	0.017877	0.013636	0.0065254	0.016036                                                  
IL17A  	0.0087893	0.015951	0.01626	0.015457	0.016811	0.015631	0.014126	0.015611	0.016239	0.014126	0.015679	0.014822	0.014992	0.017478	0.0093831	0.0080747	0.015545	0.0087893	0	0	0.0084307	0.01828	0.017369	0.013958	0.017028	0.017728	0.018616	0.018053	0.01935	0.018507	0.017818	0.017799	0.017799	0.019494	0.023189	0.018595	0.01752	0.01782	0.0191	0.01699	0.016828	0.019451	0.016256	0.016623	0.017612	0.017298	0.016228	0.017126	0.013549	0.013549	0	0.01399	0.021442	0.0038219	0.012311	0.022818	0.013171	0	0	0.022549	0.011694	0.016262	0.017511	0.018582	0.021079	0.012165	0.0057577	0.015118                                                      
IL17RB 	0.0055772	0.0089769	0.013555	0.010556	0.012648	0.010597	0.0080887	0.010061	0.010955	0.0080887	0.011463	0.0091074	0.0093989	0.011961	0.0044966	0.0051584	0.013411	0.0055772	0	0	0.0048738	0.01439	0.014843	0.0077674	0.011634	0.014589	0.010459	0.015543	0.015644	0.015295	0.020621	0.014344	0.014344	0.023189	0.11119	0.014314	0.059281	0.015725	0.060735	0.014322	0.015517	0.069032	0.014438	0.013678	0.015154	0.022642	0.016703	0.021768	0.0086291	0.0086291	0	0.0074065	0.014652	0.0015698	0.0053763	0.011845	0.0069134	0	0	0.015223	0.0065148	0.011542	0.014795	0.014761	0.017571	0.0076412	0.0024988	0.012723                                  
IL18   	0.0086519	0.014495	0.016283	0.015294	0.016659	0.015434	0.013433	0.015804	0.015648	0.013433	0.015589	0.014197	0.014498	0.017732	0.010211	0.008339	0.016006	0.0086519	0	0	0.010182	0.01847	0.018356	0.013093	0.01773	0.019043	0.018468	0.018506	0.020145	0.019245	0.019029	0.019275	0.019275	0.018595	0.014314	0.040123	0.013569	0.018215	0.015555	0.017659	0.017363	0.015185	0.016806	0.017817	0.018666	0.017146	0.016063	0.017112	0.014561	0.014561	0	0.014602	0.016986	0.004902	0.012168	0.016212	0.010817	0	0	0.018426	0.011568	0.017079	0.0181	0.020839	0.019018	0.013004	0.0061156	0.015676                                                     
IL1RL1 	0.0067498	0.0086158	0.014301	0.011	0.012448	0.010912	0.0087523	0.010328	0.01098	0.0087523	0.012189	0.0096118	0.0099079	0.011873	0.0049435	0.0066094	0.01445	0.0067498	0	0	0.0049091	0.012942	0.014802	0.0084107	0.010722	0.014003	0.008862	0.014801	0.013038	0.013606	0.020721	0.014422	0.014422	0.01752	0.059281	0.013569	0.11424	0.015156	0.063237	0.014841	0.017042	0.071652	0.017349	0.013649	0.01553	0.026256	0.020268	0.023552	0.0091095	0.0091095	0	0.0069382	0.010683	0.0015939	0.0047797	0.0081721	0.0063699	0	0	0.010493	0.0069873	0.011489	0.014224	0.013083	0.014149	0.0081197	0.0028288	0.013899                                       
IL21   	0.0097986	0.036699	0.015698	0.014828	0.015918	0.015068	0.013342	0.01487	0.015386	0.013342	0.015129	0.013995	0.014198	0.018225	0.011084	0.0082506	0.016209	0.0097986	0	0	0.0086529	0.018403	0.017052	0.01309	0.019255	0.017567	0.016247	0.017742	0.018122	0.017466	0.017028	0.017087	0.017087	0.01782	0.015725	0.018215	0.015156	0.020617	0.016265	0.017776	0.017296	0.015794	0.017043	0.016587	0.017717	0.017034	0.017757	0.017513	0.01542	0.01542	0	0.018519	0.016756	0.0040207	0.018584	0.016103	0.01046	0	0	0.018081	0.011181	0.019707	0.0168	0.018436	0.017837	0.014271	0.0080281	0.015428                                                      
